r,pi_32,D_pred_derived,D_avg,diff
1,0.063480,0.982934,1.609081,-0.626147
3,0.062408,1.002326,1.236401,-0.234075
5,0.062990,0.992094,1.863896,-0.871802
7,0.062408,0.999931,0.737504,+0.262427
9,0.062255,1.003031,0.695791,+0.307240
11,0.062776,0.994297,0.657507,+0.336790
13,0.062500,0.999156,0.557318,+0.441838
15,0.062286,1.004405,1.057805,-0.053400
17,0.063235,0.987576,1.131972,-0.144396
19,0.062408,1.003066,0.627469,+0.375597
21,0.062500,1.001184,0.930738,+0.070446
23,0.062408,1.003937,1.398056,-0.394119
25,0.061765,1.010414,0.543950,+0.466464
27,0.061795,1.009838,0.801717,+0.208121
29,0.062990,0.992757,1.353787,-0.361030
31,0.061795,1.014060,0.766633,+0.247427
