p,r,q,period,J_p,supp_size,max_abs_dev,max_rel_dev,status,worst_a,elapsed_s
3,4,243,81,4,27,2.225769e-14,1.427831e-15,PASS_1e-10,13,0.00
3,5,729,243,6,81,2.705666e-14,1.002099e-15,PASS_1e-10,181,0.00
3,6,2187,729,6,243,8.881784e-14,1.899222e-15,PASS_1e-10,682,0.01
5,4,3125,625,5,125,9.216536e-14,1.648704e-15,PASS_1e-10,56,0.01
5,5,15625,3125,5,625,1.932885e-13,1.546308e-15,PASS_1e-10,1636,0.07
7,4,16807,2401,4,343,2.030027e-13,1.565874e-15,PASS_1e-10,2024,0.04
7,5,117649,16807,5,2401,9.165726e-13,2.672223e-15,PASS_1e-10,16038,1.45
7,6,823543,117649,7,16807,5.808051e-12,6.400108e-15,PASS_1e-10,17053,92.04
11,4,161051,14641,4,1331,1.057731e-12,2.635684e-15,PASS_1e-10,2696,0.58
11,5,1771561,161051,5,14641,7.307862e-12,5.490505e-15,PASS_1e-10,22749,95.05
