r,pi_32,D_pred,D_avg,diff
1,0.063480,0.985212,1.609081,-0.623869
3,0.062408,1.000051,1.236401,-0.236350
5,0.062990,0.991228,1.863896,-0.872668
7,0.062408,1.001845,0.737504,+0.264341
9,0.062255,1.004756,0.695791,+0.308965
11,0.062776,0.999675,0.657507,+0.342168
13,0.062500,1.001311,0.557318,+0.443993
15,0.062286,1.004655,1.057805,-0.053150
17,0.063235,0.990494,1.131972,-0.141478
19,0.062408,0.999086,0.627469,+0.371617
21,0.062500,0.998316,0.930738,+0.067578
23,0.062408,0.999352,1.398056,-0.398704
25,0.061765,1.011873,0.543950,+0.467923
27,0.061795,1.008569,0.801717,+0.206852
29,0.062990,0.991491,1.353787,-0.362296
31,0.061795,1.013002,0.766633,+0.246369
