n,k,D_n_k_weighted,D_n_k_renorm,weight_used
0,1,1.9999919999999998,2.0,0.9999959999999999
0,2,5.999975999999999,6.0,0.9999959999999999
0,3,17.999927999999997,18.0,0.9999959999999999
0,4,53.999784,54.00000000000001,0.9999959999999999
0,5,161.999352,162.0,0.9999959999999999
1,1,0.014991549709032232,0.014991609675470936,0.9999959999999999
1,2,0.10157520357963712,0.10157560988207666,0.9999959999999999
1,3,1.2143155264316103,1.2143203837131453,0.9999959999999999
1,4,4.661756559440558,4.661775206541385,0.9999959999999999
1,5,13.985269678321679,13.98532561962416,0.9999959999999999
2,1,0.0009738351880451804,0.0009738390834015141,0.9999959999999999
2,2,0.052927598863353166,0.05292781057459547,0.9999959999999999
2,3,0.32069138454070256,0.32069266731137186,0.9999959999999999
2,4,1.2083388480855861,1.2083436814603121,0.9999959999999999
2,5,3.2285905930908454,3.2286035075048756,0.9999959999999999
3,1,0.0004231458457520653,0.00042314753834221875,0.9999959999999999
3,2,0.004010105380983765,0.0040101214214694515,0.9999959999999999
3,3,0.1509239142032362,0.15092451790130781,0.9999959999999999
3,4,0.3053313599996479,0.30533258132997326,0.9999959999999999
3,5,1.2435076715641502,1.2435126456147327,0.9999959999999999
4,1,0.00024638270470489444,0.00024638369023965545,0.9999959999999999
4,2,0.009048061807612471,0.009048098000004473,0.9999959999999999
4,3,0.10413321962144452,0.10413363615598915,0.9999959999999999
4,4,0.18656586864525226,0.18656661491171192,0.9999959999999999
4,5,0.4273236165622222,0.4273253258635257,0.9999959999999999
5,1,0.00010031394262541178,0.00010031434388278732,0.9999959999999999
5,2,0.004882014708791882,0.00488203423692883,0.9999959999999999
5,3,0.01718942237690526,0.0171894911348698,0.9999959999999999
5,4,0.04956640410762836,0.04956660237403786,0.9999959999999999
5,5,0.194467130105216,0.19446790797684793,0.9999959999999999
6,1,0.00011098671896486208,0.00011098716291351375,0.9999959999999999
6,2,0.00277876929260644,0.002778780407728071,0.9999959999999999
6,3,0.01261960527489217,0.012619655753515186,0.9999959999999999
6,4,0.03347285203317258,0.033472985925116286,0.9999959999999999
6,5,0.09745272864687612,0.09745311845934998,0.9999959999999999
