n,k,vertex_count,D_n_k,phi_3k
0,1,1,1.9999999999999998,2
0,2,1,6.0,6
0,3,1,18.0,18
0,4,1,54.0,54
0,5,1,162.0,162
1,1,15,0.0,2
1,2,15,0.08,6
1,3,15,0.7199999999999999,18
1,4,15,3.5999999999999996,54
1,5,15,10.799999999999999,162
2,1,75,0.0010666666666666672,2
2,2,75,0.037333333333333316,6
2,3,75,0.25279999999999997,18
2,4,75,0.6816000000000001,54
2,5,75,1.9584000000000004,162
3,1,261,8.807856608094441e-05,2
3,2,261,0.004403928304047213,6
3,3,261,0.07636411679217862,18
3,4,261,0.18549346016646845,54
3,5,261,0.9488703923900117,162
4,1,787,0.00010010187787893853,2
4,2,787,0.0032161764634652352,6
4,3,787,0.05620558988260633,18
4,4,787,0.11709013528284432,54
4,5,787,0.15379523353606653,162
5,1,1810,4.090229235981755e-05,2
5,2,1810,0.0024999236897530574,6
5,3,1810,0.01825219010408717,18
5,4,1810,0.010862305790421538,54
5,5,1810,0.07753609474680259,162
6,1,4141,7.07959193325404e-05,2
6,2,4141,0.0006990951243480183,6
6,3,4141,0.0030567042073594967,18
6,4,4141,0.014665252225624842,54
6,5,4141,0.024695062906023198,162
7,1,7452,5.0889298596363394e-05,2
7,2,7452,0.00025801198524015817,6
7,3,7452,0.005149219092368288,18
7,4,7452,0.005749842470069314,54
7,5,7452,0.014521925832574856,162
8,1,14313,5.2484119197350945e-05,2
8,2,14313,0.0002266599321809697,6
8,3,14313,0.0009453291938241597,18
8,4,14313,0.002709990549783303,54
8,5,14313,0.011848202044763124,162
9,1,26515,1.0278143913145915e-05,2
9,2,26515,0.00016711015994739142,6
9,3,26515,0.0004724504031728542,18
9,4,26515,0.001760225311252203,54
9,5,26515,0.004941949502608454,162
10,1,38470,7.380024432056421e-06,2
10,2,38470,3.1797215686112566e-05,6
10,3,38470,0.0007623182790610095,18
10,4,38470,0.000909571456535866,54
10,5,38470,0.0029288142519745194,162
