k,rank,magnitude,argument_rad,is_complex,real_part,imag_part
5,1,1.000000000000e+00,0.000000000000e+00,0,1.000000000000e+00,0.000000000000e+00
5,2,3.381584072979e-04,0.000000000000e+00,0,3.381584072979e-04,0.000000000000e+00
5,3,3.381111056485e-04,1.256829898930e+00,1,1.044200663313e-04,3.215829123418e-04
5,4,3.381111056485e-04,-1.256829898930e+00,1,1.044200663313e-04,-3.215829123418e-04
5,5,3.380343716723e-04,2.513393506685e+00,1,-2.734992699799e-04,1.986589684669e-04
5,6,3.380343716723e-04,-2.513393506685e+00,1,-2.734992699799e-04,-1.986589684669e-04
5,7,5.466497908377e-05,3.141592653590e+00,0,-5.466497908377e-05,0.000000000000e+00
5,8,5.466280917970e-05,1.570756595426e+00,1,2.171828226854e-09,5.466280913655e-05
5,9,5.466280917970e-05,-1.570756595426e+00,1,2.171828226854e-09,-5.466280913655e-05
5,10,5.466063542662e-05,0.000000000000e+00,0,5.466063542662e-05,0.000000000000e+00
5,11,5.408029571316e-05,-7.854849470436e-01,1,3.823722502953e-05,-3.824386233716e-05
5,12,5.408029571316e-05,7.854849470436e-01,1,3.823722502953e-05,3.824386233716e-05
5,13,5.407090503164e-05,2.356281365024e+00,1,-3.823722503242e-05,3.823058190455e-05
5,14,5.407090503164e-05,-2.356281365024e+00,1,-3.823722503242e-05,-3.823058190455e-05
5,15,3.428191682411e-05,2.355887330676e+00,1,-2.423352886857e-05,2.424842056118e-05
5,16,3.428191682411e-05,-2.355887330676e+00,1,-2.423352886857e-05,-2.424842056118e-05
5,17,3.426084853554e-05,7.850905734798e-01,1,2.423352887997e-05,2.421862548533e-05
5,18,3.426084853554e-05,-7.850905734798e-01,1,2.423352887997e-05,-2.421862548533e-05
5,19,2.500730579514e-06,7.176070563919e-01,1,1.884004018763e-06,1.644439809966e-06
5,20,2.500730579514e-06,-7.176070563919e-01,1,1.884004018763e-06,-1.644439809966e-06
6,1,1.000000000000e+00,0.000000000000e+00,0,1.000000000000e+00,0.000000000000e+00
6,2,1.231641500183e-03,5.241908967533e-01,1,1.066268000056e-03,6.164522179607e-04
6,3,1.231641500183e-03,-5.241908967533e-01,1,1.066268000056e-03,-6.164522179607e-04
6,4,1.230379006088e-03,1.571985082681e+00,1,-1.462619941205e-06,1.230378136739e-03
6,5,1.230379006088e-03,-1.571985082681e+00,1,-1.462619941205e-06,-1.230378136739e-03
6,6,1.229108166734e-03,2.618590527208e+00,1,-1.064805380117e-03,6.139188773833e-04
6,7,1.229108166734e-03,-2.618590527208e+00,1,-1.064805380117e-03,-6.139188773833e-04
6,8,3.107767357511e-04,-6.285084587821e-01,1,2.513889619884e-04,-1.827177311443e-04
6,9,3.107767357511e-04,6.285084587821e-01,1,2.513889619884e-04,1.827177311443e-04
6,10,3.106640915300e-04,1.885266852570e+00,1,-9.609244389796e-05,2.954292131660e-04
6,11,3.106640915300e-04,-1.885266852570e+00,1,-9.609244389796e-05,-2.954292131660e-04
6,12,3.105930361052e-04,3.141592653590e+00,0,-3.105930361052e-04,0.000000000000e+00
6,13,2.610018477993e-04,2.513169520143e+00,1,-2.111388818554e-04,1.534351235001e-04
6,14,2.610018477993e-04,-2.513169520143e+00,1,-2.111388818554e-04,-1.534351235001e-04
6,15,2.609500548244e-04,1.256469308562e+00,1,8.067963310367e-05,2.481647193199e-04
6,16,2.609500548244e-04,-1.256469308562e+00,1,8.067963310367e-05,-2.481647193199e-04
6,17,2.609184974801e-04,0.000000000000e+00,0,2.609184974801e-04,0.000000000000e+00
6,18,2.460305214286e-04,3.141592653590e+00,0,-2.460305214286e-04,0.000000000000e+00
6,19,2.459897111749e-04,-1.884729835116e+00,1,-7.596218337216e-05,-2.339672727141e-04
6,20,2.459897111749e-04,1.884729835116e+00,1,-7.596218337216e-05,2.339672727141e-04
7,1,1.000000000000e+00,0.000000000000e+00,0,1.000000000000e+00,0.000000000000e+00
7,2,1.816520614643e-03,0.000000000000e+00,0,1.816520614643e-03,0.000000000000e+00
7,3,1.801540337473e-03,9.169863266401e-01,1,1.095724010073e-03,1.430012755639e-03
7,4,1.801540337473e-03,-9.169863266401e-01,1,1.095724010073e-03,-1.430012755639e-03
7,5,1.763474460125e-03,1.821943577409e+00,1,-4.382505283413e-04,1.708150650828e-03
7,6,1.763474460125e-03,-1.821943577409e+00,1,-4.382505283413e-04,-1.708150650828e-03
7,7,1.727099921572e-03,2.705877176553e+00,1,-1.565734041113e-03,7.289383043812e-04
7,8,1.727099921572e-03,-2.705877176553e+00,1,-1.565734041113e-03,-7.289383043812e-04
7,9,1.528130113258e-03,2.058511325870e+00,1,-7.160948058772e-04,1.349959211251e-03
7,10,1.528130113258e-03,-2.058511325870e+00,1,-7.160948058772e-04,-1.349959211251e-03
