rank,lambda_real,lambda_imag,magnitude,argument_rad,amplitude_real,amplitude_imag,abs_amplitude,abs_amplitude_sq,variance_fraction
1,0.9999999999999998,0.0,0.9999999999999998,0.0,0.07856742013183861,0.0,0.07856742013183861,0.006172839506172838,1.0
2,0.00034281895503318594,0.0,0.00034281895503318594,0.0,3.599551212651875e-17,0.0,3.599551212651875e-17,1.2956768932503582e-33,2.0989965670655807e-31
3,0.00010587355648097607,0.00032601971138588134,0.00034277990339876083,1.2567942921386663,-1.9949319973733282e-17,-1.393369198233324e-19,1.9949806570280813e-17,3.979947821916195e-34,6.447515471504237e-32
4,0.00010587355648097607,-0.00032601971138588134,0.00034277990339876083,-1.2567942921386663,-1.9949319973733282e-17,1.393369198233324e-19,1.9949806570280813e-17,3.979947821916195e-34,6.447515471504237e-32
5,-0.0002772830339981493,0.0002014166250161196,0.0003427164101354106,2.5133715956114018,3.599551212651875e-17,-3.2335482761432915e-19,3.599696447750699e-17,1.2957814515948998e-33,2.0991659515837383e-31
6,-0.0002772830339981493,-0.0002014166250161196,0.0003427164101354106,-2.5133715956114018,3.599551212651875e-17,3.2335482761432915e-19,3.599696447750699e-17,1.2957814515948998e-33,2.0991659515837383e-31
7,3.6828695689672835e-05,3.683274581201602e-05,5.208650487655234e-05,0.7854531463336567,1.4094628242311558e-17,3.0704944337968387e-21,1.4094628576762947e-17,1.986585547169027e-34,3.218268586413824e-32
8,3.6828695689672835e-05,-3.683274581201602e-05,5.208650487655234e-05,-0.7854531463336567,1.4094628242311558e-17,-3.0704944337968387e-21,1.4094628576762947e-17,1.986585547169027e-34,3.218268586413824e-32
9,-3.6828695689289874e-05,-3.682464619680312e-05,5.2080777583423665e-05,-2.356249470623361,-8.673617379884035e-18,2.642742795433417e-19,8.677642499403542e-18,7.530147934745455e-35,1.219883965428764e-32
10,-3.6828695689289874e-05,3.682464619680312e-05,5.2080777583423665e-05,2.356249470623361,-8.673617379884035e-18,-2.642742795433417e-19,8.677642499403542e-18,7.530147934745455e-35,1.219883965428764e-32
11,-4.460487238256253e-05,0.0,4.460487238256253e-05,3.141592653589793,-1.9949319973733282e-17,0.0,1.9949319973733282e-17,3.979753674143937e-34,6.447200952113178e-32
12,1.3622404667768133e-09,-4.460351116471015e-05,4.460351118551231e-05,-1.570765785691051,3.122502256758253e-17,-1.178646346104359e-18,3.124725974473959e-17,9.763912415552233e-34,1.581753811319462e-31
13,1.3622404667768133e-09,4.460351116471015e-05,4.460351118551231e-05,1.570765785691051,3.122502256758253e-17,1.178646346104359e-18,3.124725974473959e-17,9.763912415552233e-34,1.581753811319462e-31
14,4.4602147895189745e-05,0.0,4.4602147895189745e-05,0.0,1.2576745200831851e-17,0.0,1.2576745200831851e-17,1.58174519846647e-34,2.562427221515682e-32
15,3.5220052951387874e-05,0.0,3.5220052951387874e-05,0.0,-1.1709383462843448e-17,0.0,1.1709383462843448e-17,1.3710966107991161e-34,2.2211765094945687e-32
16,-5.0442059616071214e-09,3.521501123454497e-05,3.521501159581156e-05,1.570939567014061,-1.496198998029996e-17,-1.4738373282224826e-19,1.4962715867625673e-17,2.238828661352971e-34,3.626902431391814e-32
17,-5.0442059616071214e-09,-3.521501123454497e-05,3.521501159581156e-05,-1.570939567014061,-1.496198998029996e-17,1.4738373282224826e-19,1.4962715867625673e-17,2.238828661352971e-34,3.626902431391814e-32
18,-3.520996451571449e-05,0.0,3.520996451571449e-05,3.141592653589793,1.1275702593849246e-17,0.0,1.1275702593849246e-17,1.2714146898493862e-34,2.059691797556006e-32
19,-2.378043978762807e-06,5.081798548036987e-07,2.431735990965785e-06,2.931062662398046,4.336808689942018e-18,-1.1709383462843448e-17,1.2486695747597449e-17,1.5591757069306822e-34,2.5258646452277056e-32
20,-2.378043978762807e-06,-5.081798548036987e-07,2.431735990965785e-06,-2.931062662398046,4.336808689942018e-18,1.1709383462843448e-17,1.2486695747597449e-17,1.5591757069306822e-34,2.5258646452277056e-32
