y_idx,n_pre_struct,n_pre_weighted,max_weight,col_entropy,col_sum
0,486,486,2.500000e-01,1.680777,9.523810e-01
1,486,486,5.000000e-01,1.680777,1.904762e+00
2,486,486,2.500000e-01,1.404093,8.095238e-01
3,486,486,1.250000e-01,1.680777,4.761905e-01
4,486,486,6.250000e-02,1.680777,2.380952e-01
5,486,486,5.000000e-01,1.404093,1.619048e+00
6,486,486,2.500000e-01,1.680777,9.523810e-01
7,486,486,5.000000e-01,1.680777,1.904762e+00
8,486,486,2.500000e-01,1.404093,8.095238e-01
9,486,486,1.250000e-01,1.680777,4.761905e-01
10,486,486,6.250000e-02,1.680777,2.380952e-01
11,486,486,5.000000e-01,1.404093,1.619048e+00
12,486,486,2.500000e-01,1.680777,9.523810e-01
13,486,486,5.000000e-01,1.680777,1.904762e+00
14,486,486,2.500000e-01,1.404093,8.095238e-01
15,486,486,1.250000e-01,1.680777,4.761905e-01
16,486,486,6.250000e-02,1.680777,2.380952e-01
17,486,486,5.000000e-01,1.404093,1.619048e+00
18,486,486,2.500000e-01,1.680777,9.523810e-01
19,486,486,5.000000e-01,1.680777,1.904762e+00
20,486,486,2.500000e-01,1.404093,8.095238e-01
21,486,486,1.250000e-01,1.680777,4.761905e-01
22,486,486,6.250000e-02,1.680777,2.380952e-01
23,486,486,5.000000e-01,1.404093,1.619048e+00
24,486,486,2.500000e-01,1.680777,9.523810e-01
25,486,486,5.000000e-01,1.680777,1.904762e+00
26,486,486,2.500000e-01,1.404093,8.095238e-01
27,486,486,1.250000e-01,1.680777,4.761905e-01
28,486,486,6.250000e-02,1.680777,2.380952e-01
29,486,486,5.000000e-01,1.404093,1.619048e+00
30,486,486,2.500000e-01,1.680777,9.523810e-01
31,486,486,5.000000e-01,1.680777,1.904762e+00
32,486,486,2.500000e-01,1.404093,8.095238e-01
33,486,486,1.250000e-01,1.680777,4.761905e-01
34,486,486,6.250000e-02,1.680777,2.380952e-01
35,486,486,5.000000e-01,1.404093,1.619048e+00
36,486,486,2.500000e-01,1.680777,9.523810e-01
37,486,486,5.000000e-01,1.680777,1.904762e+00
38,486,486,2.500000e-01,1.404093,8.095238e-01
39,486,486,1.250000e-01,1.680777,4.761905e-01
40,486,486,6.250000e-02,1.680777,2.380952e-01
41,486,486,5.000000e-01,1.404093,1.619048e+00
42,486,486,2.500000e-01,1.680777,9.523810e-01
43,486,486,5.000000e-01,1.680777,1.904762e+00
44,486,486,2.500000e-01,1.404093,8.095238e-01
45,486,486,1.250000e-01,1.680777,4.761905e-01
46,486,486,6.250000e-02,1.680777,2.380952e-01
47,486,486,5.000000e-01,1.404093,1.619048e+00
48,486,486,2.500000e-01,1.680777,9.523810e-01
49,486,486,5.000000e-01,1.680777,1.904762e+00
50,486,486,2.500000e-01,1.404093,8.095238e-01
51,486,486,1.250000e-01,1.680777,4.761905e-01
52,486,486,6.250000e-02,1.680777,2.380952e-01
53,486,486,5.000000e-01,1.404093,1.619048e+00
54,486,486,2.500000e-01,1.680777,9.523810e-01
55,486,486,5.000000e-01,1.680777,1.904762e+00
56,486,486,2.500000e-01,1.404093,8.095238e-01
57,486,486,1.250000e-01,1.680777,4.761905e-01
58,486,486,6.250000e-02,1.680777,2.380952e-01
59,486,486,5.000000e-01,1.404093,1.619048e+00
60,486,486,2.500000e-01,1.680777,9.523810e-01
61,486,486,5.000000e-01,1.680777,1.904762e+00
62,486,486,2.500000e-01,1.404093,8.095238e-01
63,486,486,1.250000e-01,1.680777,4.761905e-01
64,486,486,6.250000e-02,1.680777,2.380952e-01
65,486,486,5.000000e-01,1.404093,1.619048e+00
66,486,486,2.500000e-01,1.680777,9.523810e-01
67,486,486,5.000000e-01,1.680777,1.904762e+00
68,486,486,2.500000e-01,1.404093,8.095238e-01
69,486,486,1.250000e-01,1.680777,4.761905e-01
70,486,486,6.250000e-02,1.680777,2.380952e-01
71,486,486,5.000000e-01,1.404093,1.619048e+00
72,486,486,2.500000e-01,1.680777,9.523810e-01
73,486,486,5.000000e-01,1.680777,1.904762e+00
74,486,486,2.500000e-01,1.404093,8.095238e-01
75,486,486,1.250000e-01,1.680777,4.761905e-01
76,486,486,6.250000e-02,1.680777,2.380952e-01
77,486,486,5.000000e-01,1.404093,1.619048e+00
78,486,486,2.500000e-01,1.680777,9.523810e-01
79,486,486,5.000000e-01,1.680777,1.904762e+00
80,486,486,2.500000e-01,1.404093,8.095238e-01
81,486,486,1.250000e-01,1.680777,4.761905e-01
82,486,486,6.250000e-02,1.680777,2.380952e-01
83,486,486,5.000000e-01,1.404093,1.619048e+00
84,486,486,2.500000e-01,1.680777,9.523810e-01
85,486,486,5.000000e-01,1.680777,1.904762e+00
86,486,486,2.500000e-01,1.404093,8.095238e-01
87,486,486,1.250000e-01,1.680777,4.761905e-01
88,486,486,6.250000e-02,1.680777,2.380952e-01
89,486,486,5.000000e-01,1.404093,1.619048e+00
90,486,486,2.500000e-01,1.680777,9.523810e-01
