v,count,P_emp,P_geom,ratio
1,382205952,2.500000e-01,5.000000e-01,0.500000
2,191102976,1.250000e-01,2.500000e-01,0.500000
3,95551488,6.250000e-02,1.250000e-01,0.500000
4,47775744,3.125000e-02,6.250000e-02,0.500000
5,23887872,1.562500e-02,3.125000e-02,0.500000
6,11943936,7.812500e-03,1.562500e-02,0.500000
7,5971968,3.906250e-03,7.812500e-03,0.500000
8,2985984,1.953125e-03,3.906250e-03,0.500000
9,1492992,9.765625e-04,1.953125e-03,0.500000
10,746496,4.882812e-04,9.765625e-04,0.500000
11,373248,2.441406e-04,4.882812e-04,0.500000
12,186624,1.220703e-04,2.441406e-04,0.500000
13,93312,6.103516e-05,1.220703e-04,0.500000
14,46656,3.051758e-05,6.103516e-05,0.500000
15,23328,1.525879e-05,3.051758e-05,0.500000
16,11664,7.629395e-06,1.525879e-05,0.500000
17,5832,3.814697e-06,7.629395e-06,0.500000
18,2916,1.907349e-06,3.814697e-06,0.500000
19,1458,9.536743e-07,1.907349e-06,0.500000
20,729,4.768372e-07,9.536743e-07,0.500000
