k,B,S_k_smooth,S_k_rough,S_k_total,eps_k
6,7,-1.6991179248e-01,6.3608055348e-01,4.6616876100e-01,-4.979057e-04
7,7,-3.4492756642e-02,4.9998418648e-01,4.6549142984e-01,-1.175237e-03
6,50,-5.5585736372e-01,1.0220261247e+00,4.6616876100e-01,-4.979057e-04
7,50,9.9794011796e-02,3.6569741804e-01,4.6549142984e-01,-1.175237e-03
6,100,-5.1804119108e-01,9.8420995208e-01,4.6616876100e-01,-4.979057e-04
7,100,7.7941190165e-02,3.8755023967e-01,4.6549142984e-01,-1.175237e-03
6,1000,-3.7181273513e-01,8.3798149613e-01,4.6616876100e-01,-4.979057e-04
7,1000,2.6316127489e-01,2.0233015494e-01,4.6549142984e-01,-1.175237e-03
6,10000,4.6558179138e-01,5.8696962384e-04,4.6616876100e-01,-4.979057e-04
7,10000,3.9462593000e-01,7.0865499834e-02,4.6549142984e-01,-1.175237e-03
