k,r,max_prime,orbit_length,reached_1,diverged,pi
5,1,1,0,1,0,3.9683188045e-03
5,2,2,1,1,0,7.9366376089e-03
5,4,2,2,1,0,4.4210853962e-03
5,5,5,5,1,0,4.8549543758e-03
5,7,17,16,1,0,1.3155961506e-03
5,8,2,3,1,0,8.8421707924e-03
5,10,5,6,1,0,9.7099087516e-03
5,11,17,14,1,0,4.1811507865e-03
5,13,13,9,1,0,6.4978354303e-03
5,14,17,17,1,0,2.6311923011e-03
5,16,2,4,1,0,9.7270565561e-04
5,17,17,12,1,0,7.5234214443e-03
5,19,29,20,1,0,4.8608555848e-03
5,20,5,7,1,0,1.9419817503e-02
5,22,17,15,1,0,3.8286108018e-03
5,23,53,15,1,0,1.1147551755e-03
5,25,29,23,1,0,5.4831748761e-04
5,26,13,10,1,0,1.2995670861e-02
5,28,17,18,1,0,5.2623846022e-03
5,29,29,18,1,0,5.6111396570e-03
5,31,1619,106,1,0,2.0383930247e-03
5,32,2,5,1,0,1.9454113112e-03
5,34,17,13,1,0,7.0139245713e-04
5,35,53,13,1,0,2.2600573469e-03
5,37,37,21,1,0,3.7350083436e-03
5,38,29,21,1,0,9.7217111696e-03
5,40,5,8,1,0,5.4970796774e-03
5,41,1619,109,1,0,2.5075427290e-03
5,43,43,29,1,0,1.7123693910e-03
5,44,17,16,1,0,7.6572216035e-03
5,46,53,16,1,0,2.2295103510e-03
5,47,1619,104,1,0,8.2868746598e-03
5,49,37,24,1,0,3.7801167052e-03
5,50,29,24,1,0,1.0966349752e-03
5,52,13,11,1,0,7.1315986789e-04
5,53,53,11,1,0,4.6018848957e-03
5,55,1619,112,1,0,2.2750930200e-03
5,56,17,19,1,0,1.0524769204e-02
5,58,29,19,1,0,1.2872133745e-03
5,59,101,32,1,0,4.6611364384e-03
5,61,61,19,1,0,9.9207970111e-04
5,62,1619,107,1,0,4.0767860494e-03
5,64,2,6,1,0,3.8908226224e-03
5,65,37,27,1,0,6.0587643434e-03
5,67,101,27,1,0,4.6698069016e-03
5,68,17,14,1,0,1.4027849143e-03
5,70,53,14,1,0,9.3375208590e-04
5,71,1619,102,1,0,1.3959796996e-02
5,73,1619,115,1,0,1.7783361334e-03
5,74,37,22,1,0,7.4700166872e-03
5,76,29,22,1,0,1.6959655854e-02
5,77,29,22,1,0,1.5146910858e-03
5,79,269,35,1,0,4.4458403334e-04
5,80,5,9,1,0,1.0994159355e-02
5,82,1619,110,1,0,5.0150854580e-03
5,83,1619,110,1,0,4.9375711184e-03
5,85,17,9,1,0,1.9255787473e-03
5,86,43,30,1,0,3.4247387820e-03
5,88,17,17,1,0,1.0017405654e-03
5,89,101,30,1,0,5.4375818320e-03
5,91,1619,92,1,0,1.6863885543e-02
5,92,53,17,1,0,4.4590207019e-03
5,94,1619,105,1,0,9.8918818001e-03
5,95,1619,105,1,0,4.4327081104e-03
5,97,1619,118,1,0,1.0358593325e-03
5,98,37,25,1,0,7.5602334103e-03
5,100,29,25,1,0,2.1932699504e-03
5,101,101,25,1,0,1.3698955128e-02
5,103,1619,87,1,0,9.6214700561e-03
5,104,13,12,1,0,1.4263197358e-03
5,106,53,12,1,0,7.2023510105e-04
5,107,1619,100,1,0,3.3905676197e-02
5,109,1619,113,1,0,4.0069622617e-03
5,110,1619,113,1,0,4.5501860400e-03
5,112,17,20,1,0,1.9485367615e-03
5,113,113,12,1,0,2.6493256805e-03
5,115,173,33,1,0,5.1892211808e-04
5,116,29,20,1,0,2.5744267491e-03
5,118,101,33,1,0,9.3222728768e-03
5,119,269,33,1,0,5.7618808084e-03
5,121,1619,95,1,0,2.2588019410e-02
5,122,61,20,1,0,1.9841594022e-03
5,124,1619,108,1,0,2.4274771879e-03
5,125,1619,108,1,0,1.2109987897e-02
5,127,1093,46,1,0,2.0905753932e-03
5,128,2,7,1,0,7.7816452449e-03
5,130,37,28,1,0,3.7617107222e-03
5,131,197,28,1,0,2.4304277924e-03
5,133,29,28,1,0,5.5737758774e-04
5,134,101,28,1,0,9.3396138033e-03
5,136,17,15,1,0,2.8055698285e-03
5,137,1619,90,1,0,1.7730832441e-02
5,139,157,41,1,0,1.1300286734e-03
5,140,53,15,1,0,1.8675041718e-03
5,142,1619,103,1,0,1.2537713645e-03
5,143,1619,103,1,0,5.3898754667e-03
5,145,1619,116,1,0,4.1434373299e-03
5,146,1619,116,1,0,3.5566722667e-03
5,148,37,23,1,0,2.3009424479e-03
5,149,149,23,1,0,1.1375465100e-03
5,151,227,15,1,0,2.3305682192e-03
5,152,29,23,1,0,3.3919311709e-02
5,154,29,23,1,0,3.0293821717e-03
5,155,1619,85,1,0,1.2087440854e-02
5,157,157,36,1,0,6.9798984978e-03
5,158,269,36,1,0,8.8916806669e-04
5,160,5,10,1,0,7.5734554292e-04
5,161,1619,98,1,0,3.3564847346e-02
5,163,163,23,1,0,2.4687855592e-03
5,164,1619,111,1,0,1.0030170916e-02
5,166,1619,111,1,0,2.7187909160e-03
5,167,1619,67,1,0,8.4319427713e-03
5,169,1093,49,1,0,2.2163540552e-03
5,170,17,10,1,0,3.8511574946e-03
5,172,43,31,1,0,6.8494775641e-03
5,173,173,31,1,0,5.7052789432e-03
5,175,1619,80,1,0,1.6952838099e-02
5,176,17,18,1,0,2.0034811308e-03
5,178,101,31,1,0,1.3246628402e-03
5,179,269,31,1,0,1.0194526999e-02
5,181,181,18,1,0,2.8809404042e-03
5,182,1619,93,1,0,3.3727771085e-02
5,184,53,18,1,0,6.0549939485e-03
5,185,157,44,1,0,1.0452876966e-03
5,187,317,44,1,0,1.2152138962e-03
5,188,1619,106,1,0,1.9783763600e-02
5,190,1619,106,1,0,8.8654162207e-03
5,191,1093,44,1,0,4.1513769446e-03
5,193,1619,119,1,0,2.6949377333e-03
5,194,1619,119,1,0,2.0717186650e-03
5,196,37,26,1,0,5.6877325500e-04
5,197,197,26,1,0,3.6490505945e-03
5,199,1619,119,1,0,6.0437204270e-03
5,200,29,26,1,0,4.3865399009e-03
5,202,101,26,1,0,1.6782423673e-02
5,203,229,39,1,0,1.2343927796e-03
5,205,41,26,1,0,4.2159713856e-03
5,206,1619,88,1,0,1.9242940112e-02
5,208,13,13,1,0,2.8526394716e-03
5,209,157,39,1,0,1.0597302722e-02
5,211,317,39,1,0,5.0972634993e-03
5,212,53,13,1,0,1.4404702021e-03
5,214,1619,101,1,0,5.2264384831e-04
5,215,1619,101,1,0,7.2894744676e-03
5,217,163,26,1,0,2.0756884723e-03
5,218,1619,114,1,0,8.0139245233e-03
5,220,1619,114,1,0,1.8245252972e-03
5,221,1619,114,1,0,3.0218602135e-03
5,223,1619,70,1,0,6.1719638980e-04
5,224,17,21,1,0,3.8970735230e-03
5,226,113,13,1,0,5.2986513610e-03
5,227,227,13,1,0,4.9362569555e-03
5,229,229,34,1,0,3.6447372338e-03
5,230,173,34,1,0,1.0378442362e-03
5,232,29,21,1,0,1.5109301067e-03
5,233,1619,83,1,0,1.9409599842e-02
5,235,1619,127,1,0,2.4681284778e-03
5,236,101,34,1,0,1.8644545754e-02
5,238,269,34,1,0,9.7047999211e-03
5,239,1367,52,1,0,1.2340642389e-03
5,241,241,21,1,0,6.1703211944e-04
5,242,1619,96,1,0,4.5176038820e-02
6,1,1,0,1,0,1.3105898078e-03
6,2,2,1,1,0,2.6211796156e-03
6,4,2,2,1,0,1.2740404268e-03
6,5,5,5,1,0,9.6292237178e-04
6,7,17,16,1,0,2.7033730669e-04
6,8,2,3,1,0,2.5480808535e-03
6,10,5,6,1,0,1.9258447436e-03
6,11,17,14,1,0,1.4058197050e-03
6,13,13,9,1,0,1.9636711251e-03
6,14,17,17,1,0,5.4067461338e-04
6,16,2,4,1,0,2.4120733123e-04
6,17,17,12,1,0,2.1943025917e-03
6,19,29,20,1,0,1.0115317747e-03
6,20,5,7,1,0,3.8516894871e-03
6,22,17,15,1,0,1.4960432595e-03
6,23,53,15,1,0,3.8047792875e-04
6,25,29,23,1,0,1.7020813932e-04
6,26,13,10,1,0,3.9273422502e-03
6,28,17,18,1,0,1.0813492268e-03
6,29,29,18,1,0,2.6606055227e-03
6,31,1619,106,1,0,9.2102441748e-04
6,32,2,5,1,0,4.8241466247e-04
6,34,17,13,1,0,2.0745439685e-04
6,35,53,13,1,0,6.9373682940e-04
6,37,37,21,1,0,1.1939649150e-03
6,38,29,21,1,0,2.0230635494e-03
6,40,5,8,1,0,1.2055435440e-03
6,41,1619,109,1,0,5.7471258030e-04
6,43,43,29,1,0,5.3885480878e-04
6,44,17,16,1,0,2.9920865190e-03
6,46,53,16,1,0,7.6095585750e-04
6,47,1619,104,1,0,2.5567248700e-03
6,49,37,24,1,0,1.5511661213e-03
6,50,29,24,1,0,3.4041627864e-04
6,52,13,11,1,0,3.3126305614e-04
6,53,53,11,1,0,1.2035700217e-03
6,55,1619,112,1,0,5.8360056735e-04
6,56,17,19,1,0,2.1626984535e-03
6,58,29,19,1,0,4.6035546063e-04
6,59,101,32,1,0,1.0589562521e-03
6,61,61,19,1,0,3.7214893212e-04
6,62,1619,107,1,0,1.8420488350e-03
6,64,2,6,1,0,9.6482932493e-04
6,65,37,27,1,0,1.5895148596e-03
6,67,101,27,1,0,1.3990813054e-03
6,68,17,14,1,0,4.1490879370e-04
6,70,53,14,1,0,2.7271848331e-04
6,71,1619,102,1,0,4.3319052827e-03
6,73,1619,115,1,0,4.9598090702e-04
6,74,37,22,1,0,2.3879298299e-03
6,76,29,22,1,0,3.4978096113e-03
6,77,29,22,1,0,6.7673381046e-04
6,79,269,35,1,0,1.6284682053e-04
6,80,5,9,1,0,2.4110870880e-03
6,82,1619,110,1,0,1.1494251606e-03
6,83,1619,110,1,0,1.5517801091e-03
6,85,17,9,1,0,7.6858988657e-04
6,86,43,30,1,0,1.0777096176e-03
6,88,17,17,1,0,3.7303338105e-04
6,89,101,30,1,0,2.6539521283e-03
6,91,1619,92,1,0,8.4808496628e-03
6,92,53,17,1,0,1.5219117150e-03
6,94,1619,105,1,0,3.0750567153e-03
6,95,1619,105,1,0,1.3288666461e-03
6,97,1619,118,1,0,3.1959060875e-04
6,98,37,25,1,0,3.1023322426e-03
6,100,29,25,1,0,6.8083255727e-04
6,101,101,25,1,0,3.9797181609e-03
6,103,1619,87,1,0,4.5988164411e-03
6,104,13,12,1,0,6.6252611228e-04
6,106,53,12,1,0,1.4708269654e-04
6,107,1619,100,1,0,7.0842171849e-03
6,109,1619,113,1,0,1.3439951375e-03
6,110,1619,113,1,0,1.1672011347e-03
6,112,17,20,1,0,5.9038856346e-04
6,113,113,12,1,0,7.7177288598e-04
6,115,173,33,1,0,1.5234023800e-04
6,116,29,20,1,0,9.2071092127e-04
6,118,101,33,1,0,2.1179125041e-03
6,119,269,33,1,0,1.1766615723e-03
6,121,1619,95,1,0,8.4509399404e-03
6,122,61,20,1,0,7.4429786424e-04
6,124,1619,108,1,0,1.1765549409e-03
6,125,1619,108,1,0,2.7750253012e-03
6,127,1093,46,1,0,8.3454949686e-04
6,128,2,7,1,0,1.9296586499e-03
6,130,37,28,1,0,1.4666603283e-03
6,131,197,28,1,0,1.1542612169e-03
6,133,29,28,1,0,2.0205837242e-04
6,134,101,28,1,0,2.7981626107e-03
6,136,17,15,1,0,8.2981758740e-04
6,137,1619,90,1,0,8.7401453448e-03
6,139,157,41,1,0,3.3594473134e-04
6,140,53,15,1,0,5.4543696663e-04
6,142,1619,103,1,0,3.7693590555e-04
6,143,1619,103,1,0,2.4650864402e-03
6,145,1619,116,1,0,1.1649394318e-03
6,146,1619,116,1,0,9.9196181405e-04
6,148,37,23,1,0,9.9574295467e-04
6,149,149,23,1,0,4.7116983141e-04
6,151,227,15,1,0,1.1276295689e-03
6,152,29,23,1,0,6.9956192226e-03
6,154,29,23,1,0,1.3534676209e-03
6,155,1619,85,1,0,5.3195504597e-03
6,157,157,36,1,0,2.7966954727e-03
6,158,269,36,1,0,3.2569364106e-04
6,160,5,10,1,0,2.2028928023e-04
6,161,1619,98,1,0,1.7031709092e-02
6,163,163,23,1,0,6.5975903150e-04
6,164,1619,111,1,0,2.2988503212e-03
6,166,1619,111,1,0,8.2846719815e-04
6,167,1619,67,1,0,2.4480154877e-03
6,169,1093,49,1,0,4.5940256401e-04
6,170,17,10,1,0,1.5371797731e-03
6,172,43,31,1,0,2.1554192351e-03
6,173,173,31,1,0,1.3977663955e-03
6,175,1619,80,1,0,4.8869697133e-03
6,176,17,18,1,0,7.4606676209e-04
6,178,101,31,1,0,6.4676781814e-04
6,179,269,31,1,0,2.9840608729e-03
6,181,181,18,1,0,1.3356848969e-03
6,182,1619,93,1,0,1.6961699326e-02
6,184,53,18,1,0,2.0517437289e-03
6,185,157,44,1,0,3.5145492626e-04
6,187,317,44,1,0,2.5288294368e-04
6,188,1619,106,1,0,6.1501134306e-03
6,190,1619,106,1,0,2.6577332923e-03
6,191,1093,44,1,0,1.2187219040e-03
6,193,1619,119,1,0,7.9251177747e-04
6,194,1619,119,1,0,6.3918121750e-04
6,196,37,26,1,0,1.4590014184e-04
6,197,197,26,1,0,1.4799529592e-03
6,199,1619,119,1,0,1.3069230268e-03
6,200,29,26,1,0,1.3616651145e-03
6,202,101,26,1,0,3.2896294203e-03
6,203,229,39,1,0,3.8794502727e-04
6,205,41,26,1,0,2.1202124157e-03
6,206,1619,88,1,0,9.1976328823e-03
6,208,13,13,1,0,1.3250522246e-03
6,209,157,39,1,0,2.3360686329e-03
6,211,317,39,1,0,2.4685128519e-03
6,212,53,13,1,0,2.9416539308e-04
6,214,1619,101,1,0,2.0863737421e-04
6,215,1619,101,1,0,2.9835030376e-03
6,217,163,26,1,0,6.4136377058e-04
6,218,1619,114,1,0,2.6879902750e-03
6,220,1619,114,1,0,5.5606613603e-04
6,221,1619,114,1,0,1.3298876149e-03
6,223,1619,70,1,0,1.6493975788e-04
6,224,17,21,1,0,1.1807771269e-03
6,226,113,13,1,0,1.5435457720e-03
6,227,227,13,1,0,1.9112993278e-03
6,229,229,34,1,0,1.0824172483e-03
6,230,173,34,1,0,3.0468047599e-04
6,232,29,21,1,0,3.2673075670e-04
6,233,1619,83,1,0,6.1407066838e-03
6,235,1619,127,1,0,8.5056623445e-04
6,236,101,34,1,0,4.2358250083e-03
6,238,269,34,1,0,1.9087391113e-03
6,239,1367,52,1,0,4.7782483196e-04
6,241,241,21,1,0,2.1264155861e-04
6,242,1619,96,1,0,1.6901879881e-02
6,244,61,21,1,0,1.4885957285e-03
6,245,53,21,1,0,2.3382665363e-03
6,247,557,47,1,0,9.3929745595e-04
6,248,1619,109,1,0,2.3531098819e-03
