r,N_r,ell,t_label,t_val,eta,J_size,max_concentration,concentration_ratio,entropy,entropy_normalized,r_eff,r_eff_ratio,low_freq_mass,classification
6,486,0,1,1.0,0.5,204,0.023014307788709047,4.694918788896645,4.98408929398556,0.9371900784026498,126,0.6176470588235294,0.2636649138877523,β
6,486,1,1,1.0,0.5,204,0.018114200198937225,3.695296840583194,5.017366106002513,0.9434473294717253,133,0.6519607843137255,0.2433237940167298,β
6,486,2,1,1.0,0.5,204,0.022100733789461674,4.508549693050181,4.982056863045646,0.9368079074583561,131,0.6421568627450981,0.2578637497050725,β
6,486,3,1,1.0,0.5,204,0.023014307788709047,4.694918788896645,4.98408929398556,0.9371900784026498,126,0.6176470588235294,0.2636649138877523,β
6,486,0,1,1.0,0.25,98,0.04782527493538809,4.686876943668032,4.106873544268212,0.8957257741463882,57,0.5816326530612245,0.21496029284800258,β
6,486,1,1,1.0,0.25,98,0.03340836958273715,3.2740202191082406,4.220981645189269,0.9206132136869939,62,0.6326530612244898,0.25767715076784775,β
6,486,2,1,1.0,0.25,98,0.042685714967109316,4.183200066776713,4.254471479750673,0.9279174824123883,62,0.6326530612244898,0.27233182820118873,β
6,486,3,1,1.0,0.25,98,0.04782527493538809,4.686876943668032,4.106873544268212,0.8957257741463882,57,0.5816326530612245,0.21496029284800258,β
6,486,0,2,2.0,0.5,204,0.019266349067960063,3.930335209863853,4.941614035526646,0.9292031848184359,120,0.5882352941176471,0.18517695419009259,β
6,486,1,2,2.0,0.5,204,0.016478499131406386,3.361613822806903,4.976350120962106,0.9357348323697636,125,0.6127450980392157,0.25954916919824633,β
6,486,2,2,2.0,0.5,204,0.017685987994200163,3.6079415508168333,4.957158111456872,0.9321260364931289,122,0.5980392156862745,0.2582348997420563,β
6,486,3,2,2.0,0.5,204,0.019266349067960063,3.930335209863853,4.941614035526646,0.9292031848184359,120,0.5882352941176471,0.18517695419009259,β
6,486,0,2,2.0,0.25,98,0.04192084577416709,4.108242885868375,4.120712193764901,0.898744039719932,53,0.5408163265306123,0.19687902849181174,β
6,486,1,2,2.0,0.25,98,0.03899628959104943,3.821636379922844,4.183833362848164,0.9125110226651556,56,0.5714285714285714,0.25414198343630634,β
6,486,2,2,2.0,0.25,98,0.0487449295049225,4.777003091482405,4.243147686401417,0.9254477171628124,63,0.6428571428571429,0.23828701767056706,β
6,486,3,2,2.0,0.25,98,0.04192084577416709,4.108242885868375,4.120712193764901,0.898744039719932,53,0.5408163265306123,0.19687902849181174,β
6,486,0,3,3.0,0.5,204,0.01942969226321081,3.963657221695005,4.9718809972244795,0.9348944745473001,122,0.5980392156862745,0.20881064557890583,β
