n,k,c_nk_num,c_nk_den,c_nk_float,abs_c_nk_float,sign
1,0,1,6,1.666666666666667e-01,1.666666666666667e-01,+
2,0,0,1,0.000000000000000e+00,0.000000000000000e+00,0
2,1,10,21,4.761904761904762e-01,4.761904761904762e-01,+
3,0,0,1,0.000000000000000e+00,0.000000000000000e+00,0
3,1,0,1,0.000000000000000e+00,0.000000000000000e+00,0
3,2,31370,67963,4.615746803407736e-01,4.615746803407736e-01,+
4,0,0,1,0.000000000000000e+00,0.000000000000000e+00,0
4,1,0,1,0.000000000000000e+00,0.000000000000000e+00,0
4,2,0,1,0.000000000000000e+00,0.000000000000000e+00,0
4,3,143195649659456490,308468774477179141,4.642144084183479e-01,4.642144084183479e-01,+
5,0,0,1,0.000000000000000e+00,0.000000000000000e+00,0
5,1,0,1,0.000000000000000e+00,0.000000000000000e+00,0
5,2,0,1,0.000000000000000e+00,0.000000000000000e+00,0
5,3,0,1,0.000000000000000e+00,0.000000000000000e+00,0
5,4,2490699741144069281815149277465294323722281911695597204406570,5350418720142111510029542161258891403960563152740894082816203,4.655149197515357e-01,4.655149197515357e-01,+
6,0,0,1,0.000000000000000e+00,0.000000000000000e+00,0
6,1,0,1,0.000000000000000e+00,0.000000000000000e+00,0
6,2,0,1,0.000000000000000e+00,0.000000000000000e+00,0
6,3,0,1,0.000000000000000e+00,0.000000000000000e+00,0
6,4,0,1,0.000000000000000e+00,0.000000000000000e+00,0
6,5,3073594394508858158063860398646918469118621544451223655237787736044140305600491108232683716375149129809572776883214501465626550917830849901208399259893949668774475847028354296093382145075270,6593308371642093718618660948586623421072140639443126614173839021148571641533385540268510160579160359417192756329060861771589941737564918045220171980607356372262183045471725888175409486651187,4.661687610014463e-01,4.661687610014463e-01,+
