metric,value
N,1000000
N_eff,1000000
depth_k,5
a,4
b,3
chi2_per_cell,8.77413615155186e-07
noise_floor_chi2,0.000144
chi2_ratio,0.0060931501052443465
max_abs_D,0.000310735706000001
p90_abs_D,0.00012670285489999877
n_cells_above_3sigma,1
verdict,CRT-INDEPENDENT (no structure detected at N=10^6)
recommendation,"skip full probe, or push N to 10^7-10^8 for tighter test"

odd_r2,1,3,5,7,9,11,13,15
M2_marginal,1.2519700000e-01,1.2432500000e-01,1.2491400000e-01,1.2505800000e-01,1.2525300000e-01,1.2533200000e-01,1.2499400000e-01,1.2492700000e-01
coprime_r3,1,2,4,5,7,8,10,11,13,14,16,17,19,20,22,23,25,26
M3_marginal,3.6812000000e-02,7.3527000000e-02,1.9641000000e-02,3.2948000000e-02,9.0340000000e-03,4.0147000000e-02,6.5999000000e-02,4.8819000000e-02,8.8521000000e-02,1.8211000000e-02,1.6553000000e-02,1.3204500000e-01,2.4183000000e-02,1.3152100000e-01,6.5623000000e-02,1.2071000000e-02,6.0670000000e-03,1.7827800000e-01
