lambda,pearson,mae
0.0,0.8568114102554024,0.11890021599860767
0.05,0.8537963567488873,0.11940730492115281
0.1,0.8482904402987042,0.1202337490207683
0.15000000000000002,0.8417441655007525,0.12172696481536807
0.2,0.8351767203719112,0.12436649128641084
0.25,0.8292409355383659,0.12674913772728422
0.30000000000000004,0.8243161123898394,0.12881748390743425
0.35000000000000003,0.8205962722515259,0.1305228483675071
0.4,0.8181612463683355,0.131824149984693
0.45,0.8170289048002873,0.1326862650416464
0.5,0.8171913591206559,0.13307807951115636
0.55,0.8186390090156554,0.13297051526778453
0.6000000000000001,0.821375523075422,0.1323350194325657
0.65,0.8254246754642246,0.13114348730982123
0.7000000000000001,0.8308254061987206,0.12937157416899683
0.75,0.8376011005966292,0.12700917206604345
0.8,0.8456642132316202,0.1240847607471599
0.8500000000000001,0.8545588749381182,0.1207138740895872
0.9,0.8628230297153381,0.11718256932602408
0.9500000000000001,0.8665990256020654,0.11417546419444694
1.0,0.857421312653131,0.11678671531028523
