r,n,mean_log_ratio,std_log_ratio,skew_log_ratio
1,100620,20.24019206494946,1.3994581093231169,-0.8645769825876284
3,83132,20.02090103520856,1.4610192932111037,-0.6402775642438361
5,121281,20.49117025831369,1.3826798082277822,-1.3824091631998925
7,40035,19.37391374527895,1.6813910217476353,-0.22664825842154718
9,46203,19.362396151501958,1.628292033637461,-0.17378913200520862
11,73950,19.89185832265092,1.4703198014056686,-1.0578396141534632
13,121264,20.495586885920048,1.38865171623688,-0.964895071027953
15,30805,19.129636520836232,1.8169847401223929,-0.023920138829271083
17,121295,20.50290530537492,1.3811864445109883,-1.362719834900919
19,73957,19.875767916612144,1.4766714320228544,-0.5073803508105632
21,128117,20.56872342259035,1.3874315276474838,-1.0097397935370092
23,52358,19.71986203618611,1.6260799041745135,-0.9799465438680277
25,92401,20.137447025740403,1.4122366088542593,-0.7475154690058387
27,46201,19.36666582729946,1.627933100727123,-0.18082404483942505
29,100664,20.23352676112614,1.386838148546181,-1.3314209698207486
31,15423,18.52369691132332,2.033166097826046,0.3563147597280708
