label;inftype;chi;L0_re;L0_im;L1_re;L1_im;L2_re;L2_im
p5a;(1,0);[-1, -1/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.41252303869963421541768558030791080365840457025960;0.11718915039593348648403944293729983553515502080228;0.71357292546965472555818988473366987290804584790438;0.13038786173698411822564656945273515557348346864268
p5a;(2,0);[-2, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.55674763846861735119365853088099603829422186345804;-0.34408896372984398024189934038897350835115565227315;0.85607167685404896463408404526754534245030761944796;-0.33570849540608321979457919686150827689535574149504
label;inftype;chi;L1_re;L1_im;L2_re;L2_im
p5a;(1,0);[-1, -1/2]~;0.41252303869963421541768558030791080365840457025960;0.11718915039593348648403944293729983553515502080228;0.71357292546965472555818988473366987290804584790438;0.13038786173698411822564656945273515557348346864268
p5a;(2,0);[-2, -1]~;0.55674763846861735119365853088099603829422186345804;-0.34408896372984398024189934038897350835115565227315;0.85607167685404896463408404526754534245030761944796;-0.33570849540608321979457919686150827689535574149504
p5a;(1,1);[0, -1]~;-0.25000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000
p5a;(0,1);[1, -1/2]~;0.41252303869963421541768558030791080365840457025960;-0.11718915039593348648403944293729983553515502080228;0.71357292546965472555818988473366987290804584790438;-0.13038786173698411822564656945273515557348346864268
p5a;(0,2);[2, -1]~;0.55674763846861735119365853088099603829422186345804;0.34408896372984398024189934038897350835115565227315;0.85607167685404896463408404526754534245030761944796;0.33570849540608321979457919686150827689535574149504
p5a;(-1,0);[1, 1/2]~;0.71357292546965472555818988473366987290804584790438;-0.13038786173698411822564656945273515557348346864268;0.86464370285856916093870885245090860365694011359610;-0.09181495769030660917621350614952121738088076878153
p5a;(1,-1);[-2, 0]~;0.85607167685404896463408404526754534245030761944796;-0.33570849540608321979457919686150827689535574149504;0.95871829209866881015718037072307753339178062005150;-0.21437169291217084487356331950555195654779166360477
p5a;(2,1);[-1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.41252303869963421541768558030791080365840457025960;0.11718915039593348648403944293729983553515502080228
p5a;(1,2);[1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.41252303869963421541768558030791080365840457025960;-0.11718915039593348648403944293729983553515502080228
p5a;(3,0);[-3, -3/2]~;1.10356306918926780167961832695524030927504371971892;0.61527670860002014264717203053666199946426199944993;1.31007841021143951193628233615408463559181627227105;0.50318479413505551197632025457725812184043532071741
p5a;(0,3);[3, -3/2]~;1.10356306918926780167961832695524030927504371971892;-0.61527670860002014264717203053666199946426199944993;1.31007841021143951193628233615408463559181627227105;-0.50318479413505551197632025457725812184043532071741
p5b;(1,0);[-1, -1/2]~;0.41252303869963421541768558030791080365840457025960;-0.11718915039593348648403944293729983553515502080228;0.71357292546965472555818988473366987290804584790438;-0.13038786173698411822564656945273515557348346864268
p5b;(2,0);[-2, -1]~;0.55674763846861735119365853088099603829422186345804;0.34408896372984398024189934038897350835115565227315;0.85607167685404896463408404526754534245030761944796;0.33570849540608321979457919686150827689535574149504
p5b;(1,1);[0, -1]~;-0.25000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000
p5b;(0,1);[1, -1/2]~;0.41252303869963421541768558030791080365840457025960;0.11718915039593348648403944293729983553515502080228;0.71357292546965472555818988473366987290804584790438;0.13038786173698411822564656945273515557348346864268
p5b;(0,2);[2, -1]~;0.55674763846861735119365853088099603829422186345804;-0.34408896372984398024189934038897350835115565227315;0.85607167685404896463408404526754534245030761944796;-0.33570849540608321979457919686150827689535574149504
