q,r,f_r
3,0,0.00717704
3,1,0.34693286
3,2,0.64589010
5,0,0.20428851
5,1,0.21400036
5,2,0.20081436
5,3,0.19998290
5,4,0.18091386
7,0,0.13994840
7,1,0.14462255
7,2,0.13687473
7,3,0.14623384
7,4,0.14609525
7,5,0.15532401
7,6,0.13090121
9,0,0.00239338
9,1,0.14366892
9,2,0.22108601
9,3,0.00239175
9,4,0.16386422
9,5,0.08460834
9,6,0.00239191
9,7,0.03939971
9,8,0.34019576
11,0,0.08172267
11,1,0.10514836
11,2,0.10112930
11,3,0.08108103
11,4,0.08619999
11,5,0.11147952
11,6,0.09263005
11,7,0.07976417
11,8,0.08128437
11,9,0.09215960
11,10,0.08740094
13,0,0.09128375
13,1,0.08775147
13,2,0.05858586
13,3,0.07034072
13,4,0.08962894
13,5,0.08950514
13,6,0.06318839
13,7,0.07571520
13,8,0.05962645
13,9,0.08161711
13,10,0.07907030
13,11,0.08526330
13,12,0.06842338
15,0,0.00143633
15,1,0.08614659
15,2,0.13741444
15,3,0.00143559
15,4,0.05643162
15,5,0.13649994
15,6,0.00143497
15,7,0.06196520
15,8,0.12251011
15,9,0.00143543
15,10,0.06635224
15,11,0.12641880
15,12,0.00143472
15,13,0.07603721
15,14,0.12304681
