band,q,h_q
0-25,-5.00,0.435868
0-25,-4.00,0.428630
0-25,-3.00,0.421675
0-25,-2.00,0.414999
0-25,-1.00,0.408597
0-25,-0.50,0.405498
0-25,0.00,0.402468
0-25,0.50,0.399509
0-25,1.00,0.396623
0-25,1.50,0.393812
0-25,2.00,0.391077
0-25,3.00,0.385842
0-25,4.00,0.380918
0-25,5.00,0.376290
25-50,-5.00,3.199426
25-50,-4.00,3.126178
25-50,-3.00,3.008300
25-50,-2.00,2.779264
25-50,-1.00,2.112151
25-50,-0.50,0.824143
25-50,0.00,0.285548
25-50,0.50,0.279292
25-50,1.00,0.273214
25-50,1.50,0.267305
25-50,2.00,0.261560
25-50,3.00,0.250534
25-50,4.00,0.240112
25-50,5.00,0.230310
50-75,-5.00,3.173451
50-75,-4.00,3.101464
50-75,-3.00,2.986143
50-75,-2.00,2.763549
50-75,-1.00,2.119322
50-75,-0.50,0.873668
50-75,0.00,0.281738
50-75,0.50,0.275064
50-75,1.00,0.268665
50-75,1.50,0.262529
50-75,2.00,0.256638
50-75,3.00,0.245502
50-75,4.00,0.235080
50-75,5.00,0.225243
75-95,-5.00,3.249394
75-95,-4.00,3.176315
75-95,-3.00,3.059412
75-95,-2.00,2.834911
75-95,-1.00,2.203553
75-95,-0.50,1.032455
75-95,0.00,0.285658
75-95,0.50,0.279337
75-95,1.00,0.273311
75-95,1.50,0.267563
75-95,2.00,0.262079
75-95,3.00,0.251816
75-95,4.00,0.242309
75-95,5.00,0.233363
95-100,-5.00,3.292390
95-100,-4.00,3.229478
95-100,-3.00,3.128602
95-100,-2.00,2.936025
95-100,-1.00,2.403949
95-100,-0.50,1.417884
95-100,0.00,0.297058
95-100,0.50,0.290815
95-100,1.00,0.284966
95-100,1.50,0.279396
95-100,2.00,0.274105
95-100,3.00,0.264314
95-100,4.00,0.255454
95-100,5.00,0.247359
