q,h_q,h_se,r2,tau_q
-5.00,3.287919,1.601586,0.375806,-17.439594
-4.00,3.213924,1.562782,0.376634,-13.855696
-3.00,3.094042,1.497342,0.378872,-10.282125
-2.00,2.864820,1.368397,0.385047,-6.729639
-1.00,2.236004,1.008244,0.412667,-3.236004
-0.50,1.077131,0.340455,0.588468,-1.538566
0.00,0.501993,0.011088,0.996596,-1.000000
0.50,0.498549,0.009971,0.997208,-0.750726
1.00,0.495387,0.008942,0.997725,-0.504613
1.50,0.492474,0.007993,0.998160,-0.261289
2.00,0.489780,0.007119,0.998523,-0.020439
3.00,0.484929,0.005576,0.999075,0.454788
4.00,0.480598,0.004288,0.999443,0.922390
5.00,0.476611,0.003290,0.999666,1.383057
