band,q,h_q
0-25,-5.00,2.158939
0-25,-4.00,2.093589
0-25,-3.00,1.984934
0-25,-2.00,1.767727
0-25,-1.00,1.115755
0-25,-0.50,0.414022
0-25,0.00,0.402357
0-25,0.50,0.399310
0-25,1.00,0.396340
0-25,1.50,0.393449
0-25,2.00,0.390641
0-25,3.00,0.385283
0-25,4.00,0.380288
0-25,5.00,0.375661
25-50,-5.00,2.256117
25-50,-4.00,2.183104
25-50,-3.00,2.066100
25-50,-2.00,1.840430
25-50,-1.00,1.185731
25-50,-0.50,0.315411
25-50,0.00,0.285204
25-50,0.50,0.278942
25-50,1.00,0.272855
25-50,1.50,0.266935
25-50,2.00,0.261177
25-50,3.00,0.250130
25-50,4.00,0.239702
25-50,5.00,0.229921
50-75,-5.00,2.289386
50-75,-4.00,2.214590
50-75,-3.00,2.095328
50-75,-2.00,1.867196
50-75,-1.00,1.223074
50-75,-0.50,0.331085
50-75,0.00,0.281159
50-75,0.50,0.274467
50-75,1.00,0.268051
50-75,1.50,0.261891
50-75,2.00,0.255972
50-75,3.00,0.244765
50-75,4.00,0.234254
50-75,5.00,0.224312
75-95,-5.00,2.513642
75-95,-4.00,2.442112
75-95,-3.00,2.327237
75-95,-2.00,2.105419
75-95,-1.00,1.469083
75-95,-0.50,0.419682
75-95,0.00,0.285277
75-95,0.50,0.278977
75-95,1.00,0.272987
75-95,1.50,0.267272
75-95,2.00,0.261819
75-95,3.00,0.251610
75-95,4.00,0.242152
75-95,5.00,0.233256
95-100,-5.00,2.354716
95-100,-4.00,2.292238
95-100,-3.00,2.192176
95-100,-2.00,1.999874
95-100,-1.00,1.452919
95-100,-0.50,0.502487
95-100,0.00,0.296656
95-100,0.50,0.290506
95-100,1.00,0.284676
95-100,1.50,0.279113
95-100,2.00,0.273816
95-100,3.00,0.263968
95-100,4.00,0.254978
95-100,5.00,0.246668
