n,k,vertex_count,D_n_k,phi_3k
0,1,1,1.9999999999999998,2
0,2,1,5.999999999999999,6
0,3,1,18.0,18
0,4,1,54.0,54
0,5,1,162.0,162
1,1,13,0.01183431952662722,2
1,2,13,0.10650887573964493,6
1,3,13,0.9585798816568049,18
1,4,13,4.153846153846153,54
1,5,13,12.461538461538463,162
2,1,56,0.0006377551020408157,2
2,2,56,0.021045918367346934,6
2,3,56,0.08035714285714282,18
2,4,56,1.2225765306122445,54
2,5,56,2.4795918367346927,162
3,1,189,0.0,2
3,2,189,0.0015117157974300828,6
3,3,189,0.19501133786848068,18
3,4,189,0.22978080120937264,54
3,5,189,0.6485260770975048,162
4,1,459,0.0002563116749967964,2
4,2,459,0.010423341449869707,6
4,3,459,0.019052501174761843,18
4,4,459,0.11559656542355498,54
4,5,459,0.30449826989619366,162
5,1,1061,6.573564853103036e-05,2
5,2,1061,0.0040027680037949005,6
5,3,1061,0.007147419298387433,18
5,4,1061,0.0317556481579361,54
5,5,1061,0.09656211441378458,162
6,1,2247,0.00012953036922691243,2
6,2,2247,0.0010362429538152917,6
6,3,2247,0.007960770123404414,18
6,4,2247,0.009219234903324592,54
6,5,2247,0.0711335630417771,162
