# entry decomposition q=3 L=3: for each nonzero Lmat[src,dst], the (da,db) move-pairs and w-products
# src(e_rho,gamma)	dst(e_rho,gamma)	entry	(da,db):wprod ...
(0,0)	(0,0)	0.33333588	(1,1):0.250002 (2,2):0.0625005 (3,3):0.0156251 (4,4):0.00390628 (5,5):0.00097657 (6,6):0.000244142 (7,7):6.10356e-05 (8,8):1.52589e-05 (9,9):3.81473e-06 (10,10):9.53682e-07 (11,11):2.3842e-07 (12,12):5.96051e-08 (13,13):1.49013e-08 (14,14):3.72532e-09 (15,15):9.3133e-10 (16,16):2.32832e-10 (17,17):5.82081e-11 (18,18):1.4552e-11
(0,0)	(2,1)	0.01388979	(1,17):6.35788e-07 (2,18):1.58947e-07 (3,1):0.0104167 (4,2):0.00260419 (5,3):0.000651047 (6,4):0.000162762 (7,5):4.06904e-05 (8,6):1.01726e-05 (9,7):2.54315e-06 (10,8):6.35788e-07 (11,9):1.58947e-07 (12,10):3.97367e-08 (13,11):9.93418e-09 (14,12):2.48355e-09 (15,13):6.20886e-10 (16,14):1.55222e-10 (17,15):3.88054e-11 (18,16):9.70135e-12
(0,0)	(2,2)	0.01388979	(1,17):6.35788e-07 (2,18):1.58947e-07 (3,1):0.0104167 (4,2):0.00260419 (5,3):0.000651047 (6,4):0.000162762 (7,5):4.06904e-05 (8,6):1.01726e-05 (9,7):2.54315e-06 (10,8):6.35788e-07 (11,9):1.58947e-07 (12,10):3.97367e-08 (13,11):9.93418e-09 (14,12):2.48355e-09 (15,13):6.20886e-10 (16,14):1.55222e-10 (17,15):3.88054e-11 (18,16):9.70135e-12
(0,0)	(2,4)	0.01388979	(1,17):6.35788e-07 (2,18):1.58947e-07 (3,1):0.0104167 (4,2):0.00260419 (5,3):0.000651047 (6,4):0.000162762 (7,5):4.06904e-05 (8,6):1.01726e-05 (9,7):2.54315e-06 (10,8):6.35788e-07 (11,9):1.58947e-07 (12,10):3.97367e-08 (13,11):9.93418e-09 (14,12):2.48355e-09 (15,13):6.20886e-10 (16,14):1.55222e-10 (17,15):3.88054e-11 (18,16):9.70135e-12
(0,0)	(2,5)	0.01388979	(1,17):6.35788e-07 (2,18):1.58947e-07 (3,1):0.0104167 (4,2):0.00260419 (5,3):0.000651047 (6,4):0.000162762 (7,5):4.06904e-05 (8,6):1.01726e-05 (9,7):2.54315e-06 (10,8):6.35788e-07 (11,9):1.58947e-07 (12,10):3.97367e-08 (13,11):9.93418e-09 (14,12):2.48355e-09 (15,13):6.20886e-10 (16,14):1.55222e-10 (17,15):3.88054e-11 (18,16):9.70135e-12
(0,0)	(2,7)	0.01388979	(1,17):6.35788e-07 (2,18):1.58947e-07 (3,1):0.0104167 (4,2):0.00260419 (5,3):0.000651047 (6,4):0.000162762 (7,5):4.06904e-05 (8,6):1.01726e-05 (9,7):2.54315e-06 (10,8):6.35788e-07 (11,9):1.58947e-07 (12,10):3.97367e-08 (13,11):9.93418e-09 (14,12):2.48355e-09 (15,13):6.20886e-10 (16,14):1.55222e-10 (17,15):3.88054e-11 (18,16):9.70135e-12
(0,0)	(2,8)	0.01388979	(1,17):6.35788e-07 (2,18):1.58947e-07 (3,1):0.0104167 (4,2):0.00260419 (5,3):0.000651047 (6,4):0.000162762 (7,5):4.06904e-05 (8,6):1.01726e-05 (9,7):2.54315e-06 (10,8):6.35788e-07 (11,9):1.58947e-07 (12,10):3.97367e-08 (13,11):9.93418e-09 (14,12):2.48355e-09 (15,13):6.20886e-10 (16,14):1.55222e-10 (17,15):3.88054e-11 (18,16):9.70135e-12
(0,0)	(4,1)	0.0034756263	(1,15):2.54315e-06 (2,16):6.35788e-07 (3,17):1.58947e-07 (4,18):3.97367e-08 (5,1):0.00260419 (6,2):0.000651047 (7,3):0.000162762 (8,4):4.06904e-05 (9,5):1.01726e-05 (10,6):2.54315e-06 (11,7):6.35788e-07 (12,8):1.58947e-07 (13,9):3.97367e-08 (14,10):9.93418e-09 (15,11):2.48355e-09 (16,12):6.20886e-10 (17,13):1.55222e-10 (18,14):3.88054e-11
(0,0)	(4,2)	0.0034756263	(1,15):2.54315e-06 (2,16):6.35788e-07 (3,17):1.58947e-07 (4,18):3.97367e-08 (5,1):0.00260419 (6,2):0.000651047 (7,3):0.000162762 (8,4):4.06904e-05 (9,5):1.01726e-05 (10,6):2.54315e-06 (11,7):6.35788e-07 (12,8):1.58947e-07 (13,9):3.97367e-08 (14,10):9.93418e-09 (15,11):2.48355e-09 (16,12):6.20886e-10 (17,13):1.55222e-10 (18,14):3.88054e-11
(0,0)	(4,4)	0.0034756263	(1,15):2.54315e-06 (2,16):6.35788e-07 (3,17):1.58947e-07 (4,18):3.97367e-08 (5,1):0.00260419 (6,2):0.000651047 (7,3):0.000162762 (8,4):4.06904e-05 (9,5):1.01726e-05 (10,6):2.54315e-06 (11,7):6.35788e-07 (12,8):1.58947e-07 (13,9):3.97367e-08 (14,10):9.93418e-09 (15,11):2.48355e-09 (16,12):6.20886e-10 (17,13):1.55222e-10 (18,14):3.88054e-11
