n,k,A2_full,A2_matched_to_A3root1,A3_root1,matched_to_full_ratio,matched_to_A3_ratio
0,1,2.0,2.0,1.9999999999999998,1.0,1.0000000000000002
0,2,6.0,6.0,5.999999999999999,1.0,1.0000000000000002
0,3,18.0,18.0,18.0,1.0,1.0
0,4,54.0,54.0,54.0,1.0,1.0
0,5,162.0,162.0,162.0,1.0,1.0
1,1,0.21428571428571427,0.2485207100591716,0.01183431952662722,1.1597633136094674,20.999999999999996
1,2,0.061224489795918366,0.07100591715976332,0.10650887573964493,1.1597633136094674,0.666666666666667
1,3,0.5510204081632653,0.6390532544378699,0.9585798816568049,1.1597633136094674,0.6666666666666666
1,4,2.479591836734694,2.8757396449704142,4.153846153846153,1.1597633136094674,0.6923076923076924
1,5,7.438775510204081,8.627218934911243,12.461538461538463,1.1597633136094674,0.6923076923076922
2,1,0.2222222222222222,0.21875,0.0006377551020408157,0.984375,343.00000000000034
2,2,0.003950617283950617,0.030612244897959183,0.021045918367346934,7.748724489795919,1.4545454545454548
2,3,0.007901234567901235,0.08035714285714286,0.08035714285714282,10.170200892857142,1.0000000000000004
2,4,0.09481481481481481,0.18941326530612246,1.2225765306122445,1.9977180325255102,0.1549295774647888
2,5,0.5866666666666667,1.9113520408163265,2.4795918367346927,3.2579864332096475,0.7708333333333337
3,1,0.2222222222222222,0.22580554855687132,0.0,1.0161249685059208,inf
3,2,0.00019753086419753085,0.002183589485176787,0.0015117157974300828,11.054421768707483,1.4444444444444449
3,3,0.003417283950617284,0.039304610733182165,0.19501133786848068,11.501710510793913,0.20155038759689928
3,4,0.01594074074074074,0.3356009070294785,0.22978080120937264,21.05303087777862,1.4605263157894737
3,5,0.07751111111111111,0.4489795918367347,0.6485260770975048,5.792454596517506,0.6923076923076933
4,1,0.2222222222222222,0.22225070129722185,0.0002563116749967964,1.0001281558374984,867.11111111111
4,2,9.876543209876543e-06,0.0034744471499565696,0.010423341449869707,351.78777393310264,0.3333333333333334
4,3,0.00011130864197530865,0.07851680977401854,0.019052501174761843,705.3972484134318,4.121076233183857
4,4,0.001925037037037037,0.04869921824939126,0.11559656542355498,25.297808464167385,0.4212860310421288
4,5,0.007284444444444444,0.24529027297193387,0.30449826989619366,33.67316132927707,0.8055555555555558
5,1,0.2222222222222222,0.2214331970354999,6.573564853103036e-05,0.9964493866597496,3368.540540540539
5,2,1.1387654320987655e-06,0.0008741064615477547,0.0040027680037949005,767.5913203097152,0.21837549933422107
5,3,6.208197530864197e-05,0.006491839452226617,0.007147419298387433,104.56882887427933,0.9082774049217003
5,4,9.19525925925926e-05,0.022641489321066233,0.0317556481579361,246.23002661145367,0.7129909365558916
5,5,0.00094792,0.12260942098441799,0.09656211441378458,129.34574751499915,1.2697466467958272
6,1,0.2222222222222222,0.22103703914966283,0.00012953036922691243,0.9946666761734828,1706.4495412843935
6,2,3.1972345679012345e-07,0.000998215689455099,0.0010362429538152917,3122.1221598087477,0.9633027522935794
6,3,5.062320987654321e-07,0.0013761116290345293,0.007960770123404414,2718.34131496305,0.1728616211374832
6,4,1.7640177777777776e-05,0.01591441013474129,0.009219234903324592,902.1683531324428,1.7262180974477959
6,5,9.184426666666666e-05,0.04995713020119394,0.0711335630417771,543.9330294018781,0.7023004059539919
