# E-FORM gate q=3 L=2: every nonzero entry, actual (build_compressed) vs formula R*N/D
# src(e,g)	dst(e',g')	actual	formula	s=e'-e	R(s)	N=actual*D/R(s)
(0,0)	(0,0)	65/189	65/189	0	65/189	6
(0,0)	(2,1)	10/189	10/189	2	20/189	3
(0,0)	(2,2)	10/189	10/189	2	20/189	3
(0,0)	(4,1)	10/189	10/189	4	20/189	3
(0,0)	(4,2)	10/189	10/189	4	20/189	3
(0,1)	(1,1)	17/567	17/567	1	34/189	1
(0,1)	(1,2)	17/567	17/567	1	34/189	1
(0,1)	(1,3)	17/567	17/567	1	34/189	1
(0,1)	(3,1)	8/567	8/567	3	16/189	1
(0,1)	(3,2)	8/567	8/567	3	16/189	1
(0,1)	(3,3)	8/567	8/567	3	16/189	1
(0,1)	(5,1)	17/567	17/567	5	34/189	1
(0,1)	(5,2)	17/567	17/567	5	34/189	1
(0,1)	(5,3)	17/567	17/567	5	34/189	1
(0,2)	(1,1)	17/567	17/567	1	34/189	1
(0,2)	(1,2)	17/567	17/567	1	34/189	1
(0,2)	(1,3)	17/567	17/567	1	34/189	1
(0,2)	(3,1)	8/567	8/567	3	16/189	1
(0,2)	(3,2)	8/567	8/567	3	16/189	1
(0,2)	(3,3)	8/567	8/567	3	16/189	1
(0,2)	(5,1)	17/567	17/567	5	34/189	1
(0,2)	(5,2)	17/567	17/567	5	34/189	1
(0,2)	(5,3)	17/567	17/567	5	34/189	1
(0,3)	(0,1)	65/189	65/189	0	65/189	6
(0,3)	(2,2)	10/189	10/189	2	20/189	3
(0,3)	(2,3)	10/189	10/189	2	20/189	3
(0,3)	(4,2)	10/189	10/189	4	20/189	3
(0,3)	(4,3)	10/189	10/189	4	20/189	3
(0,4)	(1,2)	17/567	17/567	1	34/189	1
(0,4)	(1,3)	17/567	17/567	1	34/189	1
(0,4)	(1,4)	17/567	17/567	1	34/189	1
(0,4)	(3,2)	8/567	8/567	3	16/189	1
(0,4)	(3,3)	8/567	8/567	3	16/189	1
(0,4)	(3,4)	8/567	8/567	3	16/189	1
(0,4)	(5,2)	17/567	17/567	5	34/189	1
(0,4)	(5,3)	17/567	17/567	5	34/189	1
(0,4)	(5,4)	17/567	17/567	5	34/189	1
(0,5)	(1,2)	17/567	17/567	1	34/189	1
(0,5)	(1,3)	17/567	17/567	1	34/189	1
(0,5)	(1,4)	17/567	17/567	1	34/189	1
(0,5)	(3,2)	8/567	8/567	3	16/189	1
(0,5)	(3,3)	8/567	8/567	3	16/189	1
(0,5)	(3,4)	8/567	8/567	3	16/189	1
(0,5)	(5,2)	17/567	17/567	5	34/189	1
(0,5)	(5,3)	17/567	17/567	5	34/189	1
(0,5)	(5,4)	17/567	17/567	5	34/189	1
(0,6)	(0,2)	65/189	65/189	0	65/189	6
(0,6)	(2,3)	10/189	10/189	2	20/189	3
(0,6)	(2,4)	10/189	10/189	2	20/189	3
(0,6)	(4,3)	10/189	10/189	4	20/189	3
(0,6)	(4,4)	10/189	10/189	4	20/189	3
(0,7)	(1,3)	17/567	17/567	1	34/189	1
(0,7)	(1,4)	17/567	17/567	1	34/189	1
(0,7)	(1,5)	17/567	17/567	1	34/189	1
(0,7)	(3,3)	8/567	8/567	3	16/189	1
(0,7)	(3,4)	8/567	8/567	3	16/189	1
(0,7)	(3,5)	8/567	8/567	3	16/189	1
(0,7)	(5,3)	17/567	17/567	5	34/189	1
(0,7)	(5,4)	17/567	17/567	5	34/189	1
(0,7)	(5,5)	17/567	17/567	5	34/189	1
(0,8)	(1,3)	17/567	17/567	1	34/189	1
(0,8)	(1,4)	17/567	17/567	1	34/189	1
(0,8)	(1,5)	17/567	17/567	1	34/189	1
(0,8)	(3,3)	8/567	8/567	3	16/189	1
(0,8)	(3,4)	8/567	8/567	3	16/189	1
(0,8)	(3,5)	8/567	8/567	3	16/189	1
(0,8)	(5,3)	17/567	17/567	5	34/189	1
(0,8)	(5,4)	17/567	17/567	5	34/189	1
(0,8)	(5,5)	17/567	17/567	5	34/189	1
(1,0)	(0,0)	34/189	34/189	5	34/189	6
(1,0)	(2,1)	17/189	17/189	1	34/189	3
(1,0)	(2,2)	17/189	17/189	1	34/189	3
(1,0)	(4,1)	8/189	8/189	3	16/189	3
(1,0)	(4,2)	8/189	8/189	3	16/189	3
(1,1)	(1,1)	65/1134	65/1134	0	65/189	1
(1,1)	(1,2)	65/1134	65/1134	0	65/189	1
(1,1)	(1,3)	65/1134	65/1134	0	65/189	1
(1,1)	(3,1)	10/567	10/567	2	20/189	1
(1,1)	(3,2)	10/567	10/567	2	20/189	1
(1,1)	(3,3)	10/567	10/567	2	20/189	1
(1,1)	(5,1)	10/567	10/567	4	20/189	1
(1,1)	(5,2)	10/567	10/567	4	20/189	1
(1,1)	(5,3)	10/567	10/567	4	20/189	1
(1,2)	(1,1)	65/1134	65/1134	0	65/189	1
(1,2)	(1,2)	65/1134	65/1134	0	65/189	1
(1,2)	(1,3)	65/1134	65/1134	0	65/189	1
(1,2)	(3,1)	10/567	10/567	2	20/189	1
(1,2)	(3,2)	10/567	10/567	2	20/189	1
(1,2)	(3,3)	10/567	10/567	2	20/189	1
(1,2)	(5,1)	10/567	10/567	4	20/189	1
(1,2)	(5,2)	10/567	10/567	4	20/189	1
(1,2)	(5,3)	10/567	10/567	4	20/189	1
(1,3)	(0,1)	34/189	34/189	5	34/189	6
(1,3)	(2,2)	17/189	17/189	1	34/189	3
