# LTE ladder q=3 L=3: t(e') = v3(2^e' - 1) = 1 + v3(e'/2) for even e'. Governs carry valuation.
# e'	t(e')=v3(2^e'-1)	2^e'-1	note
0	inf	0	self (T=0)
1	0	1	odd: dies from g=0
2	1	3	even: carry v3 = t-1 = 0 from g=0
3	0	7	odd: dies from g=0
4	1	15	even: carry v3 = t-1 = 0 from g=0
5	0	31	odd: dies from g=0
6	2	63	even: carry v3 = t-1 = 1 from g=0
7	0	127	odd: dies from g=0
8	1	255	even: carry v3 = t-1 = 0 from g=0
9	0	511	odd: dies from g=0
10	1	1023	even: carry v3 = t-1 = 0 from g=0
11	0	2047	odd: dies from g=0
12	2	4095	even: carry v3 = t-1 = 1 from g=0
13	0	8191	odd: dies from g=0
14	1	16383	even: carry v3 = t-1 = 0 from g=0
15	0	32767	odd: dies from g=0
16	1	65535	even: carry v3 = t-1 = 0 from g=0
17	0	131071	odd: dies from g=0
