q,h_q,h_se,r2,tau_q
-5.00,2.689444,1.256627,0.395535,-14.447218
-4.00,2.615400,1.217762,0.397210,-11.461600
-3.00,2.494731,1.151824,0.401254,-8.484193
-2.00,2.261302,1.020407,0.412308,-5.522603
-1.00,1.612180,0.648500,0.468903,-2.612180
-0.50,0.602399,0.066999,0.920311,-1.301199
0.00,0.501151,0.010955,0.996666,-1.000000
0.50,0.497719,0.009841,0.997271,-0.751140
1.00,0.494569,0.008816,0.997781,-0.505431
1.50,0.491659,0.007870,0.998210,-0.262512
2.00,0.488962,0.006998,0.998568,-0.022075
3.00,0.484084,0.005463,0.999109,0.452253
4.00,0.479697,0.004192,0.999466,0.918789
5.00,0.475623,0.003233,0.999677,1.378113
