# N_{D/2=3}(e',gamma,gamma') exact signed unit-count, q=3 L=2 (chi=(-1)^dlog u)
# e'	gamma	gamma'	N
1	1	1	1
1	1	2	1
1	1	3	1
1	2	1	-1
1	2	2	-1
1	2	3	-1
1	4	2	1
1	4	3	1
1	4	4	1
1	5	2	-1
1	5	3	-1
1	5	4	-1
1	7	3	1
1	7	4	1
1	7	5	1
1	8	3	-1
1	8	4	-1
1	8	5	-1
2	3	2	-3
2	3	3	3
2	6	3	-3
2	6	4	3
3	1	1	1
3	1	2	1
3	1	3	1
3	2	1	-1
3	2	2	-1
3	2	3	-1
3	4	2	1
3	4	3	1
3	4	4	1
3	5	2	-1
3	5	3	-1
3	5	4	-1
3	7	3	1
3	7	4	1
3	7	5	1
3	8	3	-1
3	8	4	-1
3	8	5	-1
4	3	2	3
4	3	3	-3
4	6	3	3
4	6	4	-3
5	1	1	1
5	1	2	1
5	1	3	1
5	2	1	-1
5	2	2	-1
5	2	3	-1
5	4	2	1
5	4	3	1
5	4	4	1
5	5	2	-1
5	5	3	-1
5	5	4	-1
5	7	3	1
5	7	4	1
5	7	5	1
5	8	3	-1
5	8	4	-1
5	8	5	-1
