absorption,r,v_64,v_32,lambda_PF,spec_gap_ratio
(a) {21},1,0.0322580645,,0.9687500000,0.0000640435
(a) {21},3,0.0322580645,,0.9687500000,0.0000640435
(a) {21},5,0.0322580645,,0.9687500000,0.0000640435
(a) {21},7,0.0322580645,,0.9687500000,0.0000640435
(a) {21},9,0.0322580645,,0.9687500000,0.0000640435
(a) {21},11,0.0322580645,,0.9687500000,0.0000640435
(a) {21},13,0.0322580645,,0.9687500000,0.0000640435
(a) {21},15,0.0322580645,,0.9687500000,0.0000640435
(a) {21},17,0.0322580645,,0.9687500000,0.0000640435
(a) {21},19,0.0322580645,,0.9687500000,0.0000640435
(a) {21},21,0.0000000000,,0.9687500000,0.0000640435
(a) {21},23,0.0322580645,,0.9687500000,0.0000640435
(a) {21},25,0.0322580645,,0.9687500000,0.0000640435
(a) {21},27,0.0322580645,,0.9687500000,0.0000640435
(a) {21},29,0.0322580645,,0.9687500000,0.0000640435
(a) {21},31,0.0322580645,,0.9687500000,0.0000640435
(a) {21},33,0.0322580645,,0.9687500000,0.0000640435
(a) {21},35,0.0322580645,,0.9687500000,0.0000640435
(a) {21},37,0.0322580645,,0.9687500000,0.0000640435
(a) {21},39,0.0322580645,,0.9687500000,0.0000640435
(a) {21},41,0.0322580645,,0.9687500000,0.0000640435
(a) {21},43,0.0322580645,,0.9687500000,0.0000640435
(a) {21},45,0.0322580645,,0.9687500000,0.0000640435
(a) {21},47,0.0322580645,,0.9687500000,0.0000640435
(a) {21},49,0.0322580645,,0.9687500000,0.0000640435
(a) {21},51,0.0322580645,,0.9687500000,0.0000640435
(a) {21},53,0.0322580645,,0.9687500000,0.0000640435
(a) {21},55,0.0322580645,,0.9687500000,0.0000640435
(a) {21},57,0.0322580645,,0.9687500000,0.0000640435
(a) {21},59,0.0322580645,,0.9687500000,0.0000640435
(a) {21},61,0.0322580645,,0.9687500000,0.0000640435
(a) {21},63,0.0322580645,,0.9687500000,0.0000640435
(a) {21},1_mod32,,0.0645161290,,
(a) {21},3_mod32,,0.0645161290,,
(a) {21},5_mod32,,0.0645161290,,
(a) {21},7_mod32,,0.0645161290,,
(a) {21},9_mod32,,0.0645161290,,
(a) {21},11_mod32,,0.0645161290,,
(a) {21},13_mod32,,0.0645161290,,
(a) {21},15_mod32,,0.0645161290,,
(a) {21},17_mod32,,0.0645161290,,
(a) {21},19_mod32,,0.0645161290,,
(a) {21},21_mod32,,0.0322580645,,
(a) {21},23_mod32,,0.0645161290,,
(a) {21},25_mod32,,0.0645161290,,
(a) {21},27_mod32,,0.0645161290,,
(a) {21},29_mod32,,0.0645161290,,
(a) {21},31_mod32,,0.0645161290,,
(b) {21, 53},1,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},3,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},5,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},7,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},9,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},11,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},13,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},15,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},17,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},19,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},21,0.0000000000,,0.9375000000,0.0002576420
(b) {21, 53},23,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},25,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},27,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},29,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},31,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},33,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},35,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},37,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},39,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},41,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},43,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},45,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},47,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},49,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},51,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},53,0.0000000000,,0.9375000000,0.0002576420
(b) {21, 53},55,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},57,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},59,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},61,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},63,0.0333333333,,0.9375000000,0.0002576420
(b) {21, 53},1_mod32,,0.0666666667,,
(b) {21, 53},3_mod32,,0.0666666667,,
(b) {21, 53},5_mod32,,0.0666666667,,
(b) {21, 53},7_mod32,,0.0666666667,,
(b) {21, 53},9_mod32,,0.0666666667,,
(b) {21, 53},11_mod32,,0.0666666667,,
(b) {21, 53},13_mod32,,0.0666666667,,
(b) {21, 53},15_mod32,,0.0666666667,,
(b) {21, 53},17_mod32,,0.0666666667,,
(b) {21, 53},19_mod32,,0.0666666667,,
(b) {21, 53},21_mod32,,0.0000000000,,
(b) {21, 53},23_mod32,,0.0666666667,,
(b) {21, 53},25_mod32,,0.0666666667,,
(b) {21, 53},27_mod32,,0.0666666667,,
(b) {21, 53},29_mod32,,0.0666666667,,
(b) {21, 53},31_mod32,,0.0666666667,,
(c) {1},1,0.0000000000,,0.9743399637,0.2261138672
(c) {1},3,0.0337333685,,0.9743399637,0.2261138672
(c) {1},5,0.0324445651,,0.9743399637,0.2261138672
(c) {1},7,0.0339905528,,0.9743399637,0.2261138672
(c) {1},9,0.0319181220,,0.9743399637,0.2261138672
(c) {1},11,0.0340576667,,0.9743399637,0.2261138672
(c) {1},13,0.0323121271,,0.9743399637,0.2261138672
(c) {1},15,0.0336645106,,0.9743399637,0.2261138672
(c) {1},17,0.0256940145,,0.9743399637,0.2261138672
(c) {1},19,0.0339914477,,0.9743399637,0.2261138672
(c) {1},21,0.0321864859,,0.9743399637,0.2261138672
(c) {1},23,0.0337324736,,0.9743399637,0.2261138672
(c) {1},25,0.0317856841,,0.9743399637,0.2261138672
(c) {1},27,0.0335347115,,0.9743399637,0.2261138672
(c) {1},29,0.0323189239,,0.9743399637,0.2261138672
(c) {1},31,0.0335320727,,0.9743399637,0.2261138672
(c) {1},33,0.0253034973,,0.9743399637,0.2261138672
(c) {1},35,0.0337333685,,0.9743399637,0.2261138672
(c) {1},37,0.0321864859,,0.9743399637,0.2261138672
(c) {1},39,0.0334743943,,0.9743399637,0.2261138672
(c) {1},41,0.0319181220,,0.9743399637,0.2261138672
(c) {1},43,0.0337995875,,0.9743399637,0.2261138672
(c) {1},45,0.0317959686,,0.9743399637,0.2261138672
(c) {1},47,0.0336645106,,0.9743399637,0.2261138672
(c) {1},49,0.0256940145,,0.9743399637,0.2261138672
(c) {1},51,0.0334752893,,0.9743399637,0.2261138672
(c) {1},53,0.0319284066,,0.9743399637,0.2261138672
(c) {1},55,0.0337324736,,0.9743399637,0.2261138672
(c) {1},57,0.0315276048,,0.9743399637,0.2261138672
(c) {1},59,0.0332766323,,0.9743399637,0.2261138672
(c) {1},61,0.0323189239,,0.9743399637,0.2261138672
(c) {1},63,0.0332739934,,0.9743399637,0.2261138672
(c) {1},1_mod32,,0.0253034973,,
(c) {1},3_mod32,,0.0674667370,,
(c) {1},5_mod32,,0.0646310510,,
(c) {1},7_mod32,,0.0674649471,,
(c) {1},9_mod32,,0.0638362441,,
(c) {1},11_mod32,,0.0678572542,,
(c) {1},13_mod32,,0.0641080958,,
(c) {1},15_mod32,,0.0673290213,,
(c) {1},17_mod32,,0.0513880290,,
(c) {1},19_mod32,,0.0674667370,,
(c) {1},21_mod32,,0.0641148925,,
(c) {1},23_mod32,,0.0674649471,,
(c) {1},25_mod32,,0.0633132889,,
(c) {1},27_mod32,,0.0668113438,,
(c) {1},29_mod32,,0.0646378477,,
(c) {1},31_mod32,,0.0668060661,,
(d) {1, 33},1,0.0000000000,,0.9471819431,0.2307108385
(d) {1, 33},3,0.0348116795,,0.9471819431,0.2307108385
(d) {1, 33},5,0.0352408003,,0.9471819431,0.2307108385
(d) {1, 33},7,0.0350977331,,0.9471819431,0.2307108385
(d) {1, 33},9,0.0274327201,,0.9471819431,0.2307108385
(d) {1, 33},11,0.0351760655,,0.9471819431,0.2307108385
(d) {1, 33},13,0.0350886154,,0.9471819431,0.2307108385
(d) {1, 33},15,0.0347291040,,0.9471819431,0.2307108385
(d) {1, 33},17,0.0277455762,,0.9471819431,0.2307108385
(d) {1, 33},19,0.0350999730,,0.9471819431,0.2307108385
(d) {1, 33},21,0.0349525067,,0.9471819431,0.2307108385
(d) {1, 33},23,0.0348094396,,0.9471819431,0.2307108385
(d) {1, 33},25,0.0272805352,,0.9471819431,0.2307108385
(d) {1, 33},27,0.0345834021,,0.9471819431,0.2307108385
(d) {1, 33},29,0.0351046916,,0.9471819431,0.2307108385
(d) {1, 33},31,0.0345769191,,0.9471819431,0.2307108385
(d) {1, 33},33,0.0000000000,,0.9471819431,0.2307108385
(d) {1, 33},35,0.0348116795,,0.9471819431,0.2307108385
(d) {1, 33},37,0.0349525067,,0.9471819431,0.2307108385
(d) {1, 33},39,0.0345211460,,0.9471819431,0.2307108385
(d) {1, 33},41,0.0274327201,,0.9471819431,0.2307108385
(d) {1, 33},43,0.0348877719,,0.9471819431,0.2307108385
(d) {1, 33},45,0.0345120283,,0.9471819431,0.2307108385
(d) {1, 33},47,0.0347291040,,0.9471819431,0.2307108385
(d) {1, 33},49,0.0277455762,,0.9471819431,0.2307108385
(d) {1, 33},51,0.0345233859,,0.9471819431,0.2307108385
(d) {1, 33},53,0.0346642132,,0.9471819431,0.2307108385
(d) {1, 33},55,0.0348094396,,0.9471819431,0.2307108385
(d) {1, 33},57,0.0269922416,,0.9471819431,0.2307108385
(d) {1, 33},59,0.0342951086,,0.9471819431,0.2307108385
(d) {1, 33},61,0.0351046916,,0.9471819431,0.2307108385
(d) {1, 33},63,0.0342886255,,0.9471819431,0.2307108385
(d) {1, 33},1_mod32,,0.0000000000,,
(d) {1, 33},3_mod32,,0.0696233589,,
(d) {1, 33},5_mod32,,0.0701933070,,
(d) {1, 33},7_mod32,,0.0696188792,,
(d) {1, 33},9_mod32,,0.0548654402,,
(d) {1, 33},11_mod32,,0.0700638374,,
(d) {1, 33},13_mod32,,0.0696006436,,
(d) {1, 33},15_mod32,,0.0694582079,,
(d) {1, 33},17_mod32,,0.0554911524,,
(d) {1, 33},19_mod32,,0.0696233589,,
(d) {1, 33},21_mod32,,0.0696167199,,
(d) {1, 33},23_mod32,,0.0696188792,,
(d) {1, 33},25_mod32,,0.0542727768,,
(d) {1, 33},27_mod32,,0.0688785107,,
(d) {1, 33},29_mod32,,0.0702093832,,
(d) {1, 33},31_mod32,,0.0688655446,,
(e) {5, 37},1,0.0344890759,,0.9369583594,0.2328147413
(e) {5, 37},3,0.0333015010,,0.9369583594,0.2328147413
(e) {5, 37},5,0.0000000000,,0.9369583594,0.2328147413
(e) {5, 37},7,0.0335781693,,0.9369583594,0.2328147413
(e) {5, 37},9,0.0331938029,,0.9369583594,0.2328147413
(e) {5, 37},11,0.0336553804,,0.9369583594,0.2328147413
(e) {5, 37},13,0.0336322472,,0.9369583594,0.2328147413
