r,pi,D_avg,D_std,D_QSD_(a){21},D_QSD_(b){21_53},D_QSD_(c){1},D_QSD_(d){1_33},D_QSD_(e){5_37},D_QSD_(b+e){5_21_37_53},D_QSD_(b+c){1_21_53},D_QSD_(b+e+c){1_5_21_37_53},D_QSD_allm_jcyl{1_5_21_33_37_53}
1,0.063480,1.609081,0.182482,1.016316,1.050193,0.398603,,1.069004,1.125207,0.422136,0.444686,
3,0.062408,1.236401,0.254876,1.033778,1.068238,1.081058,1.115614,1.067217,1.144540,1.158247,1.248205,1.303079
5,0.062990,1.863896,0.334206,1.024225,1.058366,1.026049,1.114353,,,1.083775,,
7,0.062408,0.737504,0.041017,1.033778,1.068238,1.081029,1.115543,1.067132,1.144540,1.158247,1.248205,1.303079
9,0.062255,0.695791,0.076161,1.036322,1.070866,1.025401,0.881303,1.066384,1.147357,1.096575,1.173116,1.000046
11,0.062776,0.657507,0.068081,1.027724,1.061981,1.080947,1.116097,1.067792,1.137837,1.151464,1.240894,1.295448
13,0.062500,0.557318,0.067256,1.032258,1.066667,1.025730,1.113610,1.067293,1.142857,1.092275,1.168516,1.301163
15,0.062286,1.057805,0.087620,1.035812,1.070339,1.080974,1.115158,1.066677,1.146792,1.160526,1.250660,1.305643
17,0.063235,1.131972,0.100286,1.020255,1.054264,0.812648,0.877535,1.069027,1.129568,0.847545,0.892820,0.984541
19,0.062408,0.627469,0.066772,1.033778,1.068238,1.081058,1.115614,1.067217,1.144540,1.158247,1.248205,1.303079
21,0.062500,0.930738,0.123085,0.516129,,1.025838,1.113868,1.067594,,,,
23,0.062408,1.398056,0.203383,1.033778,1.068238,1.081029,1.115543,1.067132,1.144540,1.158247,1.248205,1.303079
25,0.061765,0.543950,0.070982,1.044547,1.079365,1.025072,0.878702,1.065497,1.156463,1.105278,1.182427,1.007983
27,0.061795,0.801717,0.046501,1.044029,1.078830,1.081171,1.114623,1.066042,1.155889,1.169732,1.260581,1.316000
29,0.062990,1.353787,0.124868,1.024225,1.058366,1.026157,1.114608,1.068453,1.133963,1.083775,1.159422,1.291037
31,0.061795,0.766633,0.066087,1.044029,1.078830,1.081086,1.114413,1.065793,1.155889,1.169732,1.260581,1.316000
