r,q,N,K_c1m0_abs,K_max_abs,K_max_c,K_max_m,log_K_max,log_sqrt_q,rho,delta_emp,random_baseline_abs,trivial_N,elapsed_s
8,19683,2187,38.171987,78.696914,18757,0,4.365604,4.943755,-0.116946,0.058473,14.747537,2187,0.007
9,59049,6561,77.363327,134.222810,2554,3,4.899501,5.493061,-0.108056,0.054028,70.096137,6561,0.009
10,177147,19683,142.960918,238.461055,170012,3,5.474206,6.042368,-0.094030,0.047015,73.662908,19683,0.024
11,531441,59049,195.835477,418.898736,473503,3,6.037629,6.591674,-0.084052,0.042026,358.209780,59049,0.052
12,1594323,177147,397.241489,726.915272,710633,4,6.588810,7.140980,-0.077324,0.038662,253.283873,177147,0.161
13,4782969,531441,815.794898,1273.472730,3977258,4,7.149503,7.690286,-0.070320,0.035160,422.090131,531441,0.400
14,14348907,1594323,1188.576909,2063.373226,4114517,1,7.632097,8.239592,-0.073729,0.036864,1167.072558,1594323,1.171
15,43046721,4782969,2272.793716,3803.315055,18910700,3,8.243628,8.788898,-0.062041,0.031020,3386.267475,4782969,3.634
16,129140163,14348907,2624.686467,7966.463650,88138214,3,8.982996,9.338204,-0.038038,0.019019,6365.428313,14348907,10.150
17,387420489,43046721,7273.109184,11021.619003,155357177,3,9.307614,9.887511,-0.058649,0.029325,6871.612124,43046721,28.289
18,1162261467,129140163,10783.292625,19138.366167,740472170,4,9.859450,10.436817,-0.055320,0.027660,10024.987173,129140163,90.640
19,3486784401,387420489,12926.879190,43783.426746,3253298939,3,10.687011,10.986123,-0.027226,0.013613,11310.480452,387420489,345.149
20,10460353203,1162261467,28297.459842,90407.189277,9986013431,3,11.412079,11.535429,-0.010693,0.005347,18718.863664,1162261467,786.661
