band,V,P_V_given_band,p_21
0-25,5,0.458769,0.541231
0-25,6,0.243022,0.541231
0-25,7,0.124493,0.541231
0-25,8,0.076830,0.541231
0-25,9,0.035736,0.541231
0-25,10,0.039364,0.541231
0-25,11,0.009718,0.541231
0-25,12,0.012067,0.541231
25-50,5,0.526102,0.473898
25-50,6,0.235786,0.473898
25-50,7,0.119084,0.473898
25-50,8,0.057415,0.473898
25-50,9,0.027251,0.473898
25-50,10,0.022009,0.473898
25-50,11,0.006168,0.473898
25-50,12,0.006185,0.473898
50-75,5,0.565219,0.434781
50-75,6,0.229173,0.434781
50-75,7,0.111457,0.434781
50-75,8,0.046929,0.434781
50-75,9,0.023026,0.434781
50-75,10,0.016135,0.434781
50-75,11,0.004299,0.434781
50-75,12,0.003762,0.434781
75-95,5,0.594417,0.405583
75-95,6,0.226886,0.405583
75-95,7,0.103654,0.405583
75-95,8,0.039209,0.405583
75-95,9,0.019509,0.405583
75-95,10,0.011066,0.405583
75-95,11,0.002972,0.405583
75-95,12,0.002288,0.405583
95-100,5,0.617206,0.382794
95-100,6,0.225714,0.382794
95-100,7,0.097658,0.382794
95-100,8,0.032358,0.382794
95-100,9,0.015322,0.382794
95-100,10,0.008050,0.382794
95-100,11,0.002222,0.382794
95-100,12,0.001470,0.382794
