r,pi,D_avg,D_pred_exit,D_full,diff_exit
1,0.063480,1.609081,1.054549,0.920441,-0.554532
3,0.062408,1.236401,0.879490,0.983075,-0.356911
5,0.062990,1.863896,2.548373,1.206983,+0.684477
7,0.062408,0.737504,0.874046,1.048870,+0.136542
9,0.062255,0.695791,0.822397,0.986299,+0.126606
11,0.062776,0.657507,1.030781,0.992395,+0.373274
13,0.062500,0.557318,1.021111,0.916552,+0.463793
15,0.062286,1.057805,0.859453,1.045714,-0.198352
17,0.063235,1.131972,0.833214,1.064808,-0.298758
19,0.062408,0.627469,0.773215,0.898385,+0.145746
21,0.062500,0.930738,0.774746,0.895012,-0.155992
23,0.062408,1.398056,0.861280,1.050122,-0.536776
25,0.061765,0.543950,0.932609,0.913313,+0.388659
27,0.061795,0.801717,0.806678,1.048742,+0.004961
29,0.062990,1.353787,0.942645,1.067023,-0.411142
31,0.061795,0.766633,0.969292,0.959788,+0.202659
