r,pi,D_avg,D_pred,diff,abs_diff
1,0.06348039215686274,1.609081,1.4732825989319094,-0.1357984010680906,0.1357984010680906
3,0.06240808823529412,1.236401,1.004304746537904,-0.23209625346209606,0.23209625346209606
5,0.06299019607843137,1.863896,1.730822339215952,-0.13307366078404792,0.13307366078404792
7,0.06240808823529412,0.737504,0.9975303972195065,0.2600263972195065,0.2600263972195065
9,0.062254901960784315,0.695791,0.879159309550951,0.18336830955095096,0.18336830955095096
11,0.06277573529411765,0.657507,0.8040260933490514,0.14651909334905144,0.14651909334905144
13,0.0625,0.557318,0.546082544439605,-0.011235455560394958,0.011235455560394958
15,0.062285539215686275,1.057805,1.1387319126835633,0.08092691268356322,0.08092691268356322
17,0.06323529411764706,1.131972,1.0700534550995782,-0.06191854490042181,0.06191854490042181
19,0.06240808823529412,0.627469,0.648400038204286,0.02093103820428599,0.02093103820428599
21,0.0625,0.930738,0.643025230344124,-0.287712769655876,0.287712769655876
23,0.06240808823529412,1.398056,1.2500980630028609,-0.1479579369971391,0.1479579369971391
25,0.061764705882352944,0.54395,0.6311526720236335,0.08720267202363341,0.08720267202363341
27,0.061795343137254904,0.801717,1.0668300549547018,0.26511305495470183,0.26511305495470183
29,0.06299019607843137,1.353787,1.2317929382725474,-0.12199406172745264,0.12199406172745264
31,0.061795343137254904,0.766633,0.8645162440311792,0.0978832440311792,0.0978832440311792
