n,k,D_num,D_den,D_float
0,1,2,1,2.0
1,1,3,14,0.21428571428571427
2,1,2,9,0.2222222222222222
3,1,2,9,0.2222222222222222
4,1,2,9,0.2222222222222222
5,1,2,9,0.2222222222222222
6,1,2,9,0.2222222222222222
7,1,2,9,0.2222222222222222
8,1,2,9,0.2222222222222222
9,1,2,9,0.2222222222222222
10,1,2,9,0.2222222222222222
11,1,2,9,0.2222222222222222
12,1,2,9,0.2222222222222222
13,1,2,9,0.2222222222222222
0,2,6,1,6.0
1,2,3,49,0.061224489795918366
2,2,8,2025,0.003950617283950617
3,2,2,10125,0.00019753086419753085
4,2,1,101250,9.876543209876543e-06
5,2,1153,1012500000,1.1387654320987655e-06
6,2,8093,25312500000,3.1972345679012345e-07
7,2,18349,10125000000000,1.8122469135802469e-09
8,2,268457,253125000000000,1.0605708641975308e-09
9,2,12083107,101250000000000000,1.1933932839506172e-10
10,2,187291937,10125000000000000000,1.8497969086419754e-11
11,2,4063245133,253125000000000000000,1.6052326451358026e-11
12,2,5252784427,25312500000000000000000,2.075174094617284e-13
13,2,564675871039,10125000000000000000000000,5.577045639891358e-14
0,3,18,1,18.0
1,3,27,49,0.5510204081632653
2,3,16,2025,0.007901234567901235
3,3,173,50625,0.003417283950617284
4,3,1127,10125000,0.00011130864197530865
5,3,31429,506250000,6.208197530864197e-05
6,3,6407,12656250000,5.062320987654321e-07
7,3,148321,506250000000,2.929797530864198e-07
8,3,45955501,1012500000000000,4.538814913580247e-08
9,3,60034169,10125000000000000,5.929300641975309e-09
10,3,17949803731,10125000000000000000,1.7728201215802469e-09
11,3,344946287,15820312500000000000,2.1804012215308642e-11
12,3,1361549041559,101250000000000000000000,1.3447397941323457e-11
13,3,3065495938271,10125000000000000000000000,3.0276503094034566e-13
0,4,54,1,54.0
1,4,243,98,2.479591836734694
2,4,64,675,0.09481481481481481
3,4,269,16875,0.01594074074074074
4,4,6497,3375000,0.001925037037037037
5,4,15517,168750000,9.19525925925926e-05
6,4,49613,2812500000,1.7640177777777776e-05
7,4,1070173,562500000000,1.9025297777777777e-06
8,4,2821181,14062500000000,2.0061731555555555e-07
9,4,489951337,8437500000000000,5.8068306607407405e-08
10,4,1998169073,1125000000000000000,1.7761502871111112e-09
11,4,15829168469,56250000000000000000,2.814074394488889e-10
12,4,886604780489,33750000000000000000000,2.6269771273748148e-11
13,4,5421328058287,843750000000000000000000,6.4252776987105185e-12
0,5,162,1,162.0
1,5,729,98,7.438775510204081
2,5,44,75,0.5866666666666667
3,5,436,5625,0.07751111111111111
4,5,1639,225000,0.007284444444444444
5,5,11849,12500000,0.00094792
6,5,10763,117187500,9.184426666666666e-05
7,5,678677,140625000000,4.8261475555555554e-06
8,5,126927257,112500000000000,1.1282422844444445e-06
9,5,446427763,11250000000000000,3.9682467822222225e-08
10,5,9727689913,1125000000000000000,8.646835478222222e-09
11,5,56621254091,112500000000000000000,5.033000363644444e-10
12,5,209565315919,1875000000000000000000,1.1176816849013333e-10
13,5,11152056335953,1125000000000000000000000,9.912938965291556e-12
