q,group,ord_q2,kmax,R_k_last,verdict
7,small ord_q(2),3,4,0.335182,-> 1/3
23,small ord_q(2),11,3,0.333339,-> 1/3
17,small ord_q(2),8,3,0.333432,-> 1/3
31,small ord_q(2),5,2,0.333471,-> 1/3
47,small ord_q(2),23,2,0.333333,-> 1/3
89,small ord_q(2),11,2,0.333334,-> 1/3
9,odd composite,6,4,0.333513,-> 1/3
15,odd composite,4,3,0.333449,-> 1/3
25,odd composite,20,2,0.333333,-> 1/3
21,odd composite,6,3,0.333372,-> 1/3
27,odd composite,18,2,0.333333,-> 1/3
45,odd composite,12,2,0.333334,-> 1/3
3,q==0 mod 3,2,4,0.392747,-> 1/3
4,even q,,,,construction-breaks
6,even q,,,,construction-breaks
10,even q,,,,construction-breaks
5,baseline,4,4,0.336277,-> 1/3
11,baseline,10,3,0.333340,-> 1/3
13,baseline,12,3,0.333336,-> 1/3
