k,a,b,df,N_eff,chi2,chi2_per_df,z_score
1,1,1,0,10000000,0.0,nan,nan
1,1,2,0,10000000,0.0,nan,nan
1,1,3,0,10000000,3.5100149724633634e-25,nan,nan
1,1,4,0,10000000,0.0,nan,nan
1,2,1,1,10000000,0.14113485603951514,0.14113485603951514,-0.6073093674192191
1,2,2,5,10000000,1.472124218185776,0.2944248436371552,-1.1156122772680175
1,2,3,17,10000000,12.692758769076109,0.7466328687691829,-0.7386857769709254
1,2,4,53,10000000,62.37843400113546,1.1769515849270842,0.9109140356353542
1,3,1,3,10000000,1.3714375513001138,0.45714585043337125,-0.6648578355953713
1,3,2,15,10000000,12.041081837598817,0.8027387891732545,-0.5402220744529541
1,3,3,51,10000000,49.16039733552347,0.9639293595200681,-0.18214780582847798
1,3,4,159,10000000,161.1710409310338,1.0136543454781999,0.12174592995178139
1,4,1,7,10000000,9.88002365159193,1.4114319502274186,0.7697186978616147
1,4,2,35,10000000,34.39949990958074,0.9828428545594498,-0.07177348879769896
1,4,3,119,10000000,107.6328131381922,0.9044774213293463,-0.7368252850137056
1,4,4,371,10000000,378.54018688624046,1.020323953871268,0.27680896883653516
1,5,1,15,10000000,16.531186767995255,1.1020791178663503,0.27955517752814346
1,5,2,75,10000000,71.72180357753038,0.9562907143670717,-0.26766361705559477
1,5,3,255,10000000,235.270468065148,0.9226292865299922,-0.8736383583121801
1,5,4,795,10000000,813.130869599136,1.022806125281932,0.45469488866066415
2,1,1,0,10000000,0.0,nan,nan
2,1,2,0,10000000,0.0,nan,nan
2,1,3,0,10000000,0.0,nan,nan
2,1,4,0,10000000,0.0,nan,nan
2,2,1,1,10000000,0.9622122193016321,0.9622122193016321,-0.02671999597780604
2,2,2,5,10000000,3.6758985154693478,0.7351797030938696,-0.4187176544327068
2,2,3,17,10000000,22.198344153653974,1.3057849502149397,0.891508667435489
2,2,4,53,10000000,54.10518257557997,1.020852501426037,0.10734482109844104
2,3,1,3,10000000,2.8797022877517984,0.9599007625839328,-0.049111335372042035
2,3,2,15,10000000,13.987111223379369,0.9324740815586245,-0.184927343732977
2,3,3,51,10000000,52.193837269710734,1.0234085739158967,0.11820750393180646
2,3,4,159,10000000,149.6595988682755,0.9412553387941855,-0.5237836862720912
2,4,1,7,10000000,4.605264495324461,0.6578949279034944,-0.640019985031361
2,4,2,35,10000000,30.768740070646842,0.8791068591613383,-0.5057322921093119
2,4,3,119,10000000,120.24289903423998,1.0104445296994957,0.0805651781993746
2,4,4,371,10000000,348.5985081049007,0.9396186202288429,-0.8223846391921755
2,5,1,15,10000000,11.132772361528575,0.742184824101905,-0.7060559375327442
2,5,2,75,10000000,72.30125193722014,0.9640166924962685,-0.22035185660450768
2,5,3,255,10000000,267.2624964602156,1.0480882214126102,0.542992469952482
2,5,4,795,10000000,766.3154708221318,0.9639188312228073,-0.7193647678893405
3,1,1,0,10000000,0.0,nan,nan
3,1,2,0,10000000,3.598398630934825e-25,nan,nan
3,1,3,0,10000000,0.0,nan,nan
3,1,4,0,10000000,0.0,nan,nan
3,2,1,1,10000000,1.0997920681329754,1.0997920681329754,0.07056364808545684
3,2,2,5,10000000,7.936444180748026,1.5872888361496051,0.9285851833110921
3,2,3,17,10000000,16.15962333363448,0.9505660784490871,-0.1441234092684646
3,2,4,53,10000000,53.480242131669044,1.0090611722956424,0.046645239299845834
3,3,1,3,10000000,1.2356570757473784,0.4118856919157928,-0.7202899826181458
3,3,2,15,10000000,25.616708824211855,1.7077805882807904,1.9383369698283275
3,3,3,51,10000000,54.14196556967306,1.0616071680328052,0.3111009488929089
3,3,4,159,10000000,168.8928575086174,1.0622192296139459,0.5547639015233032
3,4,1,7,10000000,9.888806521989581,1.4126866459985117,0.7720660187116467
3,4,2,35,10000000,48.06530891649473,1.373294540471278,1.5616031006786248
3,4,3,119,10000000,129.0031620812868,1.084060185557032,0.6484086908385924
3,4,4,371,10000000,395.1914372895386,1.0652060304300233,0.8880956018491627
3,5,1,15,10000000,16.12738846908634,1.0751592312724227,0.20583203186326823
3,5,2,75,10000000,86.92827047278541,1.1590436063038054,0.9739392057410441
3,5,3,255,10000000,252.65149724079356,0.990790185258014,-0.10399345011426046
3,5,4,795,10000000,810.0381918882645,1.0189159646393264,0.3771351919390547
4,1,1,0,9999999,0.0,nan,nan
4,1,2,0,9999999,0.0,nan,nan
4,1,3,0,9999999,0.0,nan,nan
4,1,4,0,9999999,0.0,nan,nan
4,2,1,1,9999999,1.843942273095296,1.843942273095296,0.5967573042356729
4,2,2,5,9999999,3.3139556041048897,0.6627911208209779,-0.5331740527191198
4,2,3,17,9999999,18.478286679334907,1.086958039960877,0.2535240739409542
4,2,4,53,9999999,61.49508196934113,1.1602845654592666,0.8251153016387144
4,3,1,3,9999999,5.747512448106191,1.9158374827020637,1.1216672599675357
4,3,2,15,9999999,17.95773974440504,1.1971826496270026,0.5400069257467348
4,3,3,51,9999999,50.62738905523723,0.9926939030438673,-0.03689398114430733
4,3,4,159,9999999,163.36851506517144,1.0274749375168015,0.2449741603279734
4,4,1,7,9999999,12.895766484786776,1.8422523549695395,1.5757098727497625
4,4,2,35,9999999,53.43186684756655,1.5266247670733302,2.2030294579653686
4,4,3,119,9999999,124.82705265511113,1.0489668290345473,0.37771172283775617
4,4,4,371,9999999,358.44509486443565,0.9661592853488832,-0.4609050673210672
4,5,1,15,9999999,21.135761384649204,1.4090507589766135,1.1202316392805003
4,5,2,75,9999999,88.76040625294073,1.183472083372543,1.1235324657702606
4,5,3,255,9999999,242.52574929893078,0.9510813697997286,-0.5523691053412937
4,5,4,795,9999999,740.6418354810346,0.9316249502906095,-1.3632208553817469
5,1,1,0,9999999,0.0,nan,nan
5,1,2,0,9999999,0.0,nan,nan
5,1,3,0,9999999,3.482954982710928e-25,nan,nan
5,1,4,0,9999999,4.073908921588956e-25,nan,nan
5,2,1,1,9999999,0.2848365756521314,0.2848365756521314,-0.5056969070129703
5,2,2,5,9999999,8.042279199457095,1.608455839891419,0.9620531548438112
5,2,3,17,9999999,22.1648247049734,1.3038132179396118,0.885760129412014
5,2,4,53,9999999,49.207853435802356,0.9284500648264595,-0.3683258345791845
5,3,1,3,9999999,1.5078648307594382,0.5026216102531461,-0.6091616319834663
5,3,2,15,9999999,22.90275820982214,1.526850547321476,1.4428396460095767
5,3,3,51,9999999,59.82815406143109,1.1731010600280607,0.8741175052945546
5,3,4,159,9999999,159.05181541545562,1.000325883116073,0.002905664214022302
5,4,1,7,9999999,8.092072742485685,1.1560103917836693,0.29186871741543147
5,4,2,35,9999999,46.25867810199087,1.321676517199739,1.3456694170786134
5,4,3,119,9999999,126.68916782810331,1.064614855698347,0.4984147217194073
5,4,4,371,9999999,362.53658806465836,0.977187568907435,-0.3107016266315433
5,5,1,15,9999999,13.648013941594687,0.9098675961063125,-0.24683775387369558
