k,rank,r_2,r_3,P,Q,P_minus_Q,z_cell
20,1,27,80,5.800450e-03,5.641128e-03,+1.593217e-04,2.1210
20,2,17,26,4.321080e-03,4.170810e-03,+1.502699e-04,2.3265
20,3,7,17,1.459365e-03,1.589235e-03,-1.298701e-04,-3.2573
20,4,17,20,4.048012e-03,4.177377e-03,-1.293651e-04,-2.0013
20,5,9,56,2.396599e-03,2.274061e-03,+1.225384e-04,2.5693
20,6,11,20,4.304076e-03,4.189072e-03,+1.150040e-04,1.7766
20,7,31,10,2.225556e-03,2.112366e-03,+1.131906e-04,2.4625
20,8,15,71,4.288072e-03,4.175364e-03,+1.127085e-04,1.7440
20,9,3,26,4.066017e-03,4.177349e-03,-1.113327e-04,-1.7223
20,10,31,20,4.300075e-03,4.191411e-03,+1.086640e-04,1.6782
30,1,5,5,1.892836e-03,1.091156e-03,+8.016808e-04,24.2191
30,2,11,11,1.610668e-03,9.333922e-04,+6.772760e-04,22.1224
30,3,17,17,2.280441e-03,1.621025e-03,+6.594161e-04,16.3442
30,4,13,13,2.567630e-03,2.107622e-03,+4.600076e-04,9.9993
30,5,19,19,1.038299e-03,6.393535e-04,+3.989450e-04,15.7450
30,6,29,29,1.311429e-03,9.125184e-04,+3.989109e-04,13.1781
30,7,15,47,1.982206e-03,1.637348e-03,+3.448582e-04,8.5049
30,8,5,37,1.485149e-03,1.192566e-03,+2.925828e-04,8.4549
30,9,1,80,5.900428e-03,5.613930e-03,+2.864978e-04,3.8158
30,10,1,65,1.182897e-03,9.178444e-04,+2.650528e-04,8.7307
