seed_3xm1,cycle_length_int,k,trace_3xm1,trace_neg_3xp1_candidate,markov_closure_verified
1,1,1,[1],[2],True
1,1,2,[1],[8],True
1,1,3,[1],[26],True
1,1,4,[1],[80],True
1,1,5,[1],[242],True
5,2,1,"[2, 1]","[1, 2]",True
5,2,2,"[5, 7]","[4, 2]",True
5,2,3,"[5, 7]","[22, 20]",True
5,2,4,"[5, 7]","[76, 74]",True
5,2,5,"[5, 7]","[238, 236]",True
17,7,1,"[2, 1, 1, 1, 2, 1, 1]","[1, 2, 2, 2, 1, 2, 2]",True
17,7,2,"[8, 7, 1, 1, 5, 7, 1]","[1, 2, 8, 8, 4, 2, 8]",True
17,7,3,"[17, 25, 10, 1, 14, 7, 10]","[10, 2, 17, 26, 13, 20, 17]",True
17,7,4,"[17, 25, 37, 55, 41, 61, 10]","[64, 56, 44, 26, 40, 20, 71]",True
17,7,5,"[17, 25, 37, 55, 41, 61, 91]","[226, 218, 206, 188, 202, 182, 152]",True
