N,j,p_emp,p_geom,ratio,deviation,n_samples
2^28,1,0.50005197,0.50000000,1.00010394,+5.19694025e-05,130740391
2^28,2,0.24258210,0.25000000,0.97032841,-7.41789697e-03,130740391
2^28,3,0.12439862,0.12500000,0.99518895,-6.01381672e-04,130740391
2^28,4,0.07802534,0.06250000,1.24840551,+1.55253441e-02,130740391
2^28,5,0.03009261,0.03125000,0.96296362,-1.15738692e-03,130740391
2^28,6,0.01266391,0.01562500,0.81048997,-2.96109417e-03,130740391
2^28,7,0.00614819,0.00781250,0.78696855,-1.66430820e-03,130740391
2^28,8,0.00287234,0.00390625,0.73531932,-1.03390889e-03,130740391
2^28,9,0.00137556,0.00195312,0.70428573,-5.77566929e-04,130740391
2^28,10,0.00122153,0.00097656,1.25084429,+2.44965130e-04,130740391
2^28,11,0.00028642,0.00048828,0.58659344,-2.01858671e-04,130740391
2^28,12,0.00015712,0.00024414,0.64356571,-8.70200914e-05,130740391
2^28,13,0.00006926,0.00012207,0.56737294,-5.28109204e-05,130740391
2^28,14,0.00002562,0.00006104,0.41981211,-3.54118582e-05,130740391
2^28,15,0.00002940,0.00003052,0.96343747,-1.11579976e-06,130740391
2^30,1,0.50001988,0.50000000,1.00003976,+1.98812248e-05,70217002
2^30,2,0.24318454,0.25000000,0.97273814,-6.81546472e-03,70217002
2^30,3,0.12443090,0.12500000,0.99544723,-5.69096499e-04,70217002
2^30,4,0.07695623,0.06250000,1.23129974,+1.44562335e-02,70217002
2^30,5,0.03013638,0.03125000,0.96436404,-1.11362363e-03,70217002
2^30,6,0.01286151,0.01562500,0.82313694,-2.76348535e-03,70217002
2^30,7,0.00625656,0.00781250,0.80083989,-1.55593838e-03,70217002
2^30,8,0.00295303,0.00390625,0.75597600,-9.53218767e-04,70217002
2^30,9,0.00140892,0.00195312,0.72136603,-5.44206972e-04,70217002
2^30,10,0.00120096,0.00097656,1.22978580,+2.24400196e-04,70217002
2^30,11,0.00029894,0.00048828,0.61223873,-1.89336559e-04,70217002
2^30,12,0.00016338,0.00024414,0.66920134,-8.07613910e-05,70217002
2^30,13,0.00007216,0.00012207,0.59115119,-4.99083025e-05,70217002
2^30,14,0.00002763,0.00006104,0.45266757,-3.34065201e-05,70217002
2^30,15,0.00002897,0.00003052,0.94920190,-1.55023486e-06,70217002
2^32,1,0.50011498,0.50000000,1.00022995,+1.14977324e-04,37520442
2^32,2,0.24350446,0.25000000,0.97401784,-6.49553915e-03,37520442
2^32,3,0.12444526,0.12500000,0.99556205,-5.54744264e-04,37520442
2^32,4,0.07601821,0.06250000,1.21629143,+1.35182143e-02,37520442
2^32,5,0.03026758,0.03125000,0.96856258,-9.82419464e-04,37520442
2^32,6,0.01304534,0.01562500,0.83490189,-2.57965794e-03,37520442
2^32,7,0.00636021,0.00781250,0.81410725,-1.45228708e-03,37520442
2^32,8,0.00299471,0.00390625,0.76664683,-9.11535812e-04,37520442
2^32,9,0.00144964,0.00195312,0.74221386,-5.03488559e-04,37520442
2^32,10,0.00118663,0.00097656,1.21511234,+2.10070643e-04,37520442
2^32,11,0.00030924,0.00048828,0.63333326,-1.79036492e-04,37520442
2^32,12,0.00016823,0.00024414,0.68906310,-7.59123296e-05,37520442
2^32,13,0.00007772,0.00012207,0.63666286,-4.43526779e-05,37520442
2^32,14,0.00002908,0.00006104,0.47640548,-3.19576736e-05,37520442
2^32,15,0.00002870,0.00003052,0.94058423,-1.81322544e-06,37520442
2^34,1,0.50013641,0.50000000,1.00027283,+1.36412714e-04,15969919
2^34,2,0.24386536,0.25000000,0.97546143,-6.13464289e-03,15969919
2^34,3,0.12449637,0.12500000,0.99597099,-5.03626537e-04,15969919
2^34,4,0.07520796,0.06250000,1.20332733,+1.27079582e-02,15969919
2^34,5,0.03030786,0.03125000,0.96985138,-9.42144337e-04,15969919
2^34,6,0.01317771,0.01562500,0.84337360,-2.44728758e-03,15969919
2^34,7,0.00643335,0.00781250,0.82346817,-1.37915491e-03,15969919
2^34,8,0.00308605,0.00390625,0.79002930,-8.20198029e-04,15969919
2^34,9,0.00146964,0.00195312,0.75245466,-4.83486989e-04,15969919
2^34,10,0.00118222,0.00097656,1.21059600,+2.05660152e-04,15969919
2^34,11,0.00032624,0.00048828,0.66813614,-1.62042902e-04,15969919
2^34,12,0.00017257,0.00024414,0.70686495,-7.15661742e-05,15969919
2^34,13,0.00007752,0.00012207,0.63504993,-4.45495687e-05,15969919
2^34,14,0.00002999,0.00006104,0.49141990,-3.10412659e-05,15969919
2^34,15,0.00003075,0.00003052,1.00746209,+2.27724966e-07,15969919
