r,b,n_visits,coprime_frac,pearson_pi4
1,6,247258,1.000000,-0.050427
1,7,327929,1.000000,0.508704
1,8,168466,1.000000,0.129350
1,9,749834,1.000000,0.117665
1,10,165875,1.000000,0.092366
1,11,180719,1.000000,0.677368
1,12,205613,1.000000,0.783923
1,13,227881,1.000000,0.836518
1,14,205410,1.000000,0.811824
1,15,217634,1.000000,0.958943
1,16,229909,0.999991,0.949628
1,17,229969,0.999996,0.951879
1,18,218160,1.000000,0.975852
1,19,222228,0.999991,0.996697
1,20,225848,0.999956,0.996493
1,21,221827,0.999959,0.996381
1,22,223101,0.999924,0.998932
1,23,223590,0.999718,0.999113
1,24,226258,0.999412,0.999511
1,25,225734,0.998901,0.999612
1,26,225935,0.997840,0.999687
1,27,225033,0.995907,0.999794
1,28,225798,0.991506,0.999795
1,29,225881,0.982863,0.999546
1,30,225266,0.965148,0.998796
1,31,225502,0.930187,0.992563
1,32,130856,1.000000,0.965476
1,33,67625,1.000000,0.902577
1,34,33492,1.000000,0.842955
1,35,16293,1.000000,0.844685
1,36,8272,1.000000,0.841907
1,37,4197,1.000000,0.845607
1,38,2181,1.000000,0.832024
1,39,1046,1.000000,0.857010
1,40,524,1.000000,0.826111
1,41,249,1.000000,0.843128
3,5,673899,1.000000,-0.072787
3,6,146513,1.000000,-0.057323
3,7,102830,1.000000,-0.086802
3,8,151837,1.000000,0.487347
3,9,179299,1.000000,0.204927
3,10,158593,1.000000,0.030629
3,11,780028,0.999999,0.390753
3,12,181943,1.000000,0.686726
3,13,229109,1.000000,0.865713
3,14,218809,1.000000,0.894384
3,15,227708,1.000000,0.839725
3,16,212514,1.000000,0.968543
3,17,221250,0.999995,0.987718
3,18,224209,0.999996,0.981556
3,19,223557,0.999987,0.987412
3,20,226975,0.999969,0.997550
3,21,222989,0.999928,0.998651
3,22,221740,0.999847,0.999378
3,23,226187,0.999713,0.999349
3,24,225920,0.999451,0.999485
3,25,225936,0.998920,0.999814
3,26,224449,0.997821,0.999703
3,27,224632,0.995913,0.999871
3,28,225609,0.991565,0.999769
3,29,225718,0.982664,0.999660
3,30,224748,0.965041,0.998827
3,31,226356,0.930137,0.992835
3,32,130791,1.000000,0.966363
3,33,67840,1.000000,0.904630
3,34,33725,1.000000,0.839946
3,35,16705,1.000000,0.854662
3,36,8470,1.000000,0.844994
3,37,4288,1.000000,0.845565
3,38,2157,1.000000,0.853866
3,39,1079,1.000000,0.838662
3,40,518,1.000000,0.818011
3,41,264,1.000000,0.828685
5,2,1406281,1.000000,-0.013106
5,5,262415,1.000000,0.004225
5,6,214362,1.000000,0.350540
5,7,93021,1.000000,-0.120992
5,8,765336,1.000000,0.044272
5,9,156774,1.000000,0.154437
5,10,168679,1.000000,0.173902
5,11,763596,1.000000,0.554254
5,12,181517,1.000000,0.782039
5,13,248807,1.000000,0.823035
5,14,214713,1.000000,0.887166
5,15,223520,1.000000,0.950309
5,16,220500,1.000000,0.984363
5,17,216531,0.999995,0.964441
