rank,sigma,log10_sigma
1,6.705540747520687e-01,-0.173566
2,6.705540747520684e-01,-0.173566
3,6.703471100957077e-01,-0.173700
4,6.703471100957072e-01,-0.173700
5,6.695245070213736e-01,-0.174234
6,6.695245070213734e-01,-0.174234
7,6.689130467444491e-01,-0.174630
8,6.689130467444491e-01,-0.174630
9,6.673052976288245e-01,-0.175675
10,6.673052976288234e-01,-0.175675
11,6.663171482171933e-01,-0.176319
12,6.663171482171931e-01,-0.176319
13,6.639972449226917e-01,-0.177834
14,6.639972449226916e-01,-0.177834
15,6.626772016705247e-01,-0.178698
16,6.626772016705246e-01,-0.178698
17,6.597502119159817e-01,-0.180620
18,6.597502119159813e-01,-0.180620
19,6.581580604885944e-01,-0.181670
20,6.581580604885938e-01,-0.181670
21,6.547568079284229e-01,-0.183920
22,6.547568079284227e-01,-0.183920
23,6.529650927598935e-01,-0.185110
24,6.529650927598932e-01,-0.185110
25,6.492457671136735e-01,-0.187591
26,6.492457671136733e-01,-0.187591
27,6.473377093582002e-01,-0.188869
28,6.473377093581998e-01,-0.188869
29,6.434760686303344e-01,-0.191468
30,6.434760686303344e-01,-0.191468
31,6.415438767107446e-01,-0.192774
32,6.415438767107445e-01,-0.192774
33,6.377322439175496e-01,-0.195362
34,6.377322439175490e-01,-0.195362
35,6.358757246985032e-01,-0.196628
36,6.358757246985030e-01,-0.196628
37,6.323200590918037e-01,-0.199063
38,6.323200590918034e-01,-0.199063
39,6.306448362153450e-01,-0.200215
40,6.306448362153447e-01,-0.200215
41,6.275596755894520e-01,-0.202345
42,6.275596755894518e-01,-0.202345
43,6.261734714315220e-01,-0.203305
44,6.261734714315216e-01,-0.203305
45,6.237708578007604e-01,-0.204975
46,6.237708578007600e-01,-0.204975
47,6.227756448136376e-01,-0.205668
48,6.227756448136365e-01,-0.205668
49,6.212439609223088e-01,-0.206738
50,6.212439609223084e-01,-0.206738
51,6.207226353586199e-01,-0.207102
52,6.207226353586198e-01,-0.207102
53,6.201957488945660e-01,-0.207471
54,6.201957488945656e-01,-0.207471
55,5.113959341475002e-01,-0.291243
56,5.113959341475001e-01,-0.291243
57,5.111011706298225e-01,-0.291493
58,5.111011706298225e-01,-0.291493
59,5.108107551505067e-01,-0.291740
60,5.108107551505066e-01,-0.291740
61,5.099645441874868e-01,-0.292460
62,5.099645441874864e-01,-0.292460
63,5.094202854803501e-01,-0.292924
64,5.094202854803500e-01,-0.292924
65,5.081240802000582e-01,-0.294030
66,5.081240802000581e-01,-0.294030
67,5.073874203238526e-01,-0.294660
68,5.073874203238524e-01,-0.294660
69,5.057765288733922e-01,-0.296041
70,5.057765288733921e-01,-0.296041
71,5.049179911322818e-01,-0.296779
72,5.049179911322815e-01,-0.296779
73,5.031322740109382e-01,-0.298318
74,5.031322740109381e-01,-0.298318
75,5.022191139235370e-01,-0.299107
76,5.022191139235368e-01,-0.299107
77,5.003842223217981e-01,-0.300696
78,5.003842223217978e-01,-0.300696
79,4.994740215592912e-01,-0.301487
80,4.994740215592910e-01,-0.301487
81,4.976937314823391e-01,-0.303038
82,4.976937314823389e-01,-0.303038
83,4.968326579648714e-01,-0.303790
84,4.968326579648712e-01,-0.303790
85,4.951883333749972e-01,-0.305230
86,4.951883333749971e-01,-0.305230
87,4.944119016997351e-01,-0.305911
88,4.944119016997350e-01,-0.305911
89,4.929651890270430e-01,-0.307184
90,4.929651890270427e-01,-0.307184
91,4.922999326942921e-01,-0.307770
92,4.922999326942918e-01,-0.307770
93,4.910962992532193e-01,-0.308833
94,4.910962992532191e-01,-0.308833
95,4.905615181419957e-01,-0.309307
96,4.905615181419953e-01,-0.309307
97,4.896335215609656e-01,-0.310129
98,4.896335215609654e-01,-0.310129
99,4.892427637325868e-01,-0.310476
100,4.892427637325867e-01,-0.310476
101,4.886126617643018e-01,-0.311035
102,4.886126617643017e-01,-0.311035
103,4.883748457646101e-01,-0.311247
104,4.883748457646098e-01,-0.311247
105,4.880564801808283e-01,-0.311530
106,4.880564801808280e-01,-0.311530
107,4.879766624139499e-01,-0.311601
108,4.879766624139497e-01,-0.311601
109,4.505574670464245e-16,-15.346250
110,3.835022935924728e-16,-15.416232
111,3.733863462286260e-16,-15.427842
112,3.557382675180744e-16,-15.448869
113,2.885198181907894e-16,-15.539824
114,2.416746689884457e-16,-15.616769
115,2.289354672313789e-16,-15.640287
116,2.141570631149503e-16,-15.669268
117,2.124604148546172e-16,-15.672722
118,2.122494644843556e-16,-15.673153
119,2.073732377237615e-16,-15.683247
120,1.971633085533405e-16,-15.705174
121,1.857661450543847e-16,-15.731033
122,1.800866495255912e-16,-15.744518
123,1.728462193221689e-16,-15.762340
124,1.710928680722338e-16,-15.766768
125,1.630367757076755e-16,-15.787714
126,1.524047773201780e-16,-15.817001
127,1.460626050241827e-16,-15.835461
128,1.385383033319822e-16,-15.858430
129,1.375167619369570e-16,-15.861644
130,1.365955672426033e-16,-15.864563
131,1.362625639385062e-16,-15.865623
132,1.198545564305054e-16,-15.921345
133,1.139340731917001e-16,-15.943346
134,1.114229419999547e-16,-15.953025
135,1.106292707652613e-16,-15.956130
136,1.074655515366176e-16,-15.968731
137,9.966853805765464e-17,-16.001442
138,9.528507710378396e-17,-16.020975
139,8.710490236961778e-17,-16.059957
140,8.351425196791083e-17,-16.078239
141,8.312680252548160e-17,-16.080259
142,8.211657818285770e-17,-16.085569
143,7.973974125785251e-17,-16.098325
144,7.136994080118993e-17,-16.146485
145,7.125600511565105e-17,-16.147179
146,6.972871152037425e-17,-16.156588
147,6.967894620790941e-17,-16.156898
148,6.923446000444929e-17,-16.159678
149,6.854267646929347e-17,-16.164039
150,6.649201604378805e-17,-16.177230
151,6.649201604378805e-17,-16.177230
152,6.649201604378805e-17,-16.177230
153,6.649201604378805e-17,-16.177230
154,6.649201604378805e-17,-16.177230
155,6.649201604378805e-17,-16.177230
156,6.618612526392498e-17,-16.179233
157,5.974527993484309e-17,-16.223696
158,5.243642713327883e-17,-16.280367
159,5.133900632614487e-17,-16.289553
160,4.911751258841592e-17,-16.308764
161,3.291444566445600e-17,-16.482613
162,1.640694285774676e-17,-16.784972
