residue,modulus,energy_fraction,signed_sum
1,3,2.0000000000e-01,-1.1102230246e-16
2,3,8.0000000000e-01,+1.6653345369e-16
1,9,1.1204492060e-01,-1.3877787808e-17
2,9,4.4817968240e-01,+2.7755575616e-17
4,9,8.0952271862e-02,+5.5511151231e-17
5,9,2.8011230150e-02,+1.3877787808e-17
7,9,7.0028075375e-03,+6.9388939039e-18
8,9,3.2380908745e-01,+1.3877787808e-17
1,27,3.7348306867e-02,-1.3877787808e-17
2,27,1.4939322747e-01,+5.2041704279e-17
4,27,2.6984090621e-02,+3.4694469520e-18
5,27,9.3370767167e-03,-1.3877787808e-17
7,27,2.3342691792e-03,+1.7347234760e-18
8,27,1.0793636248e-01,-4.1633363423e-17
10,27,3.7348306867e-02,+0.0000000000e+00
11,27,1.4939322747e-01,-6.9388939039e-18
13,27,2.6984090621e-02,-1.3877787808e-17
14,27,9.3370767167e-03,+6.9388939039e-18
16,27,2.3342691792e-03,-5.2041704279e-18
17,27,1.0793636248e-01,-1.0408340856e-17
19,27,3.7348306867e-02,+1.3877787808e-17
20,27,1.4939322747e-01,-2.7755575616e-17
22,27,2.6984090621e-02,+0.0000000000e+00
23,27,9.3370767167e-03,-2.6020852140e-18
25,27,2.3342691792e-03,+3.4694469520e-18
26,27,1.0793636248e-01,-6.2450045135e-17
1,81,1.2449435622e-02,+0.0000000000e+00
2,81,4.9797742489e-02,-1.3877787808e-17
4,81,8.9946968735e-03,+8.6736173799e-18
5,81,3.1123589056e-03,+0.0000000000e+00
7,81,7.7808972639e-04,+8.6736173799e-19
8,81,3.5978787494e-02,+5.2041704279e-17
10,81,1.2449435622e-02,+3.4694469520e-18
11,81,4.9797742489e-02,-3.4694469520e-17
13,81,8.9946968735e-03,+6.9388939039e-18
14,81,3.1123589056e-03,+8.6736173799e-19
16,81,7.7808972639e-04,-3.4694469520e-18
17,81,3.5978787494e-02,+2.4286128664e-17
19,81,1.2449435622e-02,+6.9388939039e-18
20,81,4.9797742489e-02,-1.0061396161e-16
22,81,8.9946968735e-03,-1.7347234760e-18
23,81,3.1123589056e-03,-2.6020852140e-18
25,81,7.7808972639e-04,-2.1684043450e-18
26,81,3.5978787494e-02,-1.3877787808e-17
28,81,1.2449435622e-02,-2.2551405188e-17
29,81,4.9797742489e-02,+4.8572257327e-17
31,81,8.9946968735e-03,+3.4694469520e-18
32,81,3.1123589056e-03,-6.0715321659e-18
34,81,7.7808972639e-04,+8.6736173799e-19
35,81,3.5978787494e-02,+1.0408340856e-17
37,81,1.2449435622e-02,-3.4694469520e-18
38,81,4.9797742489e-02,+2.7755575616e-17
40,81,8.9946968735e-03,+3.2959746044e-17
41,81,3.1123589056e-03,-1.3877787808e-17
43,81,7.7808972639e-04,+0.0000000000e+00
44,81,3.5978787494e-02,+1.7347234760e-17
46,81,1.2449435622e-02,-6.9388939039e-18
47,81,4.9797742489e-02,-3.4694469520e-18
49,81,8.9946968735e-03,+1.0408340856e-17
50,81,3.1123589056e-03,-5.2041704279e-18
52,81,7.7808972639e-04,-8.6736173799e-19
53,81,3.5978787494e-02,+0.0000000000e+00
55,81,1.2449435622e-02,+1.7347234760e-17
56,81,4.9797742489e-02,-1.7347234760e-17
58,81,8.9946968735e-03,-7.8062556419e-18
59,81,3.1123589056e-03,-3.9031278209e-18
61,81,7.7808972639e-04,+8.6736173799e-18
62,81,3.5978787494e-02,+0.0000000000e+00
64,81,1.2449435622e-02,+0.0000000000e+00
65,81,4.9797742489e-02,+2.0816681712e-17
67,81,8.9946968735e-03,-6.9388939039e-18
68,81,3.1123589056e-03,+6.9388939039e-18
70,81,7.7808972639e-04,+3.4694469520e-18
71,81,3.5978787494e-02,+2.0816681712e-17
73,81,1.2449435622e-02,+0.0000000000e+00
74,81,4.9797742489e-02,+2.0816681712e-17
76,81,8.9946968735e-03,-6.9388939039e-18
77,81,3.1123589056e-03,-6.9388939039e-18
79,81,7.7808972639e-04,+3.4694469520e-18
80,81,3.5978787494e-02,-1.3877787808e-17
