residue,modulus,energy_fraction,signed_sum
1,3,5.0000000000e-01,-1.0547118734e-15
2,3,5.0000000000e-01,+2.2204460493e-16
1,9,1.6666666667e-01,-5.6205040622e-16
2,9,1.6666666667e-01,-2.4286128664e-16
4,9,1.6666666667e-01,-4.5796699766e-16
5,9,1.6666666667e-01,+4.4408920985e-16
7,9,1.6666666667e-01,-8.3266726847e-17
8,9,1.6666666667e-01,-2.7755575616e-16
1,27,5.5555555556e-02,-1.7499023064e-16
2,27,5.5555555556e-02,+3.0531133177e-16
4,27,5.5555555556e-02,-1.5265566589e-16
5,27,5.5555555556e-02,-2.8102520311e-16
7,27,5.5555555556e-02,-3.2265856653e-16
8,27,5.5555555556e-02,-3.8163916471e-17
10,27,5.5555555556e-02,-2.0122792321e-16
11,27,5.5555555556e-02,-7.6327832943e-17
13,27,5.5555555556e-02,-7.6327832943e-17
14,27,5.5555555556e-02,+3.9551695252e-16
16,27,5.5555555556e-02,-1.7347234760e-16
17,27,5.5555555556e-02,+2.1684043450e-18
19,27,5.5555555556e-02,-1.8041124150e-16
20,27,5.5555555556e-02,-2.8449465006e-16
22,27,5.5555555556e-02,-1.7347234760e-16
23,27,5.5555555556e-02,+3.2092384306e-16
25,27,5.5555555556e-02,+3.7470027081e-16
26,27,5.5555555556e-02,-2.6367796835e-16
