candidate,theta,max_residual,passes_RB,is_projector,lambda_top,lambda_2,n_distinct_eigvals,spectrum_top5
T_a (proj on first 9 residues by COPRIME index),0.0000000000e+00,3.7528775202e+00,False,True,1.0000000000e+00,1.0000000000e+00,2,"1.000000,0.000000"
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,0.0000000000e+00,True,True,1.0000000000e+00,1.0000000000e+00,2,"1.000000,0.000000"
T_c (proj on r < 14: |A|=9),0.0000000000e+00,3.7528775202e+00,False,True,1.0000000000e+00,1.0000000000e+00,2,"1.000000,0.000000"
T_c (proj on r < 14: |A|=9),1.0000000000e+00,0.0000000000e+00,True,True,1.0000000000e+00,1.0000000000e+00,2,"1.000000,0.000000"
T_d (proj on r ≡ 1 mod 3: |A|=9),0.0000000000e+00,4.0486711684e+00,False,True,1.0000000000e+00,1.0000000000e+00,2,"1.000000,0.000000"
T_d (proj on r ≡ 1 mod 3: |A|=9),1.0000000000e+00,0.0000000000e+00,True,True,1.0000000000e+00,1.0000000000e+00,2,"1.000000,0.000000"
"T_K (K_3 Markov kernel, not projector)",0.0000000000e+00,1.0777450957e+00,False,False,1.0000000000e+00,3.1935912814e-06,3,"1.000000,0.000003,0.000000"
"T_K (K_3 Markov kernel, not projector)",1.0000000000e+00,2.4375950995e+00,False,False,1.0000000000e+00,3.1935912814e-06,3,"1.000000,0.000003,0.000000"
T_resK (pseudoinverse of I - K_3),0.0000000000e+00,7.3134394472e+00,False,False,1.0000000132e+00,1.0000000000e+00,4,"1.000000,0.882661,0.739248,0.000000"
T_resK (pseudoinverse of I - K_3),1.0000000000e+00,5.2657826013e+00,False,False,1.0000000132e+00,1.0000000000e+00,4,"1.000000,0.882661,0.739248,0.000000"
T_K2 (K_3^2),0.0000000000e+00,1.0000000000e+00,False,False,1.0000000000e+00,2.9427990966e-09,2,"1.000000,0.000000"
T_K2 (K_3^2),1.0000000000e+00,1.2577456624e+00,False,False,1.0000000000e+00,2.9427990966e-09,2,"1.000000,0.000000"
"T_chi (Fourier proj on a in {0,2,...,16})",0.0000000000e+00,2.1033439374e+00,False,True,1.0000000000e+00,1.0000000000e+00,2,"1.000000,0.000000"
"T_chi (Fourier proj on a in {0,2,...,16})",1.0000000000e+00,1.6240866399e+00,False,True,1.0000000000e+00,1.0000000000e+00,2,"1.000000,0.000000"
