rank,lambda_real,lambda_imag,magnitude,argument_rad,b_real,b_imag,abs_b,abs_b_sq,var_frac_of_top20
1,0.9999999999999998,0.0,0.9999999999999998,0.0,-2.1684043449710096e-18,0.0,2.1684043449710096e-18,4.7019774032891534e-36,4.610276902957641e-07
2,0.00034281895503318594,0.0,0.00034281895503318594,0.0,3.1745439610375565e-16,0.0,3.1745439610375565e-16,1.007772936056002e-31,0.009881188045001491
3,0.00010587355648097607,0.00032601971138588134,0.00034277990339876083,1.2567942921386663,-9.779503595819245e-17,-3.017171592184811e-16,3.1717047975014073e-16,1.0059711322493443e-31,0.009863521404435154
4,0.00010587355648097607,-0.00032601971138588134,0.00034277990339876083,-1.2567942921386663,-9.779503595819245e-17,3.017171592184811e-16,3.1717047975014073e-16,1.0059711322493443e-31,0.009863521404435154
5,-0.0002772830339981493,0.0002014166250161196,0.0003427164101354106,2.5133715956114018,-2.569559148790645e-16,1.8668754388250544e-16,3.176138870267159e-16,1.0087858123221944e-31,0.009891119271068876
6,-0.0002772830339981493,-0.0002014166250161196,0.0003427164101354106,-2.5133715956114018,-2.569559148790645e-16,-1.8668754388250544e-16,3.176138870267159e-16,1.0087858123221944e-31,0.009891119271068876
7,3.6828695689672835e-05,3.683274581201602e-05,5.208650487655234e-05,0.7854531463336567,4.4137870441884895e-16,4.4206178355125034e-16,6.246869465508097e-16,3.9023378119097414e-31,0.038262323143451675
8,3.6828695689672835e-05,-3.683274581201602e-05,5.208650487655234e-05,-0.7854531463336567,4.4137870441884895e-16,-4.4206178355125034e-16,6.246869465508097e-16,3.9023378119097414e-31,0.038262323143451675
9,-3.6828695689289874e-05,-3.682464619680312e-05,5.2080777583423665e-05,-2.356249470623361,4.424086964827102e-16,4.4199154599107724e-16,6.253654783013796e-16,3.910819814511133e-31,0.038345488963552526
10,-3.6828695689289874e-05,3.682464619680312e-05,5.2080777583423665e-05,2.356249470623361,4.424086964827102e-16,-4.4199154599107724e-16,6.253654783013796e-16,3.910819814511133e-31,0.038345488963552526
11,-4.460487238256253e-05,0.0,4.460487238256253e-05,3.141592653589793,1.168769941939374e-16,0.0,1.168769941939374e-16,1.3660231771809677e-32,0.0013393822561241562
12,1.3622404667768133e-09,-4.460351116471015e-05,4.460351118551231e-05,-1.570765785691051,-4.33680868994202e-19,-1.1537202840490335e-16,1.1537284350035737e-16,1.3310893017357954e-32,0.001305129679966939
13,1.3622404667768133e-09,4.460351116471015e-05,4.460351118551231e-05,1.570765785691051,-4.33680868994202e-19,1.1537202840490335e-16,1.1537284350035737e-16,1.3310893017357954e-32,0.001305129679966939
14,4.4602147895189745e-05,0.0,4.4602147895189745e-05,0.0,1.151422707179606e-16,0.0,1.151422707179606e-16,1.3257742506088126e-32,0.001299918285834839
15,3.5220052951387874e-05,0.0,3.5220052951387874e-05,0.0,1.4232864019303456e-15,0.0,1.4232864019303456e-15,2.0257441819198292e-30,0.19862370258676215
16,-5.0442059616071214e-09,3.521501123454497e-05,3.521501159581156e-05,1.570939567014061,-1.1384122811097797e-18,1.4211836426387871e-15,1.4211840985905286e-15,2.0197642420865733e-30,0.19803737100475474
17,-5.0442059616071214e-09,-3.521501123454497e-05,3.521501159581156e-05,-1.570939567014061,-1.1384122811097797e-18,-1.4211836426387871e-15,1.4211840985905286e-15,2.0197642420865733e-30,0.19803737100475474
18,-3.520996451571449e-05,0.0,3.520996451571449e-05,3.141592653589793,1.419058013457652e-15,0.0,1.419058013457652e-15,2.013725645558378e-30,0.19744528814870477
19,-2.378043978762807e-06,5.081798548036987e-07,2.431735990965785e-06,2.931062662398046,-8.673617379884035e-19,1.6263032587282567e-19,8.824766327896538e-19,7.787650074197655e-37,7.635771120523587e-08
20,-2.378043978762807e-06,-5.081798548036987e-07,2.431735990965785e-06,-2.931062662398046,-8.673617379884035e-19,-1.6263032587282567e-19,8.824766327896538e-19,7.787650074197655e-37,7.635771120523587e-08
