rank,sigma_top,d_i,d_i_sq,d_var_frac,c_i,c_i_sq,c_var_frac
1,0.6706223266254693,-1.0139693871257318e-05,1.0281339180281322e-10,2.9242184447272985e-05,,,
2,0.6706223266254692,8.762491927870195e-05,7.678126478599033e-09,0.0021838126994905734,,,
3,0.6706197661481118,0.0005916695078019628,3.5007280646261686e-07,0.09956770608431804,,,
4,0.6706197661481115,-0.0001468632507213069,2.156881441242945e-08,0.006134602100929851,,,
5,0.6706095250430498,0.0006074612092607177,3.6900912075649347e-07,0.10495357251303283,,,
6,0.6706095250430498,0.0003214599558027667,1.0333650318471671e-07,0.02939096778422804,,,
7,0.6706018450587888,-0.00017708618530418993,3.135951702558989e-08,0.008919273695380656,,,
8,0.6706018450587888,-0.0008355173518053766,6.980892451678695e-07,0.19855054006007267,,,
9,0.6705813686393696,-0.0003373868288226561,1.1382987226300824e-07,0.03237549177162085,,,
10,0.6705813686393696,-0.00036629609484554803,1.341728290990987e-07,0.03816143546604523,,,
11,0.6705685734906668,0.00017268207261499343,2.9819098202609866e-08,0.008481147780480137,,,
12,0.6705685734906665,-0.0005133693863459228,2.635481268371893e-07,0.07495835708335721,,,
13,0.670537873334412,0.0002998157845652296,8.988950467446418e-08,0.02556637252670391,,,
14,0.6705378733344117,-0.00043993575648359324,1.9354346983279145e-07,0.055047632844078986,,,
15,0.6705199702554642,-0.00028135763100433736,7.916211652437286e-08,0.022515288835932436,,,
16,0.6705199702554642,0.0006692959343051692,4.479570476774294e-07,0.12740794154289173,,,
17,0.6704790637189493,9.083810477927617e-06,8.251561279890756e-11,2.3469090231681185e-05,,,
18,0.6704790637189492,-0.00010392615941867434,1.0800646611515714e-08,0.0030719198620496684,,,
19,0.670456062830843,0.0006751971202862394,4.5589115124283046e-07,0.12966455924429193,,,
20,0.6704560628308429,-0.0003406081011230927,1.1601387855067894e-07,0.032996666830416285,,,
