y_idx,n_pre_struct,n_pre_weighted,max_weight,col_entropy,col_sum
0,162,162,2.500000e-01,1.680777,9.523810e-01
1,162,162,5.000000e-01,1.680777,1.904762e+00
2,162,162,2.500000e-01,1.404093,8.095238e-01
3,162,162,1.250000e-01,1.680777,4.761905e-01
4,162,162,6.250000e-02,1.680777,2.380952e-01
5,162,162,5.000000e-01,1.404093,1.619048e+00
6,162,162,2.500000e-01,1.680777,9.523810e-01
7,162,162,5.000000e-01,1.680777,1.904762e+00
8,162,162,2.500000e-01,1.404093,8.095238e-01
9,162,162,1.250000e-01,1.680777,4.761905e-01
10,162,162,6.250000e-02,1.680777,2.380952e-01
11,162,162,5.000000e-01,1.404093,1.619048e+00
12,162,162,2.500000e-01,1.680777,9.523810e-01
13,162,162,5.000000e-01,1.680777,1.904762e+00
14,162,162,2.500000e-01,1.404093,8.095238e-01
15,162,162,1.250000e-01,1.680777,4.761905e-01
16,162,162,6.250000e-02,1.680777,2.380952e-01
17,162,162,5.000000e-01,1.404093,1.619048e+00
18,162,162,2.500000e-01,1.680777,9.523810e-01
19,162,162,5.000000e-01,1.680777,1.904762e+00
20,162,162,2.500000e-01,1.404093,8.095238e-01
21,162,162,1.250000e-01,1.680777,4.761905e-01
22,162,162,6.250000e-02,1.680777,2.380952e-01
23,162,162,5.000000e-01,1.404093,1.619048e+00
24,162,162,2.500000e-01,1.680777,9.523810e-01
25,162,162,5.000000e-01,1.680777,1.904762e+00
26,162,162,2.500000e-01,1.404093,8.095238e-01
27,162,162,1.250000e-01,1.680777,4.761905e-01
28,162,162,6.250000e-02,1.680777,2.380952e-01
29,162,162,5.000000e-01,1.404093,1.619048e+00
30,162,162,2.500000e-01,1.680777,9.523810e-01
31,162,162,5.000000e-01,1.680777,1.904762e+00
32,162,162,2.500000e-01,1.404093,8.095238e-01
33,162,162,1.250000e-01,1.680777,4.761905e-01
34,162,162,6.250000e-02,1.680777,2.380952e-01
35,162,162,5.000000e-01,1.404093,1.619048e+00
36,162,162,2.500000e-01,1.680777,9.523810e-01
37,162,162,5.000000e-01,1.680777,1.904762e+00
38,162,162,2.500000e-01,1.404093,8.095238e-01
39,162,162,1.250000e-01,1.680777,4.761905e-01
40,162,162,6.250000e-02,1.680777,2.380952e-01
41,162,162,5.000000e-01,1.404093,1.619048e+00
