t,n_alive,rho_r1,rho_r3,rho_r5,rho_r7,rho_r9,rho_r11,rho_r13,rho_r15,rho_r17,rho_r19,rho_r21,rho_r23,rho_r25,rho_r27,rho_r29,rho_r31
0,10000000,0.06246420,0.06247500,0.06256220,0.06249750,0.06249070,0.06251830,0.06245270,0.06247620,0.06259320,0.06240180,0.06252480,0.06249170,0.06252040,0.06253230,0.06244120,0.06255780
10,9999550,0.06257412,0.06248791,0.06254971,0.06245091,0.06249071,0.06251731,0.06257182,0.06254131,0.06264292,0.06256012,0.06245301,0.06241201,0.06239331,0.06240161,0.06255451,0.06239871
20,9968631,0.06298448,0.06194351,0.06314448,0.06265735,0.06234036,0.06327469,0.06311739,0.06251751,0.06282538,0.06247608,0.06210903,0.06205125,0.06197722,0.06218296,0.06238309,0.06201524
30,9727569,0.06530470,0.06032391,0.06531190,0.06424709,0.06222860,0.06536104,0.06328539,0.06271824,0.06432162,0.06113768,0.05994550,0.06045796,0.06075485,0.06282320,0.06200141,0.05977691
40,9067435,0.06931277,0.05779540,0.07046138,0.06902558,0.06323233,0.06693492,0.06034320,0.06146865,0.06740065,0.05772415,0.05475032,0.05752762,0.05787149,0.06505324,0.06283442,0.05826389
50,8021526,0.07119531,0.05539956,0.07337743,0.07104097,0.06474292,0.06345800,0.05652702,0.06232854,0.07167439,0.05374314,0.04941217,0.05826884,0.05530282,0.07030595,0.06561008,0.05761285
60,6737970,0.07487938,0.05918860,0.07226568,0.07062958,0.06618477,0.06136744,0.05192795,0.06595770,0.07045045,0.04847870,0.04621021,0.06389684,0.05264642,0.07048829,0.06883112,0.05659687
70,5378070,0.07821914,0.05596841,0.08297754,0.06429630,0.06055109,0.05848418,0.04699232,0.07086148,0.06936652,0.04701928,0.04722307,0.06680556,0.04968994,0.06728139,0.07625840,0.05800538
80,4033956,0.08427930,0.05500432,0.09683819,0.06305696,0.05681544,0.05619496,0.04458477,0.07466244,0.07160936,0.04709223,0.05037983,0.07588556,0.04413732,0.05854799,0.07088154,0.05002980
90,2812266,0.07695218,0.06190666,0.11587489,0.05764284,0.04906790,0.05352481,0.04263821,0.06772866,0.06405617,0.04808222,0.05394120,0.08443689,0.04337534,0.05943072,0.06965735,0.05168394
100,1861715,0.08622319,0.06946821,0.12092345,0.05516204,0.04569282,0.04688258,0.03359590,0.07019495,0.06621690,0.03745256,0.04237652,0.09563172,0.04005285,0.06158408,0.07662773,0.05191450
110,1184201,0.09694300,0.07782547,0.13371210,0.05541373,0.04576250,0.03914791,0.03158501,0.05639499,0.07033688,0.03783395,0.04448569,0.07953717,0.03134012,0.05878901,0.08543567,0.05545680
120,726945,0.10578655,0.08632152,0.12006823,0.04843145,0.04624284,0.03850498,0.03143842,0.06014760,0.07579666,0.03486509,0.04941364,0.07804717,0.03145355,0.05682961,0.09053092,0.04612178
130,427522,0.10138426,0.09340338,0.10318066,0.04855657,0.04557894,0.03978275,0.03305561,0.06417214,0.07351435,0.03766824,0.05475742,0.08610551,0.03311175,0.05068745,0.08691249,0.04812852
140,247831,0.11131376,0.05720027,0.11606296,0.04435280,0.04520016,0.04131848,0.03568157,0.06939406,0.07010422,0.03875221,0.06132808,0.08182592,0.03470510,0.04902534,0.09343867,0.05029637
150,137849,0.09211529,0.06284413,0.13331254,0.04397565,0.04174858,0.04498400,0.03857119,0.06785686,0.07730198,0.04467932,0.06893050,0.09004055,0.03495129,0.04629704,0.07133167,0.04105942
160,76511,0.08967338,0.06980696,0.14779574,0.04209852,0.03349845,0.04425507,0.04020337,0.06476193,0.06000444,0.04322254,0.05765184,0.10280875,0.03698815,0.04877730,0.07435532,0.04409823
170,41929,0.09966849,0.07717809,0.14522168,0.04619714,0.03644256,0.04409836,0.02957380,0.06604021,0.06215269,0.03372368,0.04574400,0.10532090,0.02616328,0.04927377,0.08433304,0.04886833
180,23158,0.11326539,0.08878141,0.15497884,0.04158390,0.03622938,0.03294758,0.02970896,0.05259522,0.07207013,0.03726574,0.04892478,0.06986786,0.02862942,0.05363157,0.08860869,0.05091113
190,12432,0.12113900,0.09885779,0.10625804,0.04697555,0.04214929,0.03828829,0.03177284,0.06418919,0.07319820,0.03418597,0.05566281,0.07947233,0.02662484,0.05445624,0.08502252,0.04174710
