r,j,n_j,mean_dev_re,mean_dev_im,abs_mean_dev,mean_abs_dev,std_abs_dev,max_abs_dev
4,0,9,-0.42264973,-0.00000000,0.42264973,0.81649658,0.42264973,1.41421356
4,1,9,-0.00000000,0.00000000,0.00000000,0.81649658,0.42264973,1.41421356
4,2,9,-0.00000000,-0.00000000,0.00000000,0.81649658,0.42264973,1.41421356
6,0,81,-0.80754991,-0.00000000,0.80754991,1.11630883,0.60741618,1.97888328
6,1,81,-0.00000000,-0.00000000,0.00000000,1.11630883,0.60741618,1.97888328
6,2,81,-0.00000000,0.00000000,0.00000000,1.11630883,0.60741618,1.97888328
8,0,729,-0.93584997,-0.00000000,0.93584997,1.22087167,0.61739154,1.99973885
8,1,729,-0.00000000,-0.00000000,0.00000000,1.22087167,0.61739154,1.99973885
8,2,729,-0.00000000,0.00000000,0.00000000,1.22087167,0.61739154,1.99973885
10,0,6561,-0.97861666,-0.00000000,0.97861666,1.25578287,0.61663821,1.99999678
10,1,6561,-0.00000000,-0.00000000,0.00000000,1.25578287,0.61663821,1.99999678
10,2,6561,-0.00000000,0.00000000,0.00000000,1.25578287,0.61663821,1.99999678
