r,ell,eps,c,a,b,absF,theta,s,J,phi_3r,cong_residual_q
2,0,0,1,1,0,15.5884572681,0.756309342531,None,None,1.083333,
2,0,0,1,4,1,15.5884572681,-1.338085759862,None,None,-1.916667,
2,0,0,1,7,2,15.5884572681,0.756309342531,None,None,1.083333,
2,1,0,10,1,0,15.5884572681,2.850704444924,None,None,4.083333,
2,1,0,10,4,1,15.5884572681,0.756309342531,None,None,1.083333,
2,1,0,10,7,2,15.5884572681,2.850704444924,None,None,4.083333,
2,2,0,19,1,0,15.5884572681,-1.338085759862,None,None,-1.916667,
2,2,0,19,4,1,15.5884572681,2.850704444924,None,None,4.083333,
2,2,0,19,7,2,15.5884572681,-1.338085759862,None,None,-1.916667,
2,0,1,2,2,0,15.5884572681,-0.058177641733,None,None,-0.083333,
2,0,1,2,5,1,15.5884572681,-0.058177641733,None,None,-0.083333,
2,0,1,2,8,2,15.5884572681,2.036217460660,None,None,2.916667,
2,1,1,20,2,0,15.5884572681,-2.152572744126,None,None,-3.083333,
2,1,1,20,5,1,15.5884572681,-2.152572744126,None,None,-3.083333,
2,1,1,20,8,2,15.5884572681,-0.058177641733,None,None,-0.083333,
2,2,1,11,2,0,15.5884572681,2.036217460660,None,None,2.916667,
2,2,1,11,5,1,15.5884572681,2.036217460660,None,None,2.916667,
2,2,1,11,8,2,15.5884572681,-2.152572744126,None,None,-3.083333,
3,0,0,1,1,0,27.0000000000,0.077570188978,2,4,0.333333,
3,0,0,1,4,1,27.0000000000,-0.620561511820,65,292,-2.666667,
3,0,0,1,7,2,27.0000000000,0.077570188978,2,4,0.333333,
3,0,0,1,10,3,27.0000000000,-2.016824913416,29,220,-8.666667,
3,0,0,1,13,4,27.0000000000,1.473833590573,38,76,6.333333,
3,0,0,1,16,5,27.0000000000,0.077570188978,2,4,0.333333,
3,0,0,1,19,6,27.0000000000,2.171965291371,56,112,9.333333,
3,0,0,1,22,7,27.0000000000,-2.714956614213,11,184,-11.666667,
3,0,0,1,25,8,27.0000000000,0.077570188978,2,4,0.333333,
3,1,0,28,1,0,27.0000000000,2.171965291371,56,112,9.333333,
3,1,0,28,4,1,27.0000000000,1.473833590573,38,76,6.333333,
3,1,0,28,7,2,27.0000000000,2.171965291371,56,112,9.333333,
3,1,0,28,10,3,27.0000000000,0.077570188978,2,4,0.333333,
3,1,0,28,13,4,27.0000000000,-2.714956614213,11,184,-11.666667,
3,1,0,28,16,5,27.0000000000,2.171965291371,56,112,9.333333,
3,1,0,28,19,6,27.0000000000,-2.016824913416,29,220,-8.666667,
3,1,0,28,22,7,27.0000000000,-0.620561511820,65,292,-2.666667,
3,1,0,28,25,8,27.0000000000,2.171965291371,56,112,9.333333,
3,2,0,55,1,0,27.0000000000,-2.016824913416,29,220,-8.666667,
3,2,0,55,4,1,27.0000000000,-2.714956614213,11,184,-11.666667,
3,2,0,55,7,2,27.0000000000,-2.016824913416,29,220,-8.666667,
3,2,0,55,10,3,27.0000000000,2.171965291371,56,112,9.333333,
3,2,0,55,13,4,27.0000000000,-0.620561511820,65,292,-2.666667,
3,2,0,55,16,5,27.0000000000,-2.016824913416,29,220,-8.666667,
3,2,0,55,19,6,27.0000000000,0.077570188978,2,4,0.333333,
3,2,0,55,22,7,27.0000000000,1.473833590573,38,76,6.333333,
3,2,0,55,25,8,27.0000000000,-2.016824913416,29,220,-8.666667,
3,0,1,2,2,0,27.0000000000,0.155140377955,4,8,0.666667,
3,0,1,2,5,1,27.0000000000,0.155140377955,4,8,0.666667,
3,0,1,2,8,2,27.0000000000,-1.241123023640,49,260,-5.333333,
3,0,1,2,11,3,27.0000000000,-1.939254724438,31,224,-8.333333,
3,0,1,2,14,4,27.0000000000,0.155140377955,4,8,0.666667,
3,0,1,2,17,5,27.0000000000,0.853272078753,22,44,3.666667,
3,0,1,2,20,6,27.0000000000,2.249535480348,58,116,9.666667,
3,0,1,2,23,7,27.0000000000,0.155140377955,4,8,0.666667,
3,0,1,2,26,8,27.0000000000,2.947667181146,76,152,12.666667,
3,1,1,56,2,0,27.0000000000,-1.939254724438,31,224,-8.333333,
3,1,1,56,5,1,27.0000000000,-1.939254724438,31,224,-8.333333,
3,1,1,56,8,2,27.0000000000,2.947667181146,76,152,12.666667,
3,1,1,56,11,3,27.0000000000,2.249535480348,58,116,9.666667,
3,1,1,56,14,4,27.0000000000,-1.939254724438,31,224,-8.333333,
3,1,1,56,17,5,27.0000000000,-1.241123023640,49,260,-5.333333,
3,1,1,56,20,6,27.0000000000,0.155140377955,4,8,0.666667,
3,1,1,56,23,7,27.0000000000,-1.939254724438,31,224,-8.333333,
3,1,1,56,26,8,27.0000000000,0.853272078753,22,44,3.666667,
3,2,1,29,2,0,27.0000000000,2.249535480348,58,116,9.666667,
3,2,1,29,5,1,27.0000000000,2.249535480348,58,116,9.666667,
3,2,1,29,8,2,27.0000000000,0.853272078753,22,44,3.666667,
3,2,1,29,11,3,27.0000000000,0.155140377955,4,8,0.666667,
3,2,1,29,14,4,27.0000000000,2.249535480348,58,116,9.666667,
3,2,1,29,17,5,27.0000000000,2.947667181146,76,152,12.666667,
3,2,1,29,20,6,27.0000000000,-1.939254724438,31,224,-8.333333,
3,2,1,29,23,7,27.0000000000,2.249535480348,58,116,9.666667,
3,2,1,29,26,8,27.0000000000,-1.241123023640,49,260,-5.333333,
4,0,0,1,1,0,46.7653718044,0.549455505257,None,None,7.083333,
4,0,0,1,4,1,46.7653718044,0.316744938325,None,None,4.083333,
4,0,0,1,7,2,46.7653718044,0.549455505257,None,None,7.083333,
4,0,0,1,10,3,46.7653718044,-2.243071297933,None,None,-28.916667,
4,0,0,1,13,4,46.7653718044,3.109271741516,None,None,40.083333,
4,0,0,1,16,5,46.7653718044,-1.544939597136,None,None,-19.916667,
4,0,0,1,19,6,46.7653718044,-0.846807896338,None,None,-10.916667,
4,0,0,1,22,7,46.7653718044,-2.475781864866,None,None,-31.916667,
4,0,0,1,25,8,46.7653718044,0.549455505257,None,None,7.083333,
4,0,0,1,28,9,46.7653718044,-1.544939597136,None,None,-19.916667,
4,0,0,1,31,10,46.7653718044,2.411140040718,None,None,31.083333,
4,0,0,1,34,11,46.7653718044,0.549455505257,None,None,7.083333,
4,0,0,1,37,12,46.7653718044,1.945718906853,None,None,25.083333,
4,0,0,1,40,13,46.7653718044,-1.079518463271,None,None,-13.916667,
4,0,0,1,43,14,46.7653718044,-1.544939597136,None,None,-19.916667,
4,0,0,1,46,15,46.7653718044,-2.941202998731,None,None,-37.916667,
4,0,0,1,49,16,46.7653718044,-0.381386762473,None,None,-4.916667,
4,0,0,1,52,17,46.7653718044,0.549455505257,None,None,7.083333,
4,0,0,1,55,18,46.7653718044,2.643850607651,None,None,34.083333,
4,0,0,1,58,19,46.7653718044,-1.777650164068,None,None,-22.916667,
4,0,0,1,61,20,46.7653718044,0.549455505257,None,None,7.083333,
4,0,0,1,64,21,46.7653718044,-0.148676195540,None,None,-1.916667,
4,0,0,1,67,22,46.7653718044,1.014876639123,None,None,13.083333,
4,0,0,1,70,23,46.7653718044,-1.544939597136,None,None,-19.916667,
4,0,0,1,73,24,46.7653718044,1.247587206055,None,None,16.083333,
4,0,0,1,76,25,46.7653718044,1.713008339920,None,None,22.083333,
4,0,0,1,79,26,46.7653718044,0.549455505257,None,None,7.083333,
4,1,0,82,1,0,46.7653718044,2.643850607651,None,None,34.083333,
4,1,0,82,4,1,46.7653718044,2.411140040718,None,None,31.083333,
4,1,0,82,7,2,46.7653718044,2.643850607651,None,None,34.083333,
4,1,0,82,10,3,46.7653718044,-0.148676195540,None,None,-1.916667,
4,1,0,82,13,4,46.7653718044,-1.079518463271,None,None,-13.916667,
4,1,0,82,16,5,46.7653718044,0.549455505257,None,None,7.083333,
4,1,0,82,19,6,46.7653718044,1.247587206055,None,None,16.083333,
4,1,0,82,22,7,46.7653718044,-0.381386762473,None,None,-4.916667,
4,1,0,82,25,8,46.7653718044,2.643850607651,None,None,34.083333,
4,1,0,82,28,9,46.7653718044,0.549455505257,None,None,7.083333,
4,1,0,82,31,10,46.7653718044,-1.777650164068,None,None,-22.916667,
4,1,0,82,34,11,46.7653718044,2.643850607651,None,None,34.083333,
4,1,0,82,37,12,46.7653718044,-2.243071297933,None,None,-28.916667,
4,1,0,82,40,13,46.7653718044,1.014876639123,None,None,13.083333,
4,1,0,82,43,14,46.7653718044,0.549455505257,None,None,7.083333,
4,1,0,82,46,15,46.7653718044,-0.846807896338,None,None,-10.916667,
4,1,0,82,49,16,46.7653718044,1.713008339920,None,None,22.083333,
4,1,0,82,52,17,46.7653718044,2.643850607651,None,None,34.083333,
4,1,0,82,55,18,46.7653718044,-1.544939597136,None,None,-19.916667,
4,1,0,82,58,19,46.7653718044,0.316744938325,None,None,4.083333,
4,1,0,82,61,20,46.7653718044,2.643850607651,None,None,34.083333,
4,1,0,82,64,21,46.7653718044,1.945718906853,None,None,25.083333,
4,1,0,82,67,22,46.7653718044,3.109271741516,None,None,40.083333,
4,1,0,82,70,23,46.7653718044,0.549455505257,None,None,7.083333,
4,1,0,82,73,24,46.7653718044,-2.941202998731,None,None,-37.916667,
4,1,0,82,76,25,46.7653718044,-2.475781864866,None,None,-31.916667,
4,1,0,82,79,26,46.7653718044,2.643850607651,None,None,34.083333,
4,2,0,163,1,0,46.7653718044,-1.544939597136,None,None,-19.916667,
4,2,0,163,4,1,46.7653718044,-1.777650164068,None,None,-22.916667,
4,2,0,163,7,2,46.7653718044,-1.544939597136,None,None,-19.916667,
4,2,0,163,10,3,46.7653718044,1.945718906853,None,None,25.083333,
4,2,0,163,13,4,46.7653718044,1.014876639123,None,None,13.083333,
4,2,0,163,16,5,46.7653718044,2.643850607651,None,None,34.083333,
4,2,0,163,19,6,46.7653718044,-2.941202998731,None,None,-37.916667,
4,2,0,163,22,7,46.7653718044,1.713008339920,None,None,22.083333,
4,2,0,163,25,8,46.7653718044,-1.544939597136,None,None,-19.916667,
4,2,0,163,28,9,46.7653718044,2.643850607651,None,None,34.083333,
4,2,0,163,31,10,46.7653718044,0.316744938325,None,None,4.083333,
4,2,0,163,34,11,46.7653718044,-1.544939597136,None,None,-19.916667,
4,2,0,163,37,12,46.7653718044,-0.148676195540,None,None,-1.916667,
4,2,0,163,40,13,46.7653718044,3.109271741516,None,None,40.083333,
4,2,0,163,43,14,46.7653718044,2.643850607651,None,None,34.083333,
4,2,0,163,46,15,46.7653718044,1.247587206055,None,None,16.083333,
4,2,0,163,49,16,46.7653718044,-2.475781864866,None,None,-31.916667,
4,2,0,163,52,17,46.7653718044,-1.544939597136,None,None,-19.916667,
4,2,0,163,55,18,46.7653718044,0.549455505257,None,None,7.083333,
4,2,0,163,58,19,46.7653718044,2.411140040718,None,None,31.083333,
4,2,0,163,61,20,46.7653718044,-1.544939597136,None,None,-19.916667,
4,2,0,163,64,21,46.7653718044,-2.243071297933,None,None,-28.916667,
4,2,0,163,67,22,46.7653718044,-1.079518463271,None,None,-13.916667,
4,2,0,163,70,23,46.7653718044,2.643850607651,None,None,34.083333,
4,2,0,163,73,24,46.7653718044,-0.846807896338,None,None,-10.916667,
4,2,0,163,76,25,46.7653718044,-0.381386762473,None,None,-4.916667,
4,2,0,163,79,26,46.7653718044,-1.544939597136,None,None,-19.916667,
4,0,1,2,2,0,46.7653718044,-0.471885316280,None,None,-6.083333,
4,0,1,2,5,1,46.7653718044,1.622509786113,None,None,20.916667,
4,0,1,2,8,2,46.7653718044,-0.937306450145,None,None,-12.083333,
4,0,1,2,11,3,46.7653718044,-1.170017017078,None,None,-15.083333,
4,0,1,2,14,4,46.7653718044,-0.471885316280,None,None,-6.083333,
4,0,1,2,17,5,46.7653718044,-2.333569851741,None,None,-30.083333,
4,0,1,2,20,6,46.7653718044,0.226246384518,None,None,2.916667,
4,0,1,2,23,7,46.7653718044,-0.471885316280,None,None,-6.083333,
4,0,1,2,26,8,46.7653718044,-1.635438150943,None,None,-21.083333,
4,0,1,2,29,9,46.7653718044,-2.566280418673,None,None,-33.083333,
4,0,1,2,32,10,46.7653718044,1.622509786113,None,None,20.916667,
4,0,1,2,35,11,46.7653718044,1.157088652248,None,None,14.916667,
4,0,1,2,38,12,46.7653718044,3.018773187709,None,None,38.916667,
4,0,1,2,41,13,46.7653718044,-0.471885316280,None,None,-6.083333,
4,0,1,2,44,14,46.7653718044,-0.239174749347,None,None,-3.083333,
4,0,1,2,47,15,46.7653718044,-1.868148717875,None,None,-24.083333,
4,0,1,2,50,16,46.7653718044,-0.471885316280,None,None,-6.083333,
4,0,1,2,53,17,46.7653718044,0.458956951450,None,None,5.916667,
4,0,1,2,56,18,46.7653718044,1.622509786113,None,None,20.916667,
4,0,1,2,59,19,46.7653718044,1.622509786113,None,None,20.916667,
4,0,1,2,62,20,46.7653718044,-3.031701552538,None,None,-39.083333,
4,0,1,2,65,21,46.7653718044,0.924378085316,None,None,11.916667,
4,0,1,2,68,22,46.7653718044,-0.471885316280,None,None,-6.083333,
4,0,1,2,71,23,46.7653718044,1.855220353046,None,None,23.916667,
4,0,1,2,74,24,46.7653718044,2.320641486911,None,None,29.916667,
4,0,1,2,77,25,46.7653718044,-0.471885316280,None,None,-6.083333,
4,0,1,2,80,26,46.7653718044,2.553352053844,None,None,32.916667,
4,1,1,164,2,0,46.7653718044,-2.566280418673,None,None,-33.083333,
4,1,1,164,5,1,46.7653718044,-0.471885316280,None,None,-6.083333,
4,1,1,164,8,2,46.7653718044,-3.031701552538,None,None,-39.083333,
4,1,1,164,11,3,46.7653718044,3.018773187709,None,None,38.916667,
4,1,1,164,14,4,46.7653718044,-2.566280418673,None,None,-33.083333,
4,1,1,164,17,5,46.7653718044,1.855220353046,None,None,23.916667,
4,1,1,164,20,6,46.7653718044,-1.868148717875,None,None,-24.083333,
4,1,1,164,23,7,46.7653718044,-2.566280418673,None,None,-33.083333,
4,1,1,164,26,8,46.7653718044,2.553352053844,None,None,32.916667,
4,1,1,164,29,9,46.7653718044,1.622509786113,None,None,20.916667,
4,1,1,164,32,10,46.7653718044,-0.471885316280,None,None,-6.083333,
4,1,1,164,35,11,46.7653718044,-0.937306450145,None,None,-12.083333,
4,1,1,164,38,12,46.7653718044,0.924378085316,None,None,11.916667,
4,1,1,164,41,13,46.7653718044,-2.566280418673,None,None,-33.083333,
4,1,1,164,44,14,46.7653718044,-2.333569851741,None,None,-30.083333,
4,1,1,164,47,15,46.7653718044,2.320641486911,None,None,29.916667,
4,1,1,164,50,16,46.7653718044,-2.566280418673,None,None,-33.083333,
4,1,1,164,53,17,46.7653718044,-1.635438150943,None,None,-21.083333,
