r,ell,eps,modulus,offset,const_in_b,v3_offset
2,0,0,27,18,True,2
2,1,0,27,9,True,2
2,2,0,27,0,True,
2,0,1,27,9,True,2
2,1,1,27,18,True,2
2,2,1,27,0,True,
3,0,0,81,0,True,
3,1,0,81,54,True,3
3,2,0,81,27,True,3
3,0,1,81,0,True,
3,1,1,81,27,True,3
3,2,1,81,54,True,3
4,0,0,243,0,True,
4,1,0,243,162,True,4
4,2,0,243,81,True,4
4,0,1,243,0,True,
4,1,1,243,81,True,4
4,2,1,243,162,True,4
5,0,0,729,0,True,
5,1,0,729,486,True,5
5,2,0,729,243,True,5
5,0,1,729,0,True,
5,1,1,729,243,True,5
5,2,1,729,486,True,5
6,0,0,2187,0,True,
6,1,0,2187,1458,True,6
6,2,0,2187,729,True,6
6,0,1,2187,0,True,
6,1,1,2187,729,True,6
6,2,1,2187,1458,True,6
7,0,0,6561,0,True,
7,1,0,6561,4374,True,7
7,2,0,6561,2187,True,7
7,0,1,6561,0,True,
7,1,1,6561,2187,True,7
7,2,1,6561,4374,True,7
