k,v3,status,delta,s3,carries_kk,v3_fact,floor4k3,resid_vs_floor,resolving_r
0,0,confirmed,,0,0,0,0,0,14:0;16:0;17:0;18:0;19:0
1,2,confirmed,2,1,0,0,1,1,14:2;16:2;17:2;18:2;19:2
2,2,confirmed,0,2,1,0,2,0,14:2;16:2;17:2;18:2;19:2
3,3,confirmed,1,1,0,1,4,-1,14:3;16:3;17:3;18:3;19:3
4,4,confirmed,1,2,0,1,5,-1,14:4;16:4;17:4;18:4;19:4
5,6,confirmed,2,3,2,1,6,0,14:6;16:6;17:6;18:6;19:6
6,7,confirmed,1,2,1,2,8,-1,14:7;16:7;17:7;18:7;19:7
7,8,confirmed,1,3,1,2,9,-1,14:8;16:8;17:8;18:8;19:8
8,10,confirmed,2,4,2,2,10,0,14:10;16:10;17:10;18:10;19:10
9,11,confirmed,1,1,0,4,12,-1,14:11;16:11;17:11;18:11;19:11
10,12,confirmed,1,2,0,4,13,-1,14:12;16:12;17:12;18:12;19:12
11,15,confirmed,3,3,1,4,14,1,16:15;17:15;18:15;19:15
12,16,confirmed,1,2,0,5,16,0,16:16;17:16;18:16;19:16
13,17,confirmed,1,3,0,5,17,0,17:17;18:17;19:17
14,19,single-r,2,4,3,5,18,1,19:19
15,,unresolved,,3,2,6,20,,
16,,unresolved,,4,2,6,21,,
