k,rank,r_2,r_3,P,Q,P_minus_Q,z_cell
40,1,5,5,3.901510e-03,1.251729e-03,+2.649780e-03,74.0409
40,2,17,17,4.066247e-03,1.724781e-03,+2.341466e-03,55.7363
40,3,11,11,2.636819e-03,9.723789e-04,+1.664440e-03,52.7676
40,4,13,13,3.848303e-03,2.217199e-03,+1.631103e-03,34.2449
40,5,9,56,3.576128e-03,2.244705e-03,+1.331423e-03,27.7814
45,1,5,5,5.476350e-03,1.378206e-03,+4.098143e-03,108.0538
45,2,17,17,5.335449e-03,1.814831e-03,+3.520618e-03,80.8930
45,3,13,13,4.959713e-03,2.229649e-03,+2.730063e-03,56.5932
45,4,11,11,3.684298e-03,1.033222e-03,+2.651076e-03,80.7301
45,5,9,56,4.528660e-03,2.257838e-03,+2.270822e-03,46.7785
50,1,17,17,7.071312e-03,1.885868e-03,+5.185444e-03,115.1755
50,2,5,5,5.941665e-03,1.386073e-03,+4.555592e-03,118.0271
50,3,13,13,6.392019e-03,2.314257e-03,+4.077762e-03,81.7610
50,4,11,11,4.761500e-03,1.079673e-03,+3.681827e-03,108.0805
50,5,9,56,5.653610e-03,2.286539e-03,+3.367071e-03,67.9193
55,1,17,17,8.668576e-03,1.971697e-03,+6.696879e-03,142.6584
55,2,13,13,7.900743e-03,2.346270e-03,+5.554473e-03,108.4673
55,3,5,5,7.050203e-03,1.497072e-03,+5.553131e-03,135.7568
55,4,11,11,6.043191e-03,1.139039e-03,+4.904151e-03,137.4483
55,5,7,22,4.976943e-03,1.403026e-03,+3.573917e-03,90.2520
60,1,5,5,8.968010e-03,1.705249e-03,+7.262761e-03,162.3117
60,2,13,13,9.293244e-03,2.432658e-03,+6.860586e-03,128.3697
60,3,17,17,7.934775e-03,1.819814e-03,+6.114961e-03,132.2885
60,4,11,11,7.048306e-03,1.190963e-03,+5.857344e-03,156.6367
60,5,7,22,6.201758e-03,1.443577e-03,+4.758181e-03,115.5747
65,1,5,5,1.109495e-02,1.945746e-03,+9.149199e-03,185.8417
65,2,13,13,1.074866e-02,2.466552e-03,+8.282104e-03,149.4165
65,3,11,11,8.180140e-03,1.247745e-03,+6.932395e-03,175.8424
65,4,7,22,7.232205e-03,1.479832e-03,+5.752374e-03,133.9813
65,5,9,71,1.050077e-02,4.919836e-03,+5.580937e-03,71.2910
70,1,5,5,1.335457e-02,2.227803e-03,+1.112677e-02,204.0136
70,2,13,13,1.210884e-02,2.444227e-03,+9.664612e-03,169.1773
70,3,11,11,9.466498e-03,1.308200e-03,+8.158298e-03,195.2050
70,4,29,40,9.995233e-03,3.290566e-03,+6.704668e-03,101.1510
70,5,7,22,8.107275e-03,1.514324e-03,+6.592950e-03,146.6219
