k,n_alive_full,frac_alive_full,chi2_full,chi2_per_df_full,z_full,n_alive_s15,chi2_s15,chi2_per_df_s15,z_s15
5,1000000,1.000000,775.8436,0.975904,-0.4804,0,nan,nan,nan
10,999997,0.999997,766.6601,0.964352,-0.7107,0,nan,nan,nan
15,999965,0.999965,793.1441,0.997666,-0.0465,999965,793.1441,0.997666,-0.0465
18,999873,0.999873,737.5411,0.927725,-1.4410,999873,737.5411,0.927725,-1.4410
19,999816,0.999816,852.0438,1.071753,1.4306,999816,852.0438,1.071753,1.4306
20,999750,0.999750,847.2589,1.065734,1.3106,999750,847.2589,1.065734,1.3106
22,999499,0.999499,1054.7760,1.326762,6.5148,999499,1054.7760,1.326762,6.5148
25,998753,0.998753,1470.2433,1.849363,16.9341,998753,1470.2433,1.849363,16.9341
30,995860,0.995860,5061.7268,6.366952,107.0031,995860,5061.7268,6.366952,107.0031
40,977352,0.977352,39567.3191,49.770213,972.3513,977352,39567.3191,49.770213,972.3513
50,930365,0.930365,158903.2342,199.878282,3965.1163,930365,158903.2342,199.878282,3965.1163
