n,len,mean_v,frac_ge_1,frac_ge_2,frac_ge_3,frac_ge_4,frac_ge_5,frac_ge_6,frac_ge_7,frac_ge_8,frac_ge_9,frac_ge_10
7123495,77,1.883117,1.000000,0.493506,0.194805,0.116883,0.051948,0.012987,0.012987,0.000000,0.000000,0.000000
5565923,57,1.982456,1.000000,0.491228,0.263158,0.140351,0.052632,0.017544,0.017544,0.000000,0.000000,0.000000
658555,28,2.285714,1.000000,0.571429,0.357143,0.250000,0.071429,0.035714,0.000000,0.000000,0.000000,0.000000
6407509,43,2.116279,1.000000,0.441860,0.232558,0.139535,0.069767,0.046512,0.046512,0.046512,0.023256,0.023256
617737,71,1.859155,1.000000,0.478873,0.197183,0.084507,0.028169,0.014085,0.014085,0.014085,0.014085,0.014085
1874147,12,3.333333,1.000000,0.583333,0.500000,0.416667,0.250000,0.083333,0.083333,0.083333,0.083333,0.083333
4996325,54,2.000000,1.000000,0.481481,0.277778,0.166667,0.055556,0.018519,0.000000,0.000000,0.000000,0.000000
3605359,65,1.923077,1.000000,0.476923,0.230769,0.138462,0.046154,0.015385,0.015385,0.000000,0.000000,0.000000
5583179,23,2.565217,1.000000,0.608696,0.434783,0.217391,0.130435,0.086957,0.043478,0.043478,0.000000,0.000000
1389481,35,2.171429,1.000000,0.600000,0.285714,0.171429,0.085714,0.028571,0.000000,0.000000,0.000000,0.000000
929633,46,2.021739,1.000000,0.500000,0.217391,0.130435,0.086957,0.065217,0.021739,0.000000,0.000000,0.000000
4630409,42,2.119048,1.000000,0.547619,0.333333,0.190476,0.023810,0.023810,0.000000,0.000000,0.000000,0.000000
7251857,46,2.086957,1.000000,0.543478,0.282609,0.173913,0.043478,0.021739,0.021739,0.000000,0.000000,0.000000
5955191,62,1.951613,1.000000,0.451613,0.225806,0.129032,0.064516,0.016129,0.016129,0.016129,0.016129,0.016129
7735093,29,2.379310,1.000000,0.655172,0.379310,0.241379,0.103448,0.000000,0.000000,0.000000,0.000000,0.000000
6615623,55,2.000000,1.000000,0.418182,0.272727,0.145455,0.072727,0.036364,0.036364,0.018182,0.000000,0.000000
785599,43,2.046512,1.000000,0.465116,0.279070,0.116279,0.069767,0.046512,0.023256,0.023256,0.023256,0.000000
7367743,46,2.086957,1.000000,0.543478,0.326087,0.108696,0.021739,0.021739,0.021739,0.021739,0.021739,0.000000
2822245,21,2.619048,1.000000,0.666667,0.523810,0.333333,0.095238,0.000000,0.000000,0.000000,0.000000,0.000000
4318283,20,2.700000,1.000000,0.650000,0.550000,0.300000,0.100000,0.050000,0.050000,0.000000,0.000000,0.000000
3858019,19,2.736842,1.000000,0.473684,0.368421,0.315789,0.210526,0.157895,0.105263,0.105263,0.000000,0.000000
4897565,37,2.189189,1.000000,0.594595,0.324324,0.135135,0.054054,0.027027,0.027027,0.027027,0.000000,0.000000
7338725,70,1.914286,1.000000,0.471429,0.242857,0.128571,0.042857,0.028571,0.000000,0.000000,0.000000,0.000000
8297311,44,2.113636,1.000000,0.522727,0.295455,0.159091,0.068182,0.068182,0.000000,0.000000,0.000000,0.000000
2492071,35,2.200000,1.000000,0.514286,0.371429,0.200000,0.085714,0.028571,0.000000,0.000000,0.000000,0.000000
6291839,43,2.116279,1.000000,0.441860,0.302326,0.186047,0.093023,0.069767,0.023256,0.000000,0.000000,0.000000
4771513,59,1.966102,1.000000,0.457627,0.237288,0.118644,0.050847,0.050847,0.050847,0.000000,0.000000,0.000000
6754699,77,1.883117,1.000000,0.467532,0.220779,0.090909,0.038961,0.025974,0.025974,0.012987,0.000000,0.000000
2230451,54,1.981481,1.000000,0.500000,0.203704,0.148148,0.055556,0.037037,0.018519,0.018519,0.000000,0.000000
335641,64,1.875000,1.000000,0.468750,0.250000,0.140625,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000
2782717,98,1.806122,1.000000,0.418367,0.244898,0.102041,0.020408,0.010204,0.010204,0.000000,0.000000,0.000000
542785,37,2.108108,1.000000,0.621622,0.297297,0.135135,0.027027,0.027027,0.000000,0.000000,0.000000,0.000000
1646497,38,2.131579,1.000000,0.605263,0.289474,0.184211,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000
8336237,34,2.264706,1.000000,0.617647,0.323529,0.176471,0.117647,0.029412,0.000000,0.000000,0.000000,0.000000
4641067,66,1.924242,1.000000,0.545455,0.242424,0.106061,0.030303,0.000000,0.000000,0.000000,0.000000,0.000000
2966407,38,2.157895,1.000000,0.473684,0.289474,0.184211,0.078947,0.052632,0.026316,0.026316,0.026316,0.000000
1662527,72,1.875000,1.000000,0.458333,0.250000,0.125000,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000
7806377,51,2.039216,1.000000,0.509804,0.254902,0.176471,0.098039,0.000000,0.000000,0.000000,0.000000,0.000000
2097277,56,1.964286,1.000000,0.500000,0.267857,0.107143,0.035714,0.017857,0.017857,0.017857,0.000000,0.000000
674957,25,2.360000,1.000000,0.640000,0.280000,0.160000,0.080000,0.040000,0.040000,0.040000,0.040000,0.040000
7039433,70,1.914286,1.000000,0.457143,0.228571,0.100000,0.042857,0.042857,0.028571,0.014286,0.000000,0.000000
3047281,23,2.521739,1.000000,0.652174,0.347826,0.173913,0.086957,0.086957,0.043478,0.043478,0.043478,0.043478
959105,41,2.073171,1.000000,0.560976,0.292683,0.121951,0.073171,0.024390,0.000000,0.000000,0.000000,0.000000
5862751,74,1.891892,1.000000,0.459459,0.229730,0.121622,0.067568,0.013514,0.000000,0.000000,0.000000,0.000000
2850973,86,1.837209,1.000000,0.453488,0.209302,0.116279,0.034884,0.023256,0.000000,0.000000,0.000000,0.000000
7642901,22,2.636364,1.000000,0.681818,0.500000,0.227273,0.136364,0.090909,0.000000,0.000000,0.000000,0.000000
8226937,85,1.858824,1.000000,0.494118,0.223529,0.070588,0.035294,0.023529,0.011765,0.000000,0.000000,0.000000
3639505,82,1.853659,1.000000,0.426829,0.182927,0.109756,0.060976,0.036585,0.012195,0.012195,0.012195,0.000000
3766601,70,1.900000,1.000000,0.442857,0.242857,0.114286,0.042857,0.014286,0.014286,0.014286,0.014286,0.000000
8287753,44,2.113636,1.000000,0.613636,0.340909,0.136364,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000
3351829,24,2.500000,1.000000,0.625000,0.416667,0.250000,0.125000,0.083333,0.000000,0.000000,0.000000,0.000000
7507255,106,1.801887,1.000000,0.424528,0.207547,0.094340,0.047170,0.018868,0.009434,0.000000,0.000000,0.000000
577843,20,2.550000,1.000000,0.700000,0.400000,0.200000,0.100000,0.050000,0.050000,0.050000,0.000000,0.000000
714439,21,2.523810,1.000000,0.666667,0.333333,0.142857,0.095238,0.095238,0.047619,0.047619,0.047619,0.047619
5811829,81,1.864198,1.000000,0.469136,0.197531,0.123457,0.061728,0.012346,0.000000,0.000000,0.000000,0.000000
5815333,98,1.816327,1.000000,0.428571,0.193878,0.122449,0.030612,0.010204,0.010204,0.010204,0.010204,0.000000
4511771,34,2.235294,1.000000,0.500000,0.235294,0.176471,0.117647,0.088235,0.058824,0.058824,0.000000,0.000000
1168615,78,1.846154,1.000000,0.474359,0.217949,0.115385,0.025641,0.012821,0.000000,0.000000,0.000000,0.000000
5557123,35,2.228571,1.000000,0.571429,0.342857,0.200000,0.085714,0.028571,0.000000,0.000000,0.000000,0.000000
3433,53,1.811321,1.000000,0.452830,0.207547,0.113208,0.037736,0.000000,0.000000,0.000000,0.000000,0.000000
4624475,119,1.773109,1.000000,0.420168,0.168067,0.092437,0.042017,0.016807,0.008403,0.008403,0.008403,0.008403
3130319,43,2.093023,1.000000,0.465116,0.325581,0.162791,0.116279,0.023256,0.000000,0.000000,0.000000,0.000000
6570545,67,1.925373,1.000000,0.522388,0.253731,0.119403,0.029851,0.000000,0.000000,0.000000,0.000000,0.000000
3598129,46,2.065217,1.000000,0.521739,0.260870,0.195652,0.065217,0.021739,0.000000,0.000000,0.000000,0.000000
3101755,26,2.423077,1.000000,0.576923,0.423077,0.192308,0.115385,0.076923,0.038462,0.000000,0.000000,0.000000
2136095,85,1.835294,1.000000,0.482353,0.235294,0.082353,0.035294,0.000000,0.000000,0.000000,0.000000,0.000000
7283701,70,1.914286,1.000000,0.442857,0.214286,0.142857,0.057143,0.028571,0.014286,0.014286,0.000000,0.000000
512569,32,2.187500,1.000000,0.687500,0.250000,0.187500,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000
1721977,21,2.571429,1.000000,0.571429,0.285714,0.142857,0.047619,0.047619,0.047619,0.047619,0.047619,0.047619
7100329,58,1.982759,1.000000,0.482759,0.275862,0.137931,0.068966,0.017241,0.000000,0.000000,0.000000,0.000000
5006657,71,1.901408,1.000000,0.478873,0.253521,0.140845,0.028169,0.000000,0.000000,0.000000,0.000000,0.000000
1341541,28,2.321429,1.000000,0.607143,0.464286,0.178571,0.035714,0.035714,0.000000,0.000000,0.000000,0.000000
3392563,24,2.500000,1.000000,0.666667,0.416667,0.208333,0.125000,0.083333,0.000000,0.000000,0.000000,0.000000
5277041,69,1.913043,1.000000,0.492754,0.217391,0.115942,0.043478,0.028986,0.014493,0.000000,0.000000,0.000000
2344789,71,1.887324,1.000000,0.464789,0.225352,0.084507,0.028169,0.028169,0.028169,0.014085,0.014085,0.000000
2896145,28,2.357143,1.000000,0.607143,0.392857,0.214286,0.107143,0.035714,0.000000,0.000000,0.000000,0.000000
4294223,73,1.890411,1.000000,0.452055,0.315068,0.095890,0.027397,0.000000,0.000000,0.000000,0.000000,0.000000
3148507,50,2.020000,1.000000,0.560000,0.300000,0.120000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
2056375,46,2.043478,1.000000,0.456522,0.304348,0.173913,0.086957,0.021739,0.000000,0.000000,0.000000,0.000000
2811383,52,2.000000,1.000000,0.480769,0.230769,0.134615,0.057692,0.038462,0.019231,0.019231,0.019231,0.000000
2592355,28,2.357143,1.000000,0.571429,0.321429,0.285714,0.107143,0.071429,0.000000,0.000000,0.000000,0.000000
