k,eps_k,abs_eps_k,sign,ratio_to_prev_signed,abs_ratio_to_prev
1,+2.000000000000000e-01,2.000000000000000e-01,+,,
2,+9.523809523809525e-03,9.523809523809525e-03,+,+0.0476190476,0.0476190476
3,-5.091986325893010e-03,5.091986325893010e-03,-,-0.5346585642,0.5346585642
4,-2.452258248318762e-03,2.452258248318762e-03,-,+0.4815916798,0.4815916798
5,-1.151746915130986e-03,1.151746915130986e-03,-,+0.4696678728,0.4696678728
6,-4.979056652200001e-04,4.979056652200001e-04,-,+0.4323047526,0.4323047526
7,-1.175236830400000e-03,1.175236830400000e-03,-,+2.3603604307,2.3603604307
8,-7.455463672900000e-04,7.455463672900000e-04,-,+0.6343796825,0.6343796825
9,-7.520257156400000e-06,7.520257156400000e-06,-,+0.0100869074,0.0100869074
10,+7.207509171100000e-04,7.207509171100000e-04,+,-95.8412594304,95.8412594304
11,+1.501967012082273e-03,1.501967012082273e-03,+,+2.0838919194,2.0838919194
