sibling_prime,a_mod_p,r_mod_27,count
5,0,1,2291629
5,0,2,1757418
5,0,4,534766
5,0,5,3928207
5,0,7,249587
5,0,8,2491860
5,0,10,1770885
5,0,11,1579505
5,0,13,4111488
5,0,14,614457
5,0,16,473897
5,0,17,4437809
5,0,19,664946
5,0,20,5270557
5,0,22,1670811
5,0,23,323026
5,0,25,270428
5,0,26,4836807
5,1,1,941802
5,1,2,1848743
5,1,4,767750
5,1,5,716376
5,1,7,1599869
5,1,8,2094644
5,1,10,2575309
5,1,11,2673930
5,1,13,2966154
5,1,14,624394
5,1,16,454826
5,1,17,4075860
5,1,19,606515
5,1,20,4845558
5,1,22,1664259
5,1,23,385511
5,1,25,161210
5,1,26,6435703
5,2,1,827663
5,2,2,2763025
5,2,4,552024
5,2,5,1868444
5,2,7,861749
5,2,8,1028440
5,2,10,3424393
5,2,11,1268892
5,2,13,2506851
5,2,14,505741
5,2,16,508939
5,2,17,5997331
5,2,19,690830
5,2,20,3921058
5,2,22,1838901
5,2,23,456004
5,2,25,158456
5,2,26,7562454
5,3,1,2162075
5,3,2,1948170
5,3,4,497427
5,3,5,851101
5,3,7,217078
5,3,8,1179898
5,3,10,1645705
5,3,11,1340645
5,3,13,4907275
5,3,14,442605
5,3,16,633264
5,3,17,4182556
5,3,19,718994
5,3,20,4271232
5,3,22,2543659
5,3,23,1753618
5,3,25,192293
5,3,26,7123821
5,4,1,1129134
5,4,2,2655295
5,4,4,542890
5,4,5,1022350
5,4,7,281808
5,4,8,1306988
5,4,10,1560110
5,4,11,1205957
5,4,13,2191421
5,4,14,469250
5,4,16,365214
5,4,17,4314318
5,4,19,1145834
5,4,20,4291945
5,4,22,3117350
5,4,23,340008
5,4,25,180006
5,4,26,7598903
7,0,1,562145
7,0,2,1358579
7,0,4,322924
7,0,5,560156
7,0,7,805024
7,0,8,2183387
7,0,10,2083086
7,0,11,951961
7,0,13,2627120
7,0,14,349299
7,0,16,316194
7,0,17,2306788
7,0,19,427853
7,0,20,2320833
7,0,22,1626474
7,0,23,430367
7,0,25,139462
7,0,26,6354827
7,1,1,648352
7,1,2,2091520
7,1,4,431474
7,1,5,631182
7,1,7,237228
7,1,8,702292
7,1,10,1194906
7,1,11,856153
7,1,13,1557840
7,1,14,311183
7,1,16,487772
7,1,17,2773465
7,1,19,527550
7,1,20,4607567
7,1,22,1166373
7,1,23,263959
7,1,25,121928
7,1,26,4490247
7,2,1,648273
7,2,2,1373809
7,2,4,345709
7,2,5,517120
7,2,7,163475
7,2,8,780482
7,2,10,1674919
7,2,11,1321076
7,2,13,2269980
7,2,14,334273
7,2,16,416245
7,2,17,4641584
7,2,19,425252
7,2,20,2268578
7,2,22,1237091
7,2,23,1642089
7,2,25,129612
7,2,26,5060721
7,3,1,1977108
7,3,2,1207077
7,3,4,677345
7,3,5,801042
7,3,7,165285
7,3,8,865542
7,3,10,2625789
7,3,11,913376
7,3,13,2623934
7,3,14,347686
7,3,16,260319
7,3,17,4825186
7,3,19,557845
7,3,20,3939732
7,3,22,1315624
7,3,23,219424
7,3,25,107737
7,3,26,3255389
7,4,1,720320
7,4,2,2225564
7,4,4,360107
7,4,5,531220
7,4,7,162833
7,4,8,723446
7,4,10,1115280
7,4,11,2329059
7,4,13,2950339
7,4,14,464372
7,4,16,342473
7,4,17,2426269
7,4,19,444519
7,4,20,3235959
7,4,22,2232687
7,4,23,238816
7,4,25,224910
7,4,26,5933038
7,5,1,688970
7,5,2,1255285
7,5,4,369182
7,5,5,3609363
7,5,7,1524154
7,5,8,1015475
7,5,10,1137635
7,5,11,928292
7,5,13,1576709
7,5,14,339043
7,5,16,263183
7,5,17,3564001
7,5,19,1015074
7,5,20,3966948
7,5,22,2118305
7,5,23,258668
7,5,25,125703
7,5,26,4333792
7,6,1,2107135
7,6,2,1460817
7,6,4,388116
7,6,5,1736395
7,6,7,152092
7,6,8,1831206
7,6,10,1144787
7,6,11,769012
7,6,13,3077267
7,6,14,510591
7,6,16,349954
7,6,17,2470581
7,6,19,429026
7,6,20,2260733
7,6,22,1138426
7,6,23,204844
7,6,25,113041
7,6,26,4129674
11,0,1,560204
11,0,2,919401
11,0,4,258400
11,0,5,306717
11,0,7,101356
11,0,8,719333
11,0,10,864724
11,0,11,1992254
11,0,13,1536145
11,0,14,216367
11,0,16,159404
11,0,17,1550878
11,0,19,235149
11,0,20,1442776
11,0,22,2006608
11,0,23,299026
11,0,25,81672
11,0,26,1995047
11,1,1,355132
11,1,2,783960
11,1,4,198975
11,1,5,350125
11,1,7,107992
11,1,8,736593
11,1,10,734146
11,1,11,497493
11,1,13,1332331
11,1,14,192624
11,1,16,169354
11,1,17,1462861
11,1,19,263605
11,1,20,2477492
11,1,22,802935
11,1,23,1573886
11,1,25,102972
11,1,26,3375409
11,2,1,389320
11,2,2,858415
11,2,4,253450
11,2,5,1438984
11,2,7,108367
11,2,8,1925609
11,2,10,809446
11,2,11,490883
11,2,13,2722520
11,2,14,220378
11,2,16,189509
11,2,17,2416031
11,2,19,310586
11,2,20,1913139
11,2,22,799158
11,2,23,128224
11,2,25,94677
11,2,26,3144795
11,3,1,355489
11,3,2,778769
11,3,4,196950
11,3,5,381243
11,3,7,123661
11,3,8,396668
11,3,10,1587112
11,3,11,521262
11,3,13,987615
11,3,14,176923
11,3,16,160249
11,3,17,2867776
11,3,19,255362
11,3,20,2101669
11,3,22,828206
11,3,23,152613
11,3,25,183467
11,3,26,3076898
11,4,1,1661921
11,4,2,860557
11,4,4,225096
11,4,5,572744
11,4,7,158316
11,4,8,458447
11,4,10,1273012
11,4,11,499656
11,4,13,1053282
11,4,14,228948
11,4,16,206552
11,4,17,2842245
11,4,19,288359
11,4,20,1374789
11,4,22,1684309
11,4,23,163703
11,4,25,72289
11,4,26,2277594
11,5,1,476094
11,5,2,1677033
11,5,4,248776
11,5,5,3461496
11,5,7,112737
11,5,8,439428
11,5,10,1954401
11,5,11,540391
11,5,13,2026411
11,5,14,260563
11,5,16,167401
11,5,17,2043045
11,5,19,288236
11,5,20,1390068
11,5,22,1121619
11,5,23,150832
11,5,25,68761
11,5,26,3403111
11,6,1,1750681
11,6,2,988000
11,6,4,247030
11,6,5,416907
11,6,7,1480876
11,6,8,453099
11,6,10,640883
11,6,11,524616
11,6,13,924991
11,6,14,225926
11,6,16,175338
11,6,17,3043110
11,6,19,344049
11,6,20,2569083
11,6,22,669441
11,6,23,118546
11,6,25,66244
11,6,26,2269683
11,7,1,476020
11,7,2,1617366
11,7,4,223146
11,7,5,436102
11,7,7,720526
11,7,8,468780
11,7,10,760498
11,7,11,620467
11,7,13,1047814
11,7,14,361312
11,7,16,290924
11,7,17,1412218
11,7,19,414377
11,7,20,2650476
11,7,22,655247
11,7,23,144860
11,7,25,69696
11,7,26,2572602
11,8,1,424531
11,8,2,806261
11,8,4,297108
11,8,5,356383
11,8,7,101051
11,8,8,495104
11,8,10,685107
11,8,11,747727
11,8,13,2083766
11,8,14,376427
11,8,16,206023
11,8,17,1394280
11,8,19,866156
11,8,20,1456122
11,8,22,774943
11,8,23,195370
11,8,25,73043
11,8,26,3846829
11,9,1,392404
11,9,2,770473
11,9,4,540771
11,9,5,313563
11,9,7,88854
11,9,8,1508713
11,9,10,781659
11,9,11,646440
11,9,13,1032313
11,9,14,204979
11,9,16,263674
11,9,17,1510037
11,9,19,226991
11,9,20,2840803
11,9,22,807071
11,9,23,139335
11,9,25,75615
11,9,26,4687793
11,10,1,510507
11,10,2,912416
11,10,4,205155
11,10,5,352214
11,10,7,106355
11,10,8,500056
11,10,10,885414
11,10,11,987740
11,10,13,1936001
11,10,14,192000
11,10,16,447712
11,10,17,2465393
11,10,19,334249
11,10,20,2383933
11,10,22,685443
11,10,23,191772
11,10,25,73957
11,10,26,2907927
