start_mod27,current_mod27,visit_count,expected_pi3,obs_normalized
1,1,625686,367053.3737,0.062633
1,2,682787,734106.7474,0.068349
1,4,143651,199684.3520,0.014380
1,5,447096,328945.6729,0.044756
1,7,178838,91763.3434,0.017902
1,8,426095,399368.7040,0.042654
1,10,582535,657891.3459,0.058314
1,11,427040,487168.8465,0.042748
1,13,897721,887337.8122,0.089865
1,14,157212,183526.6869,0.015737
1,16,120010,164472.8365,0.012013
1,17,1275904,1314410.8146,0.127722
1,19,196245,243584.4232,0.019645
1,20,1209471,1315782.6918,0.121072
1,22,596284,657205.4073,0.059690
1,23,167552,121792.2116,0.016773
1,25,41713,60896.1058,0.004176
1,26,1813827,1774675.6243,0.181570
2,1,384768,367239.2213,0.038497
2,2,755125,734478.4427,0.075552
2,4,140921,199785.4568,0.014100
2,5,455332,329112.2258,0.045557
2,7,164346,91809.8053,0.016443
2,8,419919,399570.9136,0.042014
2,10,598017,658224.4515,0.059833
2,11,434458,487415.5114,0.043469
2,13,920566,887787.0919,0.092105
2,14,129686,183619.6107,0.012975
2,16,124665,164556.1129,0.012473
2,17,1326357,1315076.3312,0.132706
2,19,200260,243707.7557,0.020037
2,20,1243907,1316448.9031,0.124456
2,22,620676,657538.1656,0.062100
2,23,170263,121853.8778,0.017035
2,25,42789,60926.9389,0.004281
2,26,1862670,1775574.1837,0.186365
4,1,394969,367455.6027,0.039494
4,2,590266,734911.2053,0.059023
4,4,331924,199903.1725,0.033190
4,5,469803,329306.1423,0.046977
4,7,166998,91863.9007,0.016699
4,8,432966,399806.3451,0.043294
4,10,627933,658612.2845,0.062789
4,11,424641,487702.7019,0.042461
4,13,898859,888310.1856,0.089880
4,14,135269,183727.8013,0.013526
4,16,132430,164653.0711,0.013242
4,17,1272002,1315851.1884,0.127192
4,19,195712,243851.3509,0.019570
4,20,1304811,1317224.5690,0.130473
4,22,592906,657925.5942,0.059287
4,23,167758,121925.6755,0.016775
4,25,41266,60962.8377,0.004126
4,26,1820101,1776620.3712,0.181999
5,1,395438,367123.1492,0.039577
5,2,593186,734246.2985,0.059369
5,4,186833,199722.3113,0.018699
5,5,641066,329008.2043,0.064161
5,7,167515,91780.7873,0.016766
5,8,512283,399444.6225,0.051272
5,10,597623,658016.4087,0.059813
5,11,410923,487261.4556,0.041127
5,13,919518,887506.4919,0.092029
5,14,135999,183561.5746,0.013611
5,16,124580,164504.1022,0.012469
5,17,1236605,1314660.6794,0.123765
5,19,189163,243630.7278,0.018932
5,20,1244163,1316032.8174,0.124521
5,22,575342,657330.3397,0.057583
5,23,164003,121815.3639,0.016414
5,25,39541,60907.6819,0.003957
5,26,1857785,1775012.9838,0.185935
7,1,392970,367042.4609,0.039339
7,2,589098,734084.9219,0.058972
7,4,144034,199678.4152,0.014419
7,5,447469,328935.8932,0.044795
7,7,351834,91760.6152,0.035221
7,8,426934,399356.8304,0.042739
7,10,581901,657871.7863,0.058252
7,11,517781,487154.3626,0.051833
7,13,900540,887311.4310,0.090150
7,14,135090,183521.2305,0.013523
7,16,120560,164467.9466,0.012069
7,17,1269767,1314371.7362,0.127112
7,19,242514,243577.1813,0.024277
7,20,1211971,1315743.5726,0.121326
7,22,592861,657185.8681,0.059349
7,23,190452,121788.5907,0.019065
7,25,53394,60894.2953,0.005345
7,26,1820200,1774622.8619,0.182214
8,1,383079,366972.2445,0.038356
8,2,569819,733944.4890,0.057053
8,4,141430,199640.2161,0.014161
8,5,460465,328872.9666,0.046104
8,7,164597,91743.0611,0.016480
8,8,606551,399280.4321,0.060731
8,10,609530,657745.9332,0.061030
8,11,411701,487061.1684,0.041222
8,13,965441,887141.6853,0.096665
8,14,130158,183486.1222,0.013032
8,16,127527,164436.4833,0.012769
8,17,1232887,1314120.2925,0.123444
8,19,188986,243530.5842,0.018922
8,20,1265106,1315491.8665,0.126669
8,22,573817,657060.1462,0.057454
8,23,164315,121765.2921,0.016452
8,25,39982,60882.6460,0.004003
8,26,1952068,1774283.3706,0.195452
10,1,441229,367627.0469,0.044100
10,2,682757,735254.0938,0.068240
10,4,144024,199996.4416,0.014395
10,5,447608,329459.7871,0.044737
10,7,178533,91906.7617,0.017844
10,8,427361,399992.8833,0.042714
10,10,767700,658919.5741,0.076729
10,11,426047,487930.2500,0.042582
10,13,899438,888724.6457,0.089896
10,14,157775,183813.5235,0.015769
