q,k,n_states,M_qk,i,lambda_real,lambda_imag,lambda_abs
3,4,54,54,1,0.9999999999999994,0.0,0.9999999999999994
3,4,54,54,2,-2.9456608627141107e-05,0.0,2.9456608627141107e-05
3,4,54,54,3,1.8392591849306284e-08,2.9438260507305494e-05,2.9438266253015263e-05
3,4,54,54,4,1.8392591849306284e-08,-2.9438260507305494e-05,2.9438266253015263e-05
3,4,54,54,5,2.9419823185029006e-05,0.0,2.9419823185029006e-05
3,4,54,54,6,3.6942757584025646e-06,0.0,3.6942757584025646e-06
3,4,54,54,7,-1.8471377687238668e-06,3.199114304580025e-06,3.694083143408486e-06
3,4,54,54,8,-1.8471377687238668e-06,-3.199114304580025e-06,3.694083143408486e-06
3,4,54,54,9,1.2004755835234514e-06,3.8173241134245635e-07,1.2597068152968362e-06
3,4,54,54,10,1.2004755835234514e-06,-3.8173241134245635e-07,1.2597068152968362e-06
5,4,500,500,1,0.9999999999999993,0.0,0.9999999999999993
5,4,500,500,2,-4.044966797352048e-05,4.045305697215993e-05,5.720686547575269e-05
5,4,500,500,3,-4.044966797352048e-05,-4.045305697215993e-05,5.720686547575269e-05
5,4,500,500,4,4.044966797342285e-05,4.0446279832411405e-05,5.7202073314189225e-05
5,4,500,500,5,4.044966797342285e-05,-4.0446279832411405e-05,5.7202073314189225e-05
5,4,500,500,6,3.645106759616759e-05,0.0,3.645106759616759e-05
5,4,500,500,7,-1.1809330714670109e-08,3.643929548502471e-05,3.643929739862219e-05
5,4,500,500,8,-1.1809330714670109e-08,-3.643929548502471e-05,3.643929739862219e-05
5,4,500,500,9,-3.642744866086883e-05,0.0,3.642744866086883e-05
5,4,500,500,10,-2.6716624333583808e-05,0.0,2.6716624333583808e-05
7,4,2058,1029,1,1.0,0.0,1.0
7,4,2058,1029,2,-4.524989739167398e-05,0.0,4.524989739167398e-05
7,4,2058,1029,3,3.7880569044818164e-09,4.524610919333177e-05,4.524610935190204e-05
7,4,2058,1029,4,3.7880569044818164e-09,-4.524610919333177e-05,4.524610935190204e-05
7,4,2058,1029,5,4.524232127745205e-05,0.0,4.524232127745205e-05
7,4,2058,1029,6,-2.6734730631919646e-05,2.6736617410324878e-05,3.780995282339546e-05
7,4,2058,1029,7,-2.6734730631919646e-05,-2.6736617410324878e-05,3.780995282339546e-05
7,4,2058,1029,8,2.673473063146133e-05,2.6732846109604297e-05,3.7807286110703345e-05
7,4,2058,1029,9,2.673473063146133e-05,-2.6732846109604297e-05,3.7807286110703345e-05
7,4,2058,1029,10,-2.256492552363321e-06,0.0,2.256492552363321e-06
11,3,1210,1210,1,0.9999999999999993,0.0,0.9999999999999993
11,3,1210,1210,2,1.1609284003158085e-06,0.0,1.1609284003158085e-06
11,3,1210,1210,3,-5.804642003337057e-07,1.0053884264783037e-06,1.1609240181706846e-06
11,3,1210,1210,4,-5.804642003337057e-07,-1.0053884264783037e-06,1.1609240181706846e-06
11,3,1210,1210,5,7.348468503942138e-07,0.0,7.348468503942138e-07
11,3,1210,1210,6,-3.6742342516407687e-07,6.363922143363365e-07,7.348435369704272e-07
11,3,1210,1210,7,-3.6742342516407687e-07,-6.363922143363365e-07,7.348435369704272e-07
11,3,1210,1210,8,2.798833168340331e-07,6.783953188631918e-07,7.33862984280793e-07
11,3,1210,1210,9,2.798833168340331e-07,-6.783953188631918e-07,7.33862984280793e-07
11,3,1210,1210,10,4.475590007386756e-07,5.815885702380343e-07,7.338626057878428e-07
13,3,2028,2028,1,0.9999999999999996,0.0,0.9999999999999996
13,3,2028,2028,2,-2.0740208905955236e-06,0.0,2.0740208905955236e-06
13,3,2028,2028,3,1.0370104453875776e-06,1.7961531825894028e-06,2.0740195079046347e-06
13,3,2028,2028,4,1.0370104453875776e-06,-1.7961531825894028e-06,2.0740195079046347e-06
13,3,2028,2028,5,-5.379918145614227e-07,9.318398675655856e-07,1.0759929048649626e-06
13,3,2028,2028,6,-5.379918145614227e-07,-9.318398675655856e-07,1.0759929048649626e-06
13,3,2028,2028,7,1.0759836287125149e-06,0.0,1.0759836287125149e-06
13,3,2028,2028,8,-8.835896967435628e-07,0.0,8.835896967435628e-07
13,3,2028,2028,9,4.417948487923607e-07,7.652057420675562e-07,8.835850361525053e-07
13,3,2028,2028,10,4.417948487923607e-07,-7.652057420675562e-07,8.835850361525053e-07
