r,pi,D_avg,D_pred,diff,abs_diff
1,0.063480,1.609081,1.376061,-0.233020,0.233020
3,0.062408,1.236401,0.915055,-0.321346,0.321346
5,0.062990,1.863896,1.558780,-0.305116,0.305116
7,0.062408,0.737504,1.106309,+0.368805,0.368805
9,0.062255,0.695791,0.958120,+0.262329,0.262329
11,0.062776,0.657507,0.923956,+0.266449,0.266449
13,0.062500,0.557318,0.676738,+0.119420,0.119420
15,0.062286,1.057805,1.091042,+0.033237,0.033237
17,0.063235,1.131972,1.081635,-0.050337,0.050337
19,0.062408,0.627469,0.681495,+0.054026,0.054026
21,0.062500,0.930738,0.633308,-0.297430,0.297430
23,0.062408,1.398056,1.108524,-0.289532,0.289532
25,0.061765,0.543950,0.699990,+0.156040,0.156040
27,0.061795,0.801717,1.145123,+0.343406,0.343406
29,0.062990,1.353787,1.160013,-0.193774,0.193774
31,0.061795,0.766633,0.868182,+0.101549,0.101549
