type,key,j,p_emp,n_samples
r_mod_32,1,1,0.00000000,2191541
r_mod_32,1,2,1.00000000,2191541
r_mod_32,1,3,0.00000000,2191541
r_mod_32,1,4,0.00000000,2191541
r_mod_32,1,5,0.00000000,2191541
r_mod_32,1,6,0.00000000,2191541
r_mod_32,1,7,0.00000000,2191541
r_mod_32,1,8,0.00000000,2191541
r_mod_32,1,9,0.00000000,2191541
r_mod_32,1,10,0.00000000,2191541
r_mod_32,3,1,1.00000000,2303204
r_mod_32,3,2,0.00000000,2303204
r_mod_32,3,3,0.00000000,2303204
r_mod_32,3,4,0.00000000,2303204
r_mod_32,3,5,0.00000000,2303204
r_mod_32,3,6,0.00000000,2303204
r_mod_32,3,7,0.00000000,2303204
r_mod_32,3,8,0.00000000,2303204
r_mod_32,3,9,0.00000000,2303204
r_mod_32,3,10,0.00000000,2303204
r_mod_32,5,1,0.00000000,2852237
r_mod_32,5,2,0.00000000,2852237
r_mod_32,5,3,0.00000000,2852237
r_mod_32,5,4,1.00000000,2852237
r_mod_32,5,5,0.00000000,2852237
r_mod_32,5,6,0.00000000,2852237
r_mod_32,5,7,0.00000000,2852237
r_mod_32,5,8,0.00000000,2852237
r_mod_32,5,9,0.00000000,2852237
r_mod_32,5,10,0.00000000,2852237
r_mod_32,7,1,1.00000000,2456802
r_mod_32,7,2,0.00000000,2456802
r_mod_32,7,3,0.00000000,2456802
r_mod_32,7,4,0.00000000,2456802
r_mod_32,7,5,0.00000000,2456802
r_mod_32,7,6,0.00000000,2456802
r_mod_32,7,7,0.00000000,2456802
r_mod_32,7,8,0.00000000,2456802
r_mod_32,7,9,0.00000000,2456802
r_mod_32,7,10,0.00000000,2456802
r_mod_32,9,1,0.00000000,2303846
r_mod_32,9,2,1.00000000,2303846
r_mod_32,9,3,0.00000000,2303846
r_mod_32,9,4,0.00000000,2303846
r_mod_32,9,5,0.00000000,2303846
r_mod_32,9,6,0.00000000,2303846
r_mod_32,9,7,0.00000000,2303846
r_mod_32,9,8,0.00000000,2303846
r_mod_32,9,9,0.00000000,2303846
r_mod_32,9,10,0.00000000,2303846
r_mod_32,11,1,1.00000000,2338460
r_mod_32,11,2,0.00000000,2338460
r_mod_32,11,3,0.00000000,2338460
r_mod_32,11,4,0.00000000,2338460
r_mod_32,11,5,0.00000000,2338460
r_mod_32,11,6,0.00000000,2338460
r_mod_32,11,7,0.00000000,2338460
r_mod_32,11,8,0.00000000,2338460
r_mod_32,11,9,0.00000000,2338460
r_mod_32,11,10,0.00000000,2338460
r_mod_32,13,1,0.00000000,2145570
r_mod_32,13,2,0.00000000,2145570
r_mod_32,13,3,1.00000000,2145570
r_mod_32,13,4,0.00000000,2145570
r_mod_32,13,5,0.00000000,2145570
r_mod_32,13,6,0.00000000,2145570
r_mod_32,13,7,0.00000000,2145570
r_mod_32,13,8,0.00000000,2145570
r_mod_32,13,9,0.00000000,2145570
r_mod_32,13,10,0.00000000,2145570
r_mod_32,15,1,1.00000000,2445331
r_mod_32,15,2,0.00000000,2445331
r_mod_32,15,3,0.00000000,2445331
r_mod_32,15,4,0.00000000,2445331
r_mod_32,15,5,0.00000000,2445331
r_mod_32,15,6,0.00000000,2445331
r_mod_32,15,7,0.00000000,2445331
r_mod_32,15,8,0.00000000,2445331
r_mod_32,15,9,0.00000000,2445331
r_mod_32,15,10,0.00000000,2445331
r_mod_32,17,1,0.00000000,2526497
r_mod_32,17,2,1.00000000,2526497
r_mod_32,17,3,0.00000000,2526497
r_mod_32,17,4,0.00000000,2526497
r_mod_32,17,5,0.00000000,2526497
r_mod_32,17,6,0.00000000,2526497
r_mod_32,17,7,0.00000000,2526497
r_mod_32,17,8,0.00000000,2526497
r_mod_32,17,9,0.00000000,2526497
r_mod_32,17,10,0.00000000,2526497
r_mod_32,19,1,1.00000000,2102101
r_mod_32,19,2,0.00000000,2102101
r_mod_32,19,3,0.00000000,2102101
r_mod_32,19,4,0.00000000,2102101
r_mod_32,19,5,0.00000000,2102101
r_mod_32,19,6,0.00000000,2102101
r_mod_32,19,7,0.00000000,2102101
r_mod_32,19,8,0.00000000,2102101
r_mod_32,19,9,0.00000000,2102101
r_mod_32,19,10,0.00000000,2102101
r_mod_32,21,1,0.00000000,2098842
r_mod_32,21,2,0.00000000,2098842
r_mod_32,21,3,0.00000000,2098842
r_mod_32,21,4,0.00000000,2098842
r_mod_32,21,5,0.54108551,2098842
r_mod_32,21,6,0.23320812,2098842
r_mod_32,21,7,0.11369984,2098842
r_mod_32,21,8,0.05353571,2098842
r_mod_32,21,9,0.02591477,2098842
r_mod_32,21,10,0.02121313,2098842
r_mod_32,23,1,1.00000000,2459966
r_mod_32,23,2,0.00000000,2459966
r_mod_32,23,3,0.00000000,2459966
r_mod_32,23,4,0.00000000,2459966
r_mod_32,23,5,0.00000000,2459966
r_mod_32,23,6,0.00000000,2459966
r_mod_32,23,7,0.00000000,2459966
r_mod_32,23,8,0.00000000,2459966
r_mod_32,23,9,0.00000000,2459966
r_mod_32,23,10,0.00000000,2459966
r_mod_32,25,1,0.00000000,2114511
r_mod_32,25,2,1.00000000,2114511
r_mod_32,25,3,0.00000000,2114511
r_mod_32,25,4,0.00000000,2114511
r_mod_32,25,5,0.00000000,2114511
r_mod_32,25,6,0.00000000,2114511
r_mod_32,25,7,0.00000000,2114511
r_mod_32,25,8,0.00000000,2114511
r_mod_32,25,9,0.00000000,2114511
r_mod_32,25,10,0.00000000,2114511
r_mod_32,27,1,1.00000000,2432716
r_mod_32,27,2,0.00000000,2432716
r_mod_32,27,3,0.00000000,2432716
r_mod_32,27,4,0.00000000,2432716
r_mod_32,27,5,0.00000000,2432716
r_mod_32,27,6,0.00000000,2432716
r_mod_32,27,7,0.00000000,2432716
r_mod_32,27,8,0.00000000,2432716
r_mod_32,27,9,0.00000000,2432716
r_mod_32,27,10,0.00000000,2432716
r_mod_32,29,1,0.00000000,2523671
r_mod_32,29,2,0.00000000,2523671
r_mod_32,29,3,1.00000000,2523671
r_mod_32,29,4,0.00000000,2523671
r_mod_32,29,5,0.00000000,2523671
r_mod_32,29,6,0.00000000,2523671
r_mod_32,29,7,0.00000000,2523671
r_mod_32,29,8,0.00000000,2523671
r_mod_32,29,9,0.00000000,2523671
r_mod_32,29,10,0.00000000,2523671
r_mod_32,31,1,1.00000000,2225955
r_mod_32,31,2,0.00000000,2225955
r_mod_32,31,3,0.00000000,2225955
r_mod_32,31,4,0.00000000,2225955
r_mod_32,31,5,0.00000000,2225955
r_mod_32,31,6,0.00000000,2225955
r_mod_32,31,7,0.00000000,2225955
r_mod_32,31,8,0.00000000,2225955
r_mod_32,31,9,0.00000000,2225955
r_mod_32,31,10,0.00000000,2225955
sigma_band,0-25,1,0.41927713,5221358
sigma_band,0-25,2,0.23786015,5221358
sigma_band,0-25,3,0.15056715,5221358
sigma_band,0-25,4,0.09936553,5221358
sigma_band,0-25,5,0.04261976,5221358
sigma_band,0-25,6,0.02260274,5221358
sigma_band,0-25,7,0.01159890,5221358
sigma_band,0-25,8,0.00718204,5221358
sigma_band,0-25,9,0.00329723,5221358
sigma_band,0-25,10,0.00360787,5221358
sigma_band,25-50,1,0.47786670,7895524
sigma_band,25-50,2,0.24304669,7895524
sigma_band,25-50,3,0.13234042,7895524
sigma_band,25-50,4,0.08304123,7895524
sigma_band,25-50,5,0.03358460,7895524
sigma_band,25-50,6,0.01502902,7895524
sigma_band,25-50,7,0.00757467,7895524
sigma_band,25-50,8,0.00359545,7895524
sigma_band,25-50,9,0.00174453,7895524
sigma_band,25-50,10,0.00141371,7895524
sigma_band,50-75,1,0.50694945,10226284
